"accepted_name"	"ECO"
"Acoelorrhaphe wrightii"	5
"Acrocomia aculeata"	8
"Acrocomia emensis"	1
"Acrocomia glaucescens"	1
"Acrocomia hassleri"	3
"Acrocomia intumescens"	6
"Acrocomia totai"	8
"Actinokentia divaricata"	1
"Actinokentia huerlimannii"	1
"Actinorhytis calapparia"	6
"Adonidia dransfieldii"	1
"Adonidia merrillii"	2
"Aiphanes acaulis"	2
"Aiphanes bicornis"	1
"Aiphanes buenaventurae"	1
"Aiphanes chiribogensis"	2
"Aiphanes concinna"	4
"Aiphanes deltoidea"	4
"Aiphanes duquei"	1
"Aiphanes eggersii"	4
"Aiphanes erinacea"	3
"Aiphanes gelatinosa"	1
"Aiphanes graminifolia"	1
"Aiphanes grandis"	2
"Aiphanes hirsuta"	8
"Aiphanes horrida"	22
"Aiphanes killipii"	1
"Aiphanes leiostachys"	1
"Aiphanes lindeniana"	4
"Aiphanes linearis"	4
"Aiphanes macroloba"	2
"Aiphanes minima"	2
"Aiphanes parvifolia"	3
"Aiphanes pilaris"	1
"Aiphanes simplex"	6
"Aiphanes spicata"	2
"Aiphanes tricuspidata"	5
"Aiphanes truncata"	2
"Aiphanes ulei"	7
"Aiphanes verrucosa"	2
"Aiphanes weberbaueri"	8
"Allagoptera arenaria"	9
"Allagoptera brevicalyx"	8
"Allagoptera campestris"	13
"Allagoptera caudescens"	7
"Allagoptera leucocalyx"	13
"Allagoptera robusta"	1
"Ammandra decasperma"	3
"Aphandra natalia"	6
"Archontophoenix alexandrae"	6
"Archontophoenix cunninghamiana"	1
"Archontophoenix maxima"	2
"Archontophoenix myolensis"	1
"Archontophoenix purpurea"	1
"Archontophoenix tuckeri"	1
"Areca abdulrahmanii"	1
"Areca arundinacea"	1
"Areca caliso"	3
"Areca camarinensis"	1
"Areca catechu"	19
"Areca chaiana"	1
"Areca churchii"	1
"Areca dayung"	1
"Areca dransfieldii"	1
"Areca furcata"	3
"Areca gurita"	1
"Areca hutchinsoniana"	1
"Areca insignis"	2
"Areca ipot"	1
"Areca jugahpunya"	2
"Areca kinabaluensis"	3
"Areca laosensis"	3
"Areca macrocalyx"	15
"Areca minuta"	5
"Areca mogeana"	1
"Areca montana"	2
"Areca novohibernica"	5
"Areca oxycarpa"	2
"Areca parens"	1
"Areca rheophytica"	2
"Areca riparia"	1
"Areca songthanhensis"	2
"Areca subacaulis"	2
"Areca triandra"	13
"Areca triginticollina"	1
"Areca tunku"	2
"Areca unipa"	1
"Areca vestiaria"	3
"Areca vidaliana"	2
"Areca whitfordii"	1
"Arenga australasica"	3
"Arenga brevipes"	5
"Arenga caudata"	16
"Arenga distincta"	3
"Arenga hastata"	4
"Arenga hookeriana"	3
"Arenga listeri"	1
"Arenga microcarpa"	15
"Arenga obtusifolia"	3
"Arenga pinnata"	12
"Arenga plicata"	1
"Arenga retroflorescens"	1
"Arenga ryukyuensis"	1
"Arenga talamauensis"	1
"Arenga tremula"	5
"Arenga undulatifolia"	9
"Arenga westerhoutii"	11
"Arenga wightii"	2
"Asterogyne martiana"	15
"Asterogyne spicata"	1
"Asterogyne yaracuyense"	1
"Astrocaryum acaule"	13
"Astrocaryum aculeatissimum"	5
"Astrocaryum alatum"	6
"Astrocaryum campestre"	6
"Astrocaryum carnosum"	1
"Astrocaryum chambira"	11
"Astrocaryum chonta"	4
"Astrocaryum ciliatum"	3
"Astrocaryum echinatum"	1
"Astrocaryum faranae"	1
"Astrocaryum farinosum"	2
"Astrocaryum gratum"	4
"Astrocaryum huaimi"	6
"Astrocaryum jauari"	17
"Astrocaryum javarense"	1
"Astrocaryum macrocalyx"	4
"Astrocaryum malybo"	6
"Astrocaryum mexicanum"	10
"Astrocaryum murumuru"	9
"Astrocaryum paramaca"	3
"Astrocaryum perangustatum"	2
"Astrocaryum rodriguesii"	1
"Astrocaryum sciophilum"	2
"Astrocaryum scopatum"	1
"Astrocaryum sociale"	1
"Astrocaryum standleyanum"	9
