accepted_name	lon	lat	coordinateUncertaintyInMeters
Acoelorrhaphe wrightii	-87.11027	14.13277	5000
Acoelorrhaphe wrightii	-91.53	17.83	5000
Acoelorrhaphe wrightii	-90.29361	17.74638	5000
Acoelorrhaphe wrightii	-92.56688877	18.54206714	5000
Acoelorrhaphe wrightii	-92.56022263	18.55095573	5000
Acoelorrhaphe wrightii	-92.55410562	18.59763454	2880
Acoelorrhaphe wrightii	-94.1	18.000833	5000
Acoelorrhaphe wrightii	-94.091667	18.058333	5000
Acoelorrhaphe wrightii	-91.091667	17.708333	5000
Acoelorrhaphe wrightii	-94.078889	18.046944	5000
Acoelorrhaphe wrightii	-89.008333	18.258333	5000
Acoelorrhaphe wrightii	-92.173333	18.581667	5000
Acoelorrhaphe wrightii	-86.875833	20.865	5000
Acoelorrhaphe wrightii	-91.543333	17.911667	5000
Acoelorrhaphe wrightii	-91.35	18.18056	560
Acoelorrhaphe wrightii	-94.158333	18.125	5000
Acoelorrhaphe wrightii	-94.408333	18.141667	5000
Acrocomia aculeata	-52.8802	-22.6096	5000
Acrocomia aculeata	-45.183333	-11.033333	5000
Acrocomia aculeata	-43.2075	-22.903056	5000
Acrocomia aculeata	-86.0575	14.75055	5000
Acrocomia aculeata	-85.17	10.34	5000
Acrocomia aculeata	-80.75444	7.89361	5000
Acrocomia aculeata	-46.7981	-21.9692	5000
Acrocomia aculeata	-87.32	21.41	5000
Acrocomia aculeata	-72.0183	5.579	5000
Acrocomia aculeata	-72.0769	5.534	5000
Acrocomia aculeata	-71.8766	5.9258	5000
Acrocomia aculeata	-71.8766	5.9294	5000
Acrocomia aculeata	-71.6294	6.2082	5000
Acrocomia aculeata	-96.98	17.9	5000
Acrocomia emensis	-47.116667	-22.183333	5000
Acrocomia emensis	-47.5	-22.033333	5000
Acrocomia emensis	-46.106333	-13.311861	5000
Acrocomia emensis	-45.485833	-16.091667	5000
Acrocomia emensis	-51.76666667	-12.81666667	5000
Acrocomia glaucescens	-54.684167	-16.655556	5000
Acrocomia glaucescens	-54.68417	-16.65569	5000
Acrocomia glaucescens	-53.884611	-16.867972	5000
Acrocomia glaucescens	-54.684167	-16.655694	5000
Acrocomia glaucescens	-52.404917	-17.616778	5000
Acrocomia glaucescens	-55.79	-14.539444	5000
Acrocomia hassleri	-55.28	-24.183611	5000
Acrocomia hassleri	-41.4725	-13.4725	5000
Acrocomia hassleri	-53.9	-18.216667	5000
Acrocomia hassleri	-47.5	-22.033333	5000
Acrocomia hassleri	-41.916667	-13.533333	5000
Acrocomia hassleri	-56.2133	-23.8294	5000
Acrocomia hassleri	-56.1128	-23.8094	5000
Acrocomia hassleri	-55.28	-24.1836	5000
Acrocomia hassleri	-56.213056	-23.793056	5000
Acrocomia hassleri	-47.42015569	-21.99383687	5000
