accepted_name	IUCN_category_old	IUCN_category_new	TS_category_old	TS_category_new	IUCN_old	IUCN_new	TS_global_old	TS_global_new
Acanthophoenix crinita	NE	NE	NE	NE	0	0	0	0
Acanthophoenix rousselii	NE	NE	NE	NE	0	0	0	0
Acanthophoenix rubra	CR	NE	Threatened	NE	1	0	1	0
Acoelorrhaphe wrightii	NE	NE	NE	NE	0	0	0	0
Acrocomia aculeata	NE	NE	NE	NE	0	0	0	0
Acrocomia crispa	NE	NE	Not Threatened	NE	0	0	1	0
Acrocomia emensis	NE	NE	NE	Threatened	0	0	0	1
Acrocomia glaucescens	NE	NE	NE	NE	0	0	0	0
Acrocomia hassleri	NE	NE	NE	NE	0	0	0	0
Acrocomia intumescens	NE	NE	NE	NE	0	0	0	0
Acrocomia media	NE	NE	Threatened	Not Threatened	0	0	1	1
Acrocomia totai	NE	NE	NE	NE	0	0	0	0
Actinokentia divaricata	NE	LC	Possibly Threatened	Not Threatened	0	1	1	1
Actinokentia huerlimannii	NE	EN	Possibly Threatened	Threatened	0	1	1	1
Actinorhytis calapparia	NE	NE	NE	NE	0	0	0	0
Adonidia dransfieldii	NE	NE	NE	NE	0	0	0	0
Adonidia merrillii	NT	NE	Possibly Threatened	NE	1	0	2	0
Aiphanes acanthophylla	NE	NE	NE	Not Threatened	0	0	0	1
Aiphanes acaulis	NE	NE	Threatened	NE	0	0	1	0
Aiphanes argos	NE	CR	NE	Threatened	0	1	0	1
Aiphanes bicornis	NE	NE	NE	NE	0	0	0	0
Aiphanes buenaventurae	NE	NE	NE	NE	0	0	0	0
Aiphanes chiribogensis	VU	NE	Threatened	NE	1	0	1	0
Aiphanes concinna	NE	NE	NE	NE	0	0	0	0
Aiphanes deltoidea	NE	NE	Possibly Threatened	NE	0	0	1	0
Aiphanes duquei	VU	NE	Threatened	NE	1	0	1	0
Aiphanes eggersii	NE	NE	NE	NE	0	0	0	0
Aiphanes erinacea	NE	NE	NE	NE	0	0	0	0
Aiphanes gelatinosa	NE	NE	NE	NE	0	0	0	0
Aiphanes graminifolia	NE	NE	Threatened	NE	0	0	1	0
Aiphanes grandis	EN	NE	Threatened	Threatened	1	0	1	1
Aiphanes hirsuta	LC	NE	Not Threatened	NE	1	0	1	0
Aiphanes horrida	NE	NE	NE	NE	0	0	0	0
Aiphanes killipii	NE	NE	NE	NE	0	0	0	0
Aiphanes leiostachys	EN	NE	Threatened	NE	1	0	1	0
Aiphanes lindeniana	VU	NE	Possibly Threatened	NE	1	0	1	0
Aiphanes linearis	LC	NE	Possibly Threatened	NE	1	0	1	0
Aiphanes macroloba	NE	NE	NE	NE	0	0	0	0
Aiphanes minima	NE	NE	NE	Not Threatened	0	0	0	1
Aiphanes multiplex	NE	NE	NE	NE	0	0	0	0
Aiphanes parvifolia	NE	NE	Threatened	NE	0	0	1	0
Aiphanes pilaris	NE	NE	Threatened	NE	0	0	1	0
Aiphanes simplex	NE	NE	Possibly Threatened	NE	0	0	1	0
Aiphanes spicata	NE	NE	Threatened	NE	0	0	1	0
Aiphanes tricuspidata	NE	NE	NE	NE	0	0	0	0
Aiphanes truncata	NE	NE	Threatened	NE	0	0	1	0
Aiphanes ulei	LC	NE	Not Threatened	NE	1	0	1	0
Aiphanes verrucosa	EN	NE	Threatened	Threatened	1	0	1	1
Aiphanes weberbaueri	NE	NE	Possibly Threatened	NE	0	0	2	0
Allagoptera arenaria	NE	NE	Threatened	Not Threatened	0	0	1	1
Allagoptera brevicalyx	NE	NE	Threatened	Threatened	0	0	1	1
Allagoptera campestris	NE	NE	NE	NE	0	0	0	0
Allagoptera caudescens	NE	NE	NE	NE	0	0	0	0
Allagoptera leucocalyx	NE	NE	NE	NE	0	0	0	0
Allagoptera robusta	NE	NE	NE	NE	0	0	0	0
Ammandra decasperma	NE	NE	Threatened	NE	0	0	1	0
Aphandra natalia	NE	NE	Possibly Threatened	NE	0	0	1	0
Archontophoenix alexandrae	NE	NE	NE	NE	0	0	0	0
Archontophoenix cunninghamiana	NE	NE	NE	NE	0	0	0	0
Archontophoenix maxima	NE	NE	NE	NE	0	0	0	0
Archontophoenix myolensis	VU	NE	Threatened	NE	1	0	1	0
