species	Continent
Acanthophoenix crinita	AfricaWAsia
Acanthophoenix rousselii	AfricaWAsia
Acanthophoenix rubra	AfricaWAsia
Acoelorrhaphe wrightii	Americas
Acrocomia aculeata	Americas
Acrocomia crispa	Americas
Acrocomia emensis	Americas
Acrocomia glaucescens	Americas
Acrocomia hassleri	Americas
Acrocomia intumescens	Americas
Acrocomia media	Americas
Acrocomia totai	Americas
Actinokentia divaricata	EAsiaPacific
Actinokentia huerlimannii	EAsiaPacific
Actinorhytis calapparia	EAsiaPacific
Adonidia dransfieldii	EAsiaPacific
Adonidia merrillii	EAsiaPacific
Aiphanes acanthophylla	Americas
Aiphanes acaulis	Americas
Aiphanes argos	Americas
Aiphanes bicornis	Americas
Aiphanes buenaventurae	Americas
Aiphanes chiribogensis	Americas
Aiphanes concinna	Americas
Aiphanes deltoidea	Americas
Aiphanes duquei	Americas
Aiphanes eggersii	Americas
Aiphanes erinacea	Americas
Aiphanes gelatinosa	Americas
Aiphanes graminifolia	Americas
Aiphanes grandis	Americas
Aiphanes hirsuta	Americas
Aiphanes horrida	Americas
Aiphanes killipii	Americas
Aiphanes leiostachys	Americas
Aiphanes lindeniana	Americas
Aiphanes linearis	Americas
Aiphanes macroloba	Americas
Aiphanes minima	Americas
Aiphanes multiplex	Americas
Aiphanes parvifolia	Americas
Aiphanes pilaris	Americas
Aiphanes simplex	Americas
Aiphanes spicata	Americas
Aiphanes tricuspidata	Americas
Aiphanes truncata	Americas
Aiphanes ulei	Americas
Aiphanes verrucosa	Americas
Aiphanes weberbaueri	Americas
Allagoptera arenaria	Americas
Allagoptera brevicalyx	Americas
Allagoptera campestris	Americas
Allagoptera caudescens	Americas
Allagoptera leucocalyx	Americas
Allagoptera robusta	Americas
Ammandra decasperma	Americas
Aphandra natalia	Americas
Archontophoenix alexandrae	EAsiaPacific
Archontophoenix cunninghamiana	EAsiaPacific
Archontophoenix maxima	EAsiaPacific
Archontophoenix myolensis	EAsiaPacific
Archontophoenix purpurea	EAsiaPacific
Archontophoenix tuckeri	EAsiaPacific
Areca abdulrahmanii	EAsiaPacific
Areca ahmadii	EAsiaPacific
Areca andersonii	EAsiaPacific
Areca arundinacea	EAsiaPacific
Areca bakeri	EAsiaPacific
Areca brachypoda	EAsiaPacific
Areca caliso	EAsiaPacific
Areca camarinensis	EAsiaPacific
Areca catechu	EAsiaPacific
Areca chaiana	EAsiaPacific
Areca churchii	EAsiaPacific
Areca concinna	EAsiaPacific
Areca congesta	EAsiaPacific
Areca costulata	EAsiaPacific
Areca dayung	EAsiaPacific
Areca dransfieldii	EAsiaPacific
Areca furcata	EAsiaPacific
Areca gurita	EAsiaPacific
Areca hutchinsoniana	EAsiaPacific
Areca insignis	EAsiaPacific
Areca ipot	EAsiaPacific
Areca jokowi	EAsiaPacific
Areca jugahpunya	EAsiaPacific
Areca kinabaluensis	EAsiaPacific
Areca klingkangensis	EAsiaPacific
Areca laosensis	EAsiaPacific
Areca ledermanniana	EAsiaPacific
Areca macrocalyx	EAsiaPacific
Areca mandacanii	EAsiaPacific
Areca minuta	EAsiaPacific
Areca mogeana	EAsiaPacific
Areca montana	EAsiaPacific
Areca novohibernica	EAsiaPacific
Areca oxycarpa	EAsiaPacific
Areca parens	EAsiaPacific
Areca rheophytica	EAsiaPacific
Areca ridleyana	EAsiaPacific
Areca riparia	EAsiaPacific
Areca songthanhensis	EAsiaPacific
Areca subacaulis	EAsiaPacific
Areca triandra	EAsiaPacific
Areca triginticollina	EAsiaPacific
Areca tunku	EAsiaPacific
Areca unipa	EAsiaPacific
Areca vestiaria	EAsiaPacific
Areca vidaliana	EAsiaPacific
Areca whitfordii	EAsiaPacific
Arenga australasica	EAsiaPacific
Arenga brevipes	EAsiaPacific
Arenga caudata	EAsiaPacific
Arenga distincta	EAsiaPacific
Arenga engleri	EAsiaPacific
Arenga hastata	EAsiaPacific
Arenga hookeriana	EAsiaPacific
Arenga listeri	EAsiaPacific
Arenga longicarpa	EAsiaPacific
Arenga longipes	EAsiaPacific
Arenga micrantha	EAsiaPacific
Arenga microcarpa	EAsiaPacific
Arenga mindorensis	EAsiaPacific
Arenga obtusifolia	EAsiaPacific
Arenga pinnata	EAsiaPacific
Arenga plicata	EAsiaPacific
Arenga porphyrocarpa	EAsiaPacific
Arenga retroflorescens	EAsiaPacific
Arenga ryukyuensis	EAsiaPacific
Arenga talamauensis	EAsiaPacific
Arenga tremula	EAsiaPacific
Arenga undulatifolia	EAsiaPacific
Arenga westerhoutii	EAsiaPacific
Arenga wightii	EAsiaPacific
Asterogyne guianensis	Americas
Asterogyne martiana	Americas
Asterogyne ramosa	Americas
Asterogyne spicata	Americas
Asterogyne yaracuyense	Americas
Astrocaryum acaule	Americas
Astrocaryum aculeatissimum	Americas
Astrocaryum aculeatum	Americas
Astrocaryum alatum	Americas
Astrocaryum arenarium	Americas
Astrocaryum campestre	Americas
Astrocaryum carnosum	Americas
Astrocaryum chambira	Americas
Astrocaryum chonta	Americas
Astrocaryum ciliatum	Americas
Astrocaryum confertum	Americas
Astrocaryum echinatum	Americas
Astrocaryum faranae	Americas
Astrocaryum farinosum	Americas
Astrocaryum ferrugineum	Americas
Astrocaryum giganteum	Americas
Astrocaryum gratum	Americas
Astrocaryum huaimi	Americas
Astrocaryum huicungo	Americas
Astrocaryum jauari	Americas
Astrocaryum javarense	Americas
Astrocaryum macrocalyx	Americas
Astrocaryum malybo	Americas
Astrocaryum mexicanum	Americas
Astrocaryum minus	Americas
Astrocaryum murumuru	Americas
Astrocaryum paramaca	Americas
Astrocaryum perangustatum	Americas
Astrocaryum rodriguesii	Americas
Astrocaryum sciophilum	Americas
Astrocaryum scopatum	Americas
Astrocaryum sociale	Americas
Astrocaryum standleyanum	Americas
Astrocaryum triandrum	Americas
Astrocaryum tucuma	Americas
Astrocaryum ulei	Americas
Astrocaryum urostachys	Americas
Astrocaryum vulgare	Americas
Attalea allenii	Americas
Attalea amygdalina	Americas
Attalea amylacea	Americas
Attalea anisitsiana	Americas
Attalea apoda	Americas
Attalea attaleoides	Americas
Attalea barreirensis	Americas
Attalea bassleriana	Americas
Attalea brasiliensis	Americas
Attalea brejinhoensis	Americas
Attalea burretiana	Americas
Attalea butyracea	Americas
Attalea camopiensis	Americas
Attalea cephalotus	Americas
Attalea cohune	Americas
Attalea colenda	Americas
Attalea compta	Americas
Attalea crassispatha	Americas
Attalea cuatrecasasiana	Americas
Attalea dahlgreniana	Americas
Attalea degranvillei	Americas
Attalea dubia	Americas
Attalea eichleri	Americas
Attalea exigua	Americas
Attalea fairchildensis	Americas
Attalea funifera	Americas
Attalea geraensis	Americas
Attalea guacuyule	Americas
Attalea guianensis	Americas
Attalea hoehnei	Americas
Attalea huebneri	Americas
Attalea humilis	Americas
Attalea iguadummat	Americas
Attalea insignis	Americas
Attalea kewensis	Americas
Attalea lauromuelleriana	Americas
Attalea leandroana	Americas
Attalea luetzelburgii	Americas
Attalea macrolepis	Americas
Attalea magdalenica	Americas
Attalea maracaibensis	Americas
Attalea maripa	Americas
Attalea maripensis	Americas
Attalea microcarpa	Americas
Attalea moorei	Americas
Attalea nucifera	Americas
Attalea oleifera	Americas
Attalea osmantha	Americas
Attalea pacensis	Americas
Attalea peruviana	Americas
Attalea phalerata	Americas
Attalea pindobassu	Americas
Attalea plowmanii	Americas
Attalea princeps	Americas
Attalea racemosa	Americas
Attalea rostrata	Americas
Attalea salazarii	Americas
Attalea salvadorensis	Americas
Attalea seabrensis	Americas
Attalea septuagenata	Americas
Attalea speciosa	Americas
Attalea spectabilis	Americas
Attalea tessmannii	Americas
Attalea vitrivir	Americas
Attalea weberbaueri	Americas
Attalea wesselsboeri	Americas
Bactris acanthocarpa	Americas
Bactris acanthocarpoides	Americas
Bactris ana-juliae	Americas
Bactris aubletiana	Americas
Bactris bahiensis	Americas
Bactris balanophora	Americas
Bactris barronis	Americas
Bactris bidentula	Americas
Bactris bifida	Americas
Bactris brongniartii	Americas
Bactris campestris	Americas
Bactris caryotifolia	Americas
Bactris caudata	Americas
Bactris charnleyae	Americas
Bactris chaveziae	Americas
Bactris chocoensis	Americas
Bactris coloniata	Americas
Bactris coloradonis	Americas
Bactris concinna	Americas
Bactris constanciae	Americas
Bactris corossilla	Americas
Bactris cubensis	Americas
Bactris cuspidata	Americas
Bactris dianeura	Americas
Bactris elegans	Americas
Bactris faucium	Americas
Bactris ferruginea	Americas
Bactris fissifrons	Americas
Bactris gasipaes	Americas
Bactris gastoniana	Americas
Bactris glandulosa	Americas
Bactris glassmanii	Americas
Bactris glaucescens	Americas
Bactris gracilior	Americas
Bactris grayumii	Americas
Bactris guineensis	Americas
Bactris halmoorei	Americas
Bactris hatschbachii	Americas
Bactris herrerana	Americas
Bactris hirta	Americas
Bactris horridispatha	Americas
Bactris jamaicana	Americas
Bactris killipii	Americas
Bactris kunorum	Americas
Bactris longiseta	Americas
Bactris macroacantha	Americas
Bactris major	Americas
Bactris manriquei	Americas
Bactris maraja	Americas
Bactris martiana	Americas
Bactris mexicana	Americas
Bactris militaris	Americas
Bactris nancibaensis	Americas
Bactris obovata	Americas
Bactris oligocarpa	Americas
Bactris oligoclada	Americas
Bactris panamensis	Americas
Bactris pickelii	Americas
Bactris pilosa	Americas
Bactris pliniana	Americas
Bactris plumeriana	Americas
Bactris polystachya	Americas
Bactris ptariana	Americas
Bactris rhaphidacantha	Americas
Bactris riparia	Americas
Bactris rostrata	Americas
Bactris schultesii	Americas
Bactris setiflora	Americas
