species	NO_EXT	DO_CON	Americas	AfricaWAsia	EAsiaPacific	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	Conspicuousness	AnimalFood	EnvironmentalUses	Fuels	GeneSources	HumanFood	InvertebrateFood	Materials	Medicines	Poisons	SocialUses
Acanthophoenix crinita	non-LC	NA	0	1	0	0	0	1	1	1	1	10	20	canopy	15	2.3	NA	NA	0.65	0.6	0.7	0.5	NA	NA	small	NA	cryptic	0	0	0	0	0	0	1	0	0	0
Acanthophoenix rousselii	non-LC	NA	0	1	0	0	0	1	1	1	1	25	30	canopy	NA	3	NA	NA	2	NA	NA	0.8	NA	NA	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acanthophoenix rubra	non-LC	NA	0	1	0	0	0	1	1	1	1	15	18	canopy	20	3.1	3	NA	1	NA	NA	0.7	NA	NA	small	ovoid	cryptic	0	1	0	1	1	0	0	1	0	0
Acoelorrhaphe wrightii	LC	LC	1	0	0	0	0	1	0	0	1	9.1	15	canopy	25	1.3	0.7	0.65	0.7	NA	NA	0.7	0.5	0.9	small	ovoid	cryptic	0	1	0	0	0	0	1	0	0	0
Acrocomia aculeata	LC	LC	1	0	0	0	0	1	1	1	1	12	50	canopy	30	3.5	2.5	NA	4.25	3.5	5	4.6	3.8	5.4	large	ovoid	cryptic	0	1	0	0	1	0	1	1	0	0
Acrocomia crispa	LC	NA	1	0	0	0	0	1	1	1	1	18	35	canopy	15	3	NA	0.65	2.5	NA	NA	1.8	NA	NA	small	globose	conspicuous	0	0	0	0	0	0	1	0	0	0
Acrocomia emensis	non-LC	non-LC	1	0	0	0	1	0	1	1	1	0	NA	understorey	NA	NA	NA	NA	2	NA	NA	2	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia glaucescens	non-LC	non-LC	1	0	0	0	0	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia hassleri	LC	LC	1	0	0	0	1	0	1	1	1	0	NA	understorey	6	0.9	0.54	0.51	2.25	1.5	3	2.25	1.5	3	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia intumescens	LC	LC	1	0	0	0	0	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	4.6	3.8	5.4	4.6	3.8	5.4	large	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia media	LC	NA	1	0	0	0	0	1	1	1	1	15	30	canopy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia totai	LC	LC	1	0	0	0	0	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	3	2.5	3.5	3	2.5	3.5	small	NA	conspicuous	0	0	0	0	0	0	0	1	0	0
Actinokentia divaricata	LC	LC	0	0	1	0	0	1	1	0	0	9	9	canopy	7	2.35	2.1	1.3	2.6	1.8	3.4	1.1	0.8	1.4	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinokentia huerlimannii	non-LC	non-LC	0	0	1	0	0	1	1	0	0	9	36	canopy	10	1.2	NA	0.22	3	NA	NA	1.3	NA	NA	small	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinorhytis calapparia	LC	LC	0	0	1	0	0	1	1	0	0	40	30	canopy	13	4.76	4.3	0.51	10	NA	NA	5.5	5	6	large	ovoid	conspicuous	1	1	0	0	1	0	1	1	0	1
Adonidia dransfieldii	non-LC	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adonidia merrillii	non-LC	LC	0	0	1	0	0	1	1	0	0	7	30	canopy	17	2.2	2	0.22	2.5	NA	NA	1.3	NA	NA	small	elongate	conspicuous	0	1	0	0	0	0	1	0	0	1
Aiphanes acanthophylla	LC	NA	1	0	0	0	0	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1.4	NA	NA	1.4	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes acaulis	non-LC	non-LC	1	0	0	0	1	0	1	0	1	0	NA	understorey	10	1.83	1.33	0.33	1	NA	NA	1	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes argos	non-LC	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes bicornis	non-LC	non-LC	1	0	0	0	0	1	1	1	1	0.5	2.5	understorey	13	0.54	0.54	NA	0.6	NA	NA	0.8	NA	NA	small	ovoid	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
