"accepted_name"	"Nocc"	"IUCN_TS_detail"	"IUCN_TS_sum"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld"	"Subset"	"NsubPop"	"Nloc"	"AOO"	"EOO"	"HFI"	"HPD"	"FLO"	"Tseas"	"Pseas"	"Tflex"	"Pflex"	"ECO"	"TDWG3"
"Acrocomia emensis"	5	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0.00675675675675676	0.0045662100456621	0.00152671755725191	0.00129357330156548	0.398225613383611	0.0128674258190226	0.164033828665804	0.203411921894606	0.457164670525642	0.56336134031134	0.0447417521767301	0.008	0.0476190476190476
"Actinokentia divaricata"	32	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.0168918918918919	0.0194063926940639	0.00916030534351145	1.47675789792298e-05	0.373316255428947	0.0128135068613751	0.0289364243253091	0.309829747441773	0.181567042765565	0.697543160516582	0.349423647754629	0.008	0
"Actinokentia huerlimannii"	4	"EN"	"nonLC"	"EN"	"nonLC"	"TRAIN"	0.00168918918918919	0.00114155251141553	0.000381679389312977	3.54983869309573e-08	0.299366735938	0.00977852652917758	0.012994767931854	0.324686211156511	0.148997010148929	0.670717649000348	0.396888481362653	0.008	0
"Aiphanes grandis"	15	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0.00506756756756757	0.0045662100456621	0.00190839694656489	7.06605725505641e-06	0.383162837755029	0.0136249684745572	0.0395279723448105	0.0183621826572563	0.527210961362237	0.787318704543867	0.0575557881569478	0.016	0
"Aiphanes minima"	3	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	0.00168918918918919	0.00114155251141553	0.000763358778625954	2.26251728904355e-06	0.697560056476017	0.0928683660659026	0.347815549447968	0.139809449450851	0.155951179542601	0.834963743555647	0.423792027428309	0.016	0.0238095238095238
"Aiphanes verrucosa"	13	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0.00337837837837838	0.00342465753424658	0.00305343511450382	1.78102461273554e-06	0.297302777088904	0.00435116808403602	0.028970585099533	0.0296371924614677	0.166351552828007	0.736721714655919	0.432275172347632	0.016	0
"Areca abdulrahmanii"	2	"NT"	"nonLC"	"NT"	"nonLC"	"TRAIN"	0	0	0.000381679389312977	NA	0.0522959520826316	0.000401138425764121	0.00533948006788702	0.0263747574980782	0.0573809002152768	0.918635984308156	0.777846039728541	0.008	0
"Areca novohibernica"	27	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0.035472972972973	0.023972602739726	0.00916030534351145	0.00324838801357369	0.354641056596175	0.00484223174725223	0.137722374357001	0.0364305373958274	0.106030651982475	0.940872526397551	0.592474470818928	0.04	0.0238095238095238
"Areca oxycarpa"	9	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0.00675675675675676	0.0045662100456621	0.00229007633587786	1.07543553970147e-05	0.312536660736283	0.0223832704646376	0.17141964606207	0.0191517059941742	0.102795934280389	0.896563527359029	0.502472413186843	0.016	0
"Areca parens"	1	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0	0	0	NA	0.509663400557342	0.0349749972143703	0.036921681490585	0.13497509044689	0.253751768217387	0.854108196681087	0.296034219037356	0.008	0
"Areca unipa"	1	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0	0	0	NA	0.00962992902211554	0.0029746893377401	0.008708833297087	0.029800812277814	0.0497014988141571	0.924227259878921	0.732618099478681	0.008	0
"Astrocaryum aculeatissimum"	51	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	0.0608108108108108	0.0445205479452055	0.017175572519084	0.000697684564938883	0.507404525866397	0.106779856196558	0.163566167423083	0.279545139892626	0.273463503800303	0.633262099031793	0.273193377402281	0.04	0.0476190476190476
"Attalea barreirensis"	23	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0.027027027027027	0.021689497716895	0.00763358778625954	0.00337045387770471	0.339093595566076	0.00635913650390358	0.169848610014089	0.121686474117622	0.489088482504169	0.60481061771177	0.0177987340069139	0.04	0.0238095238095238
"Attalea funifera"	35	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.0388513513513514	0.0296803652968037	0.0114503816793893	0.000399901467620879	0.545790369283334	0.112582511952339	0.150527859927716	0.163007440896994	0.172730181422778	0.848385128890979	0.457559080262067	0.048	0.0238095238095238
"Bactris glaucescens"	44	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.0506756756756757	0.0365296803652968	0.0129770992366412	0.00915837293113756	0.263179052874843	0.00291956990170549	0.0909373971968496	0.256009152677584	0.331948335088515	0.605509896290349	0.147089374190713	0.08	0.0952380952380952
"Bactris hatschbachii"	6	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	0.00675675675675676	0.0045662100456621	0.00190839694656489	0.000451038023475449	0.476440069537583	0.0131423738693861	0.066745054450412	0.305820339656753	0.186925756997473	0.703819562504228	0.399003549374784	0.024	0.0238095238095238
"Bactris horridispatha"	12	"VU"	"nonLC"	"VU"	"nonLC"	"TRAIN"	0.0118243243243243	0.00799086757990868	0.00267175572519084	4.28840408334201e-05	0.523609404232827	0.145145035985712	0.190324493191545	0.170238103946545	0.116201967820946	0.836535540269379	0.569403187465499	0.016	0
"Bactris pickelii"	37	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	0.0422297297297297	0.0308219178082192	0.0125954198473282	0.000966480084052429	0.45224468720331	0.0182699983986034	0.166868800852311	0.198876844060991	0.238807651345705	0.745468295488257	0.312795996713741	0.04	0.0238095238095238
