"size" "decay" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
1 0.005 0.741427630340674 0.468026656179198 0.0880192656737629 0.185406777885924
1 0.01 0.744255599472991 0.476442458981968 0.0942015309771902 0.196335756781719
1 0.05 0.739020327498588 0.460437346969563 0.0860331116714526 0.18071214423916
1 0.1 0.73085450781103 0.438944292597242 0.0906679173110665 0.192987665761315
1 0.5 0.735383963862225 0.441486166811432 0.0829341555582329 0.179496497662146
1 1 0.71935441370224 0.402754610198661 0.089032825501142 0.194442001925597
1 2 0.692999247129682 0.348158959962026 0.0933246986133069 0.200317878013565
1 5 0.523434029738378 0.0465818615762781 0.0920994916088452 0.0877592956287887
1 8 0.502611518915867 0 0.0708079957415005 0
1 10 0.49126764539808 0 0.070311001427161 0
2 0.005 0.72680312441182 0.440125545732774 0.089956811454433 0.184747534860098
2 0.01 0.728382269904009 0.444301161268617 0.0837375538372812 0.175625843213554
2 0.05 0.742433653303219 0.467658997494267 0.0942989886721915 0.199685959401406
2 0.1 0.725994729907773 0.431468814934774 0.0907195777713622 0.191654931719057
2 0.5 0.725495012234143 0.42018565714021 0.0869891895859346 0.187648719922868
2 1 0.721210239036326 0.40725352037297 0.0854024098033565 0.184276085847262
2 2 0.698509316770186 0.358985273514824 0.0899954621531536 0.194560134494251
2 5 0.690428194993412 0.341778383024647 0.0943834674684016 0.202635091742699
2 8 0.497659514398645 0 0.0708175682742612 0
2 10 0.500793337097685 0 0.0708521378648281 0
3 0.005 0.715635234330886 0.424823537645515 0.0900526060764157 0.179136348726332
3 0.01 0.704898362507058 0.398265176936172 0.0950998106018104 0.195060687084423
3 0.05 0.728180877093921 0.444583008321435 0.0927489289869125 0.191869551371231
3 0.1 0.726418219461698 0.434945039477871 0.09116583416124 0.189384750167319
3 0.5 0.722352719744024 0.414384308178857 0.0908219724878101 0.193867205343366
3 1 0.723484848484849 0.412201997404965 0.0869142454008733 0.187964740254818
3 2 0.698617541878411 0.358182557937989 0.0906467455322275 0.194112402137781
3 5 0.682400715226802 0.327893148848192 0.0985299392029491 0.209818143190206
3 8 0.508337097684924 0 0.0703594477697464 0
3 10 0.505372670807453 0.00111587982832618 0.0711890593149885 0.0111587982832618
5 0.005 0.686953698475438 0.365434299107544 0.104216367899279 0.212035448565336
5 0.01 0.696605495953322 0.383398333894679 0.0907740561423813 0.18512849290239
5 0.05 0.717799736495389 0.423647767216944 0.0853767945683329 0.178668038623851
5 0.1 0.722882552230378 0.429391645269388 0.0907740263009684 0.189555181326751
5 0.5 0.726819122906079 0.422696488115059 0.0911736160686413 0.196923064719495
5 1 0.721062488236401 0.405681913522763 0.0855509623874735 0.184840834405035
5 2 0.705550536420102 0.370852854891737 0.0877715516988 0.191419483370847
5 5 0.69126388104649 0.343190950693066 0.0908049546773255 0.194278706025381
5 8 0.493085827216262 0 0.07051505164981 0
5 10 0.491533032185206 0 0.0703437808224308 0
7 0.005 0.697817617165443 0.386612775824784 0.0946087729397769 0.190788702146609
7 0.01 0.695513833992095 0.383412601791064 0.0961890545321617 0.192496769157504
7 0.05 0.719297948428383 0.428594691642087 0.0973779763167642 0.197980811935159
7 0.1 0.721502917372483 0.428679015211913 0.0935627479657071 0.195215147303799
7 0.5 0.725121400338792 0.419533680875384 0.0833392027027338 0.180129108626588
7 1 0.718996800301148 0.400917934213726 0.0896973755846192 0.194672674548582
7 2 0.698929983060418 0.358094621882443 0.0890741007538773 0.192801906493942
7 5 0.684220779220779 0.32849878783596 0.09905483892816 0.209728987080091
7 8 0.508455674760023 0 0.070345152918384 0
7 10 0.499342179559571 0 0.0708535396607661 0
9 0.005 0.67768115942029 0.348337090185994 0.094816486610019 0.190590775515012
9 0.01 0.693825522303783 0.378442508244819 0.0856387564321744 0.174312413575295
9 0.05 0.715027291549031 0.419309621882643 0.0910623372850145 0.186372398110441
9 0.1 0.722018633540373 0.428662094073391 0.0903247003545794 0.188019492719018
9 0.5 0.730047995482778 0.428773304746278 0.0877750660442843 0.189575976098076
9 1 0.716639375117636 0.395130496929847 0.0898565857699289 0.195906906337927
9 2 0.703441558441558 0.366695381819738 0.0939457803520353 0.202641151980211
9 5 0.69059853190288 0.340231131522098 0.0906420171779338 0.195538049701518
9 8 0.491301524562394 0 0.0703152432173531 0
9 10 0.499059853190288 0 0.070850323761535 0
11 0.005 0.689187841144363 0.374015398443819 0.0965533184000751 0.192584960902058
11 0.01 0.698798230754752 0.38907720497969 0.0934036470377439 0.191338940968885
