Neural Network 

225 samples
 13 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (9), centered (9), scaled (9), remove (4) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using down-sampling prior to pre-processing

Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa     
   1    5e-03  0.7414276  0.46802666
   1    1e-02  0.7442556  0.47644246
   1    5e-02  0.7390203  0.46043735
   1    1e-01  0.7308545  0.43894429
   1    5e-01  0.7353840  0.44148617
   1    1e+00  0.7193544  0.40275461
   1    2e+00  0.6929992  0.34815896
   1    5e+00  0.5234340  0.04658186
   1    8e+00  0.5026115  0.00000000
   1    1e+01  0.4912676  0.00000000
   2    5e-03  0.7268031  0.44012555
   2    1e-02  0.7283823  0.44430116
   2    5e-02  0.7424337  0.46765900
   2    1e-01  0.7259947  0.43146881
   2    5e-01  0.7254950  0.42018566
   2    1e+00  0.7212102  0.40725352
   2    2e+00  0.6985093  0.35898527
   2    5e+00  0.6904282  0.34177838
   2    8e+00  0.4976595  0.00000000
   2    1e+01  0.5007933  0.00000000
   3    5e-03  0.7156352  0.42482354
   3    1e-02  0.7048984  0.39826518
   3    5e-02  0.7281809  0.44458301
   3    1e-01  0.7264182  0.43494504
   3    5e-01  0.7223527  0.41438431
   3    1e+00  0.7234848  0.41220200
   3    2e+00  0.6986175  0.35818256
   3    5e+00  0.6824007  0.32789315
   3    8e+00  0.5083371  0.00000000
   3    1e+01  0.5053727  0.00111588
   5    5e-03  0.6869537  0.36543430
   5    1e-02  0.6966055  0.38339833
   5    5e-02  0.7177997  0.42364777
   5    1e-01  0.7228826  0.42939165
   5    5e-01  0.7268191  0.42269649
   5    1e+00  0.7210625  0.40568191
   5    2e+00  0.7055505  0.37085285
   5    5e+00  0.6912639  0.34319095
   5    8e+00  0.4930858  0.00000000
   5    1e+01  0.4915330  0.00000000
   7    5e-03  0.6978176  0.38661278
   7    1e-02  0.6955138  0.38341260
   7    5e-02  0.7192979  0.42859469
   7    1e-01  0.7215029  0.42867902
   7    5e-01  0.7251214  0.41953368
   7    1e+00  0.7189968  0.40091793
   7    2e+00  0.6989300  0.35809462
   7    5e+00  0.6842208  0.32849879
   7    8e+00  0.5084557  0.00000000
   7    1e+01  0.4993422  0.00000000
   9    5e-03  0.6776812  0.34833709
   9    1e-02  0.6938255  0.37844251
   9    5e-02  0.7150273  0.41930962
   9    1e-01  0.7220186  0.42866209
   9    5e-01  0.7300480  0.42877330
   9    1e+00  0.7166394  0.39513050
   9    2e+00  0.7034416  0.36669538
   9    5e+00  0.6905985  0.34023113
   9    8e+00  0.4913015  0.00000000
   9    1e+01  0.4990599  0.00000000
  11    5e-03  0.6891878  0.37401540
  11    1e-02  0.6987982  0.38907720
  11    5e-02  0.7126238  0.41538268
  11    1e-01  0.7290288  0.44315918
  11    5e-01  0.7232816  0.41599048
  11    1e+00  0.7203388  0.40298546
  11    2e+00  0.7012225  0.36308231
  11    5e+00  0.6966968  0.35381153
  11    8e+00  0.5058583  0.00000000
  11    1e+01  0.4864455  0.00000000
  13    5e-03  0.6828261  0.35950377
  13    1e-02  0.6852644  0.36244904
  13    5e-02  0.7137342  0.41965517
  13    1e-01  0.7231357  0.43153188
  13    5e-01  0.7291765  0.42700968
  13    1e+00  0.7215820  0.40578412
  13    2e+00  0.7016215  0.36179055
  13    5e+00  0.6941060  0.34555086
  13    8e+00  0.5024873  0.00000000
  13    1e+01  0.5009119  0.00000000

Kappa was used to select the optimal model using the largest value.
The final values used for the model were size = 1 and decay = 0.01.
