Neural Network 

225 samples
 13 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (9), centered (9), scaled (9), remove (4) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa      
   1    5e-03  0.7474826  0.477954125
   1    1e-02  0.7375343  0.454278603
   1    5e-02  0.7314097  0.437497299
   1    1e-01  0.7344965  0.440467952
   1    5e-01  0.7424534  0.450162237
   1    1e+00  0.7234002  0.399267086
   1    2e+00  0.6831611  0.301431709
   1    5e+00  0.5703520  0.003653009
   1    8e+00  0.5689864  0.000000000
   1    1e+01  0.5689864  0.000000000
   2    5e-03  0.7337380  0.446147386
   2    1e-02  0.7354771  0.450026385
   2    5e-02  0.7295389  0.433700322
   2    1e-01  0.7255167  0.423538832
   2    5e-01  0.7403011  0.445136288
   2    1e+00  0.7181037  0.387346978
   2    2e+00  0.6831611  0.302037761
   2    5e+00  0.5822887  0.034803460
   2    8e+00  0.5689864  0.000000000
   2    1e+01  0.5689864  0.000000000
   3    5e-03  0.7180896  0.418707845
   3    1e-02  0.7114540  0.402068966
   3    5e-02  0.7309853  0.440123458
   3    1e-01  0.7343252  0.443133527
   3    5e-01  0.7381470  0.439745287
   3    1e+00  0.7207322  0.393570437
   3    2e+00  0.6884397  0.316300861
   3    5e+00  0.5968699  0.074837739
   3    8e+00  0.5689864  0.000000000
   3    1e+01  0.5689864  0.000000000
   5    5e-03  0.7006277  0.382795248
   5    1e-02  0.7180623  0.420483135
   5    5e-02  0.7228807  0.424900696
   5    1e-01  0.7210663  0.415666145
   5    5e-01  0.7380444  0.439510579
   5    1e+00  0.7141333  0.378433217
   5    2e+00  0.6862460  0.311149371
   5    5e+00  0.6079804  0.103785683
   5    8e+00  0.5689864  0.000000000
   5    1e+01  0.5689864  0.000000000
   7    5e-03  0.6911839  0.368755844
   7    1e-02  0.7101299  0.404007041
   7    5e-02  0.7179720  0.415052757
   7    1e-01  0.7193826  0.413364499
   7    5e-01  0.7354160  0.433565729
   7    1e+00  0.7119001  0.373296932
   7    2e+00  0.6875306  0.314162684
   7    5e+00  0.6136919  0.118813068
   7    8e+00  0.5689864  0.000000000
   7    1e+01  0.5689864  0.000000000
   9    5e-03  0.6902127  0.366179148
   9    1e-02  0.7017128  0.386419541
   9    5e-02  0.7167758  0.412614927
   9    1e-01  0.7272680  0.432019663
   9    5e-01  0.7367617  0.436321031
   9    1e+00  0.7114653  0.372500010
   9    2e+00  0.6862262  0.311190086
   9    5e+00  0.6163815  0.125731243
   9    8e+00  0.5689864  0.000000000
   9    1e+01  0.5689864  0.000000000
  11    5e-03  0.6964559  0.377235329
  11    1e-02  0.7010512  0.386764298
  11    5e-02  0.7200508  0.421891345
  11    1e-01  0.7238331  0.425307243
  11    5e-01  0.7376548  0.438292567
  11    1e+00  0.7110521  0.371456286
  11    2e+00  0.6862460  0.311032387
  11    5e+00  0.6168379  0.127323921
  11    8e+00  0.5689864  0.000000000
  11    1e+01  0.5689864  0.000000000
  13    5e-03  0.6894429  0.361687584
  13    1e-02  0.6953237  0.375523872
  13    5e-02  0.7126633  0.406754452
  13    1e-01  0.7242998  0.427469635
  13    5e-01  0.7372972  0.437129902
  13    1e+00  0.7110521  0.371456286
  13    2e+00  0.6862460  0.311032387
  13    5e+00  0.6208122  0.137400620
  13    8e+00  0.5689864  0.000000000
  13    1e+01  0.5689864  0.000000000

Kappa was used to select the optimal model using the largest value.
The final values used for the model were size = 1 and decay = 0.005.
