Neural Network 

225 samples
 13 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (9), centered (9), scaled (9), remove (4) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using SMOTE prior to pre-processing

Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa    
   1    5e-03  0.7351468  0.4516856
   1    1e-02  0.7341549  0.4491178
   1    5e-02  0.7397873  0.4586971
   1    1e-01  0.7371805  0.4518616
   1    5e-01  0.7398268  0.4530867
   1    1e+00  0.7294278  0.4287873
   1    2e+00  0.7350009  0.4386873
   1    5e+00  0.7029240  0.3604386
   1    8e+00  0.6687935  0.2746071
   1    1e+01  0.6439639  0.2096817
   2    5e-03  0.7184576  0.4126183
   2    1e-02  0.7261077  0.4267219
   2    5e-02  0.7139893  0.3995108
   2    1e-01  0.7188472  0.4086331
   2    5e-01  0.7150169  0.3980778
   2    1e+00  0.7334952  0.4357108
   2    2e+00  0.7358112  0.4387778
   2    5e+00  0.7061707  0.3666144
   2    8e+00  0.6790467  0.2995681
   2    1e+01  0.6637719  0.2601689
   3    5e-03  0.7237474  0.4265222
   3    1e-02  0.7201713  0.4201413
   3    5e-02  0.7237220  0.4249994
   3    1e-01  0.7155505  0.4044581
   3    5e-01  0.7146471  0.3977716
   3    1e+00  0.7233173  0.4144286
   3    2e+00  0.7336194  0.4336805
   3    5e+00  0.7044316  0.3639231
   3    8e+00  0.6829814  0.3113370
   3    1e+01  0.6687521  0.2751921
   5    5e-03  0.7097421  0.4021620
   5    1e-02  0.7141850  0.4097922
   5    5e-02  0.7169895  0.4122607
   5    1e-01  0.7312479  0.4419197
   5    5e-01  0.7265010  0.4222030
   5    1e+00  0.7294852  0.4270036
   5    2e+00  0.7366215  0.4394352
   5    5e+00  0.7056371  0.3663837
   5    8e+00  0.6853783  0.3163380
   5    1e+01  0.6683710  0.2736241
   7    5e-03  0.7032703  0.3942620
   7    1e-02  0.7093949  0.4039501
   7    5e-02  0.7114737  0.4069446
   7    1e-01  0.7297440  0.4381539
   7    5e-01  0.7234792  0.4162250
   7    1e+00  0.7211472  0.4083797
   7    2e+00  0.7380642  0.4437822
   7    5e+00  0.7052419  0.3643644
   7    8e+00  0.6862422  0.3193797
   7    1e+01  0.6679560  0.2730642
   9    5e-03  0.6980999  0.3853289
   9    1e-02  0.7006813  0.3882560
   9    5e-02  0.7174675  0.4182117
   9    1e-01  0.7343525  0.4501577
   9    5e-01  0.7221551  0.4126579
   9    1e+00  0.7224497  0.4124663
   9    2e+00  0.7350480  0.4370376
   9    5e+00  0.7101826  0.3754300
   9    8e+00  0.6848805  0.3157024
   9    1e+01  0.6773508  0.2945496
  11    5e-03  0.6991747  0.3891672
  11    1e-02  0.6921127  0.3701765
  11    5e-02  0.7212978  0.4275446
  11    1e-01  0.7230623  0.4243581
  11    5e-01  0.7308705  0.4304867
  11    1e+00  0.7203586  0.4067200
  11    2e+00  0.7309712  0.4281992
  11    5e+00  0.6980407  0.3498388
  11    8e+00  0.6830011  0.3103154
  11    1e+01  0.6666121  0.2702813
  13    5e-03  0.7063100  0.4021097
  13    1e-02  0.7145229  0.4175738
  13    5e-02  0.7211632  0.4259156
  13    1e-01  0.7282129  0.4364847
  13    5e-01  0.7224694  0.4121916
  13    1e+00  0.7214813  0.4097167
  13    2e+00  0.7349689  0.4356402
  13    5e+00  0.7038566  0.3609344
  13    8e+00  0.6816300  0.3076677
  13    1e+01  0.6662065  0.2695476

Kappa was used to select the optimal model using the largest value.
The final values used for the model were size = 1 and decay = 0.05.
