Neural Network 

225 samples
 13 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (9), centered (9), scaled (9), remove (4) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using up-sampling prior to pre-processing

Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa      
   1    5e-03  0.7476765  0.481430058
   1    1e-02  0.7510973  0.489336264
   1    5e-02  0.7532138  0.489665632
   1    1e-01  0.7316648  0.442125300
   1    5e-01  0.7344589  0.440460081
   1    1e+00  0.7333625  0.432876453
   1    2e+00  0.7130322  0.388312638
   1    5e+00  0.6322031  0.239727498
   1    8e+00  0.4973998  0.000000000
   1    1e+01  0.5045539  0.000000000
   2    5e-03  0.7415876  0.471701998
   2    1e-02  0.7305185  0.445137385
   2    5e-02  0.7269829  0.437305694
   2    1e-01  0.7275343  0.436887973
   2    5e-01  0.7312658  0.433536528
   2    1e+00  0.7265424  0.420085683
   2    2e+00  0.7081988  0.376412148
   2    5e+00  0.6711397  0.310720372
   2    8e+00  0.5714408  0.115590307
   2    1e+01  0.5036335  0.000000000
   3    5e-03  0.7170149  0.421049105
   3    1e-02  0.7215547  0.431807712
   3    5e-02  0.7313608  0.447449925
   3    1e-01  0.7265744  0.436050460
   3    5e-01  0.7304414  0.431254987
   3    1e+00  0.7241944  0.414380055
   3    2e+00  0.7119161  0.384250520
   3    5e+00  0.6864992  0.333025864
   3    8e+00  0.5752946  0.129741459
   3    1e+01  0.4862140  0.000000000
   5    5e-03  0.6994043  0.385862588
   5    1e-02  0.7034792  0.392540671
   5    5e-02  0.7223490  0.429875309
   5    1e-01  0.7222718  0.429123835
   5    5e-01  0.7374299  0.446481725
   5    1e+00  0.7292142  0.425083347
   5    2e+00  0.7190147  0.399046553
   5    5e+00  0.6863749  0.332074741
   5    8e+00  0.5716817  0.125949528
   5    1e+01  0.5035150  0.000000000
   7    5e-03  0.6953906  0.378937711
   7    1e-02  0.6989639  0.385493561
   7    5e-02  0.7086749  0.401736369
   7    1e-01  0.7235074  0.430040707
   7    5e-01  0.7294692  0.428906151
   7    1e+00  0.7257181  0.416921004
   7    2e+00  0.7133032  0.386829815
   7    5e+00  0.6895172  0.336028706
   7    8e+00  0.5668125  0.119870305
   7    1e+01  0.4973885  0.000000000
   9    5e-03  0.6969838  0.380942951
   9    1e-02  0.6997468  0.383975701
   9    5e-02  0.7182091  0.422376015
   9    1e-01  0.7267899  0.438906481
   9    5e-01  0.7282693  0.425865178
   9    1e+00  0.7241888  0.412454220
   9    2e+00  0.7092104  0.377526180
   9    5e+00  0.6936062  0.345800067
   9    8e+00  0.5687728  0.116968399
   9    1e+01  0.5026595  0.003714286
  11    5e-03  0.6932176  0.374012367
  11    1e-02  0.7021222  0.390327049
  11    5e-02  0.7193629  0.424697814
  11    1e-01  0.7210917  0.425051683
  11    5e-01  0.7334792  0.438096594
  11    1e+00  0.7243074  0.412435866
  11    2e+00  0.7057755  0.371866292
  11    5e+00  0.6943986  0.346551149
  11    8e+00  0.5841483  0.139852589
  11    1e+01  0.5126059  0.000000000
  13    5e-03  0.7006126  0.387266229
  13    1e-02  0.7045031  0.394820944
  13    5e-02  0.7222840  0.431075156
  13    1e-01  0.7237088  0.431761375
  13    5e-01  0.7310380  0.432555885
  13    1e+00  0.7193704  0.401945043
  13    2e+00  0.7128233  0.385603148
  13    5e+00  0.6943431  0.345868701
  13    8e+00  0.5827536  0.128252796
  13    1e+01  0.4962479  0.000000000

Kappa was used to select the optimal model using the largest value.
The final values used for the model were size = 1 and decay = 0.05.
