"size" "decay" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
1 0.005 0.731901938641069 0.449614054295088 0.0953462321795575 0.201406681313373
1 0.01 0.733364389233954 0.453383555792285 0.0920303080664612 0.190649227927732
1 0.05 0.732923960097873 0.447425189533754 0.085747887749731 0.180555554169226
1 0.1 0.740105401844532 0.461632435757419 0.082483100717314 0.172985733970063
1 0.5 0.733817052512705 0.441538109647843 0.0872931113913936 0.188364007718604
1 1 0.729528514963298 0.427639187174941 0.0883703219606663 0.191983951940827
1 2 0.712625635234331 0.393228029064319 0.0877346204939526 0.187694272365914
1 5 0.580961791831357 0.160390296722339 0.0983177975411181 0.147266454765401
1 8 0.509635798983625 0 0.0701916996108282 0
1 10 0.506637492941841 0 0.0705419014158797 0
2 0.005 0.719627329192547 0.424942313127823 0.0828054648283726 0.172151768509532
2 0.01 0.727439299830604 0.443742664064536 0.0971580119058529 0.198473101858366
2 0.05 0.735698287220026 0.45731247672947 0.0939940510641669 0.195950118126454
2 0.1 0.735081874647092 0.453203361354206 0.087260423489854 0.182882730043713
2 0.5 0.730734048560135 0.434879751935329 0.0858829575565386 0.183604561021425
2 1 0.734923771880294 0.439979339626612 0.0878784312984876 0.189940835679229
2 2 0.727002635046113 0.421177690203565 0.0922015125979131 0.201544919180282
2 5 0.673989271597967 0.318203919514666 0.105370616034683 0.215038682303936
2 8 0.515081874647092 0.0107181500025087 0.0734901315639411 0.0570454301040843
2 10 0.498845285149633 0 0.0708471195352768 0
3 0.005 0.69813382269904 0.38470553271226 0.095098911563378 0.197456115874484
3 0.01 0.704714850367024 0.399828119915439 0.0890732525431887 0.182108511682081
3 0.05 0.727658573310747 0.442056646134379 0.0940934616129488 0.193337039901428
3 0.1 0.724900244682853 0.432743191750703 0.0914376034733702 0.19252965260659
3 0.5 0.72719273480143 0.428162217050719 0.0874783089360999 0.187841891525916
3 1 0.727277432712215 0.423670960850936 0.0846248444842823 0.182956968387466
