Neural Network 

225 samples
 13 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (13), centered (13), scaled (13) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using down-sampling prior to pre-processing

Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa     
   1    5e-03  0.7319019  0.44961405
   1    1e-02  0.7333644  0.45338356
   1    5e-02  0.7329240  0.44742519
   1    1e-01  0.7401054  0.46163244
   1    5e-01  0.7338171  0.44153811
   1    1e+00  0.7295285  0.42763919
   1    2e+00  0.7126256  0.39322803
   1    5e+00  0.5809618  0.16039030
   1    8e+00  0.5096358  0.00000000
   1    1e+01  0.5066375  0.00000000
   2    5e-03  0.7196273  0.42494231
   2    1e-02  0.7274393  0.44374266
   2    5e-02  0.7356983  0.45731248
   2    1e-01  0.7350819  0.45320336
   2    5e-01  0.7307340  0.43487975
   2    1e+00  0.7349238  0.43997934
   2    2e+00  0.7270026  0.42117769
   2    5e+00  0.6739893  0.31820392
   2    8e+00  0.5150819  0.01071815
   2    1e+01  0.4988453  0.00000000
   3    5e-03  0.6981338  0.38470553
   3    1e-02  0.7047149  0.39982812
   3    5e-02  0.7276586  0.44205665
   3    1e-01  0.7249002  0.43274319
   3    5e-01  0.7271927  0.42816222
   3    1e+00  0.7272774  0.42367096
   3    2e+00  0.7212893  0.40794041
   3    5e+00  0.6752230  0.32131928
   3    8e+00  0.5055581  0.02086545
   3    1e+01  0.4973885  0.00000000
   5    5e-03  0.6880275  0.36705180
   5    1e-02  0.6932025  0.37593303
   5    5e-02  0.7181432  0.42507839
   5    1e-01  0.7304376  0.44648087
   5    5e-01  0.7332995  0.44040764
   5    1e+00  0.7281969  0.42491196
   5    2e+00  0.7163665  0.39737363
   5    5e+00  0.6759204  0.32167083
   5    8e+00  0.5177357  0.03596361
   5    1e+01  0.4924760  0.00000000
   7    5e-03  0.6969575  0.38412012
   7    1e-02  0.7034030  0.39901677
   7    5e-02  0.7221156  0.43090798
   7    1e-01  0.7207896  0.42815971
   7    5e-01  0.7297995  0.43330854
   7    1e+00  0.7312479  0.43066475
   7    2e+00  0.7184002  0.40298898
   7    5e+00  0.6799595  0.32430257
   7    8e+00  0.5104922  0.01863781
   7    1e+01  0.4925663  0.00000000
   9    5e-03  0.7025466  0.39768174
   9    1e-02  0.7169161  0.42764945
   9    5e-02  0.7154715  0.41965593
   9    1e-01  0.7149417  0.41586109
   9    5e-01  0.7298447  0.43178011
   9    1e+00  0.7324854  0.43349016
   9    2e+00  0.7208385  0.40477398
   9    5e+00  0.6806597  0.32829151
   9    8e+00  0.5057058  0.02425935
   9    1e+01  0.5070102  0.00000000
  11    5e-03  0.7084500  0.41067899
  11    1e-02  0.7127602  0.41806691
  11    5e-02  0.6997995  0.38912771
  11    1e-01  0.7161651  0.41794220
  11    5e-01  0.7320563  0.43646618
  11    1e+00  0.7259260  0.41824430
  11    2e+00  0.7200856  0.40544000
  11    5e+00  0.6840787  0.33714068
  11    8e+00  0.5050405  0.01726002
  11    1e+01  0.5020525  0.00000000
  13    5e-03  0.7105449  0.41341216
  13    1e-02  0.7079616  0.40914773
  13    5e-02  0.7120008  0.41373788
  13    1e-01  0.7234500  0.43560599
  13    5e-01  0.7341511  0.44127552
  13    1e+00  0.7342838  0.43545576
  13    2e+00  0.7135601  0.39112631
  13    5e+00  0.6872106  0.33812282
  13    8e+00  0.5140260  0.03760480
  13    1e+01  0.4998786  0.00000000

Kappa was used to select the optimal model using the largest value.
The final values used for the model were size = 1 and decay = 0.1.
