Neural Network 

225 samples
 13 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (13), centered (13), scaled (13) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa      
   1    5e-03  0.7325485  0.445789749
   1    1e-02  0.7263251  0.431923912
   1    5e-02  0.7400009  0.456588716
   1    1e-01  0.7378487  0.450198073
   1    5e-01  0.7317043  0.430986579
   1    1e+00  0.7483898  0.458846885
   1    2e+00  0.7071824  0.359002146
   1    5e+00  0.5756051  0.018654395
   1    8e+00  0.5689864  0.000000000
   1    1e+01  0.5689864  0.000000000
   2    5e-03  0.7142104  0.406907474
   2    1e-02  0.7294815  0.436260434
   2    5e-02  0.7335008  0.443472634
   2    1e-01  0.7320525  0.438127052
   2    5e-01  0.7361312  0.438651322
   2    1e+00  0.7458206  0.452792614
   2    2e+00  0.7142951  0.375680511
   2    5e+00  0.6104903  0.112686095
   2    8e+00  0.5689864  0.000000000
   2    1e+01  0.5689864  0.000000000
   3    5e-03  0.7068982  0.396233111
   3    1e-02  0.7131376  0.408445603
   3    5e-02  0.7192048  0.418197936
   3    1e-01  0.7281451  0.433111710
   3    5e-01  0.7357557  0.437375198
   3    1e+00  0.7443779  0.449287747
   3    2e+00  0.7107595  0.368450591
   3    5e+00  0.6222191  0.142550866
   3    8e+00  0.5694626  0.001250000
   3    1e+01  0.5689864  0.000000000
   5    5e-03  0.7104244  0.402246768
   5    1e-02  0.6962940  0.375141894
   5    5e-02  0.7078788  0.395004221
   5    1e-01  0.7225936  0.422887652
   5    5e-01  0.7312676  0.427913372
   5    1e+00  0.7426981  0.444877479
   5    2e+00  0.7093939  0.365101380
   5    5e+00  0.6283456  0.158384504
   5    8e+00  0.5698560  0.002539452
   5    1e+01  0.5689864  0.000000000
   7    5e-03  0.7080472  0.400968212
   7    1e-02  0.7014380  0.386906537
   7    5e-02  0.7107802  0.404022467
   7    1e-01  0.7218530  0.420830884
   7    5e-01  0.7282242  0.421398347
   7    1e+00  0.7418088  0.442892791
   7    2e+00  0.7076548  0.361526514
   7    5e+00  0.6327960  0.169369703
   7    8e+00  0.5716347  0.007139421
   7    1e+01  0.5689864  0.000000000
   9    5e-03  0.7009853  0.385440632
   9    1e-02  0.7113335  0.407068728
   9    5e-02  0.7261886  0.434907899
   9    1e-01  0.7236354  0.426470272
   9    5e-01  0.7325720  0.430780159
   9    1e+00  0.7409392  0.440946967
   9    2e+00  0.7040759  0.353569773
   9    5e+00  0.6363533  0.178801555
   9    8e+00  0.5720478  0.008394260
   9    1e+01  0.5689864  0.000000000
  11    5e-03  0.7108611  0.407208701
  11    1e-02  0.7345643  0.455096831
  11    5e-02  0.7122859  0.405622342
  11    1e-01  0.7134519  0.404956967
  11    5e-01  0.7272756  0.420169600
  11    1e+00  0.7409392  0.440946967
  11    2e+00  0.7027320  0.350497637
  11    5e+00  0.6368276  0.180156853
  11    8e+00  0.5725024  0.009681388
  11    1e+01  0.5689864  0.000000000
  13    5e-03  0.7097977  0.404769546
  13    1e-02  0.7160964  0.418137274
  13    5e-02  0.7196160  0.421019015
  13    1e-01  0.7184002  0.415910814
  13    5e-01  0.7291333  0.422899398
  13    1e+00  0.7409392  0.440946967
  13    2e+00  0.7022774  0.349260493
  13    5e+00  0.6386062  0.184466823
  13    8e+00  0.5729569  0.010968517
  13    1e+01  0.5689864  0.000000000

Kappa was used to select the optimal model using the largest value.
The final values used for the model were size = 1 and decay = 1.
