Neural Network 

225 samples
 13 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (13), centered (13), scaled (13) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using SMOTE prior to pre-processing

Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa    
   1    5e-03  0.7326548  0.4471091
   1    1e-02  0.7286909  0.4385670
   1    5e-02  0.7222699  0.4204048
   1    1e-01  0.7308056  0.4374154
   1    5e-01  0.7298607  0.4331703
   1    1e+00  0.7370384  0.4461977
   1    2e+00  0.7321551  0.4329106
   1    5e+00  0.7310757  0.4231927
   1    8e+00  0.7028167  0.3550316
   1    1e+01  0.6823584  0.3036315
   2    5e-03  0.7190702  0.4124635
   2    1e-02  0.7036458  0.3800746
   2    5e-02  0.7114022  0.3945597
   2    1e-01  0.7210860  0.4148892
   2    5e-01  0.7211867  0.4141554
   2    1e+00  0.7298767  0.4294563
   2    2e+00  0.7356908  0.4391452
   2    5e+00  0.7333503  0.4290332
   2    8e+00  0.7049238  0.3598948
   2    1e+01  0.6955185  0.3357390
   3    5e-03  0.7234180  0.4286926
   3    1e-02  0.7194118  0.4197258
   3    5e-02  0.7106042  0.3980570
   3    1e-01  0.7145050  0.4041685
   3    5e-01  0.7186514  0.4066642
   3    1e+00  0.7235903  0.4166979
   3    2e+00  0.7361886  0.4399231
   3    5e+00  0.7293977  0.4212803
   3    8e+00  0.7116704  0.3771679
   3    1e+01  0.6964474  0.3405087
   5    5e-03  0.7132439  0.4102041
   5    1e-02  0.7051158  0.3955465
   5    5e-02  0.7224835  0.4291769
   5    1e-01  0.7238368  0.4257317
   5    5e-01  0.7221353  0.4136229
   5    1e+00  0.7193252  0.4068899
   5    2e+00  0.7348052  0.4366511
   5    5e+00  0.7301863  0.4227135
   5    8e+00  0.7121824  0.3791710
   5    1e+01  0.6995897  0.3466739
   7    5e-03  0.7090900  0.4078168
   7    1e-02  0.7221457  0.4306144
   7    5e-02  0.7243883  0.4318571
   7    1e-01  0.7339695  0.4480035
   7    5e-01  0.7188293  0.4083675
   7    1e+00  0.7180247  0.4030518
   7    2e+00  0.7361255  0.4397593
   7    5e+00  0.7320695  0.4258733
   7    8e+00  0.7117532  0.3775148
   7    1e+01  0.6915246  0.3279344
   9    5e-03  0.7210239  0.4321028
   9    1e-02  0.7371946  0.4630666
   9    5e-02  0.7230247  0.4309894
   9    1e-01  0.7224224  0.4238463
   9    5e-01  0.7221391  0.4148536
   9    1e+00  0.7223706  0.4136706
   9    2e+00  0.7344711  0.4360394
   9    5e+00  0.7328308  0.4275392
   9    8e+00  0.7111368  0.3757404
   9    1e+01  0.6992377  0.3452346
  11    5e-03  0.7242998  0.4379852
  11    1e-02  0.7170092  0.4212601
  11    5e-02  0.7408526  0.4664225
  11    1e-01  0.7286317  0.4373172
  11    5e-01  0.7229475  0.4160155
  11    1e+00  0.7184002  0.4036347
  11    2e+00  0.7330463  0.4331956
  11    5e+00  0.7275579  0.4165257
  11    8e+00  0.7062102  0.3652533
  11    1e+01  0.6936768  0.3329203
  13    5e-03  0.7272878  0.4440470
  13    1e-02  0.7320469  0.4531073
  13    5e-02  0.7296791  0.4430929
  13    1e-01  0.7232957  0.4263519
  13    5e-01  0.7158922  0.4004482
  13    1e+00  0.7178807  0.4018898
  13    2e+00  0.7370798  0.4412315
  13    5e+00  0.7288425  0.4188548
  13    8e+00  0.7049492  0.3625991
  13    1e+01  0.6952099  0.3370394

Kappa was used to select the optimal model using the largest value.
The final values used for the model were size = 11 and decay = 0.05.
