"size" "decay" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
1 0.005 0.720649350649351 0.42357480095527 0.0861609936363105 0.182397093430307
1 0.01 0.729900244682853 0.444179672557641 0.0849085104019753 0.175458449029782
1 0.05 0.741030491247883 0.464810068813704 0.0870124670686824 0.182198291535174
1 0.1 0.740911914172784 0.463447921032171 0.0862113681697175 0.181156666997731
1 0.5 0.735558065123282 0.444856291850571 0.0878394656840838 0.188785457945782
1 1 0.733516845473367 0.437128953357747 0.083767998962262 0.181292376069203
1 2 0.738998682476943 0.446594707460171 0.0894125185305201 0.193984205172385
1 5 0.678882928665537 0.327883983783193 0.0835519143978666 0.170339062739457
1 8 0.511515151515151 0.039067040947074 0.0859921510425788 0.0741243349869049
1 10 0.506485036702428 0 0.0705562235035721 0
2 0.005 0.719698851872765 0.42627150393866 0.0882150431421038 0.182565350001916
2 0.01 0.715078110295502 0.413000294342561 0.0875310163320243 0.183095761417248
2 0.05 0.729882364012799 0.444950093632073 0.0934492522030903 0.194609717896012
2 0.1 0.742868435911914 0.4682996309683 0.0882506285840957 0.185636275370075
2 0.5 0.738121588556371 0.450984144430492 0.088218215811086 0.188414237901664
2 1 0.730338791643139 0.429771971187799 0.0874748347433988 0.189426415267761
2 2 0.726362695275739 0.418091321896826 0.0852916105016732 0.187019248432453
2 5 0.691005081874647 0.348007934380207 0.0978907410924235 0.2082795053043
2 8 0.680210803689065 0.325656496325422 0.100769613851239 0.216278680913011
2 10 0.543418972332016 0.0811360348041942 0.10154582461605 0.149955017676582
3 0.005 0.692774327122153 0.368431640824543 0.0898404337391249 0.188197955285829
3 0.01 0.702821381517034 0.391857007983229 0.0934379386157449 0.188240614091973
3 0.05 0.728148880105402 0.441475700495025 0.0783257084754522 0.163335343085575
3 0.1 0.722941840767928 0.42900528131762 0.0826654285073732 0.175479424378501
3 0.5 0.727591756070017 0.428622187313117 0.0859887640885879 0.185154412357432
3 1 0.721957462827028 0.411769252174448 0.0879157702909272 0.191044146898993
3 2 0.733226049313006 0.433495302753517 0.0806361629187471 0.173526805728219
3 5 0.692433653303218 0.351244409214158 0.104671228737372 0.222011189081398
3 8 0.671272350837568 0.310733984471338 0.0932606848209176 0.196016179295325
3 10 0.537422360248447 0.0773144998043806 0.101664556067964 0.146740479110972
5 0.005 0.692163561076605 0.371781496708744 0.10138042411508 0.207869226072441
5 0.01 0.705032938076416 0.39543891616824 0.0973814353257852 0.20122146776246
5 0.05 0.718129117259552 0.42093354739966 0.0834783119022414 0.171833799678215
5 0.1 0.704134199134199 0.391166188257791 0.0913621065711049 0.186640259685507
5 0.5 0.737587991718426 0.449495431961886 0.0877920434518574 0.189275367551384
5 1 0.732615283267457 0.433767121967028 0.084298134950712 0.18303419772924
5 2 0.727478825522304 0.419869799083646 0.0842282836443088 0.185030006724034
5 5 0.692289666854884 0.349558078907048 0.0979869726173283 0.211395361268871
5 8 0.687444005270092 0.341323973339513 0.103753219889551 0.218300909158518
5 10 0.534103143233578 0.0651564884518341 0.0917511767948791 0.126069222172227
7 0.005 0.707479766610201 0.402546362397906 0.0927618359324079 0.186171092266501
7 0.01 0.704341238471673 0.394806578182085 0.0919810941454063 0.189223291591795
7 0.05 0.713430265386787 0.41023645178882 0.0912611043928003 0.188969752891169
7 0.1 0.72223602484472 0.429988739257724 0.0945018962212908 0.193456129703106
7 0.5 0.730672877846791 0.433706362741479 0.0883933596126628 0.19087352018283
7 1 0.736522680218332 0.443427474219131 0.0772131708213331 0.167007594531081
7 2 0.731925465838509 0.429948269544412 0.0866125859540385 0.187554268465688
7 5 0.691003199698852 0.345737358555299 0.0908018319425617 0.197468302654282
7 8 0.68515339732731 0.336136863576253 0.0993236289521484 0.210913009641708
7 10 0.543877282138152 0.0741320799862129 0.0926109695512427 0.125761512258498
9 0.005 0.704592508940335 0.39540723244225 0.0926188214565541 0.190616276743965
9 0.01 0.716574440052701 0.41900176270324 0.0905277997651563 0.184826294291033
9 0.05 0.715783926218709 0.416880041296659 0.0910712976669947 0.188607769283996
9 0.1 0.722756446452099 0.428254426853858 0.0882129743607274 0.182499912232
9 0.5 0.731188594014681 0.435394330785508 0.0863805583628918 0.184900953869435
9 1 0.7262205910032 0.41985132872228 0.0847881536819649 0.183435453908222
