Neural Network 

225 samples
 13 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (13), centered (13), scaled (13) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using up-sampling prior to pre-processing

Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa     
   1    5e-03  0.7206494  0.42357480
   1    1e-02  0.7299002  0.44417967
   1    5e-02  0.7410305  0.46481007
   1    1e-01  0.7409119  0.46344792
   1    5e-01  0.7355581  0.44485629
   1    1e+00  0.7335168  0.43712895
   1    2e+00  0.7389987  0.44659471
   1    5e+00  0.6788829  0.32788398
   1    8e+00  0.5115152  0.03906704
   1    1e+01  0.5064850  0.00000000
   2    5e-03  0.7196989  0.42627150
   2    1e-02  0.7150781  0.41300029
   2    5e-02  0.7298824  0.44495009
   2    1e-01  0.7428684  0.46829963
   2    5e-01  0.7381216  0.45098414
   2    1e+00  0.7303388  0.42977197
   2    2e+00  0.7263627  0.41809132
   2    5e+00  0.6910051  0.34800793
   2    8e+00  0.6802108  0.32565650
   2    1e+01  0.5434190  0.08113603
   3    5e-03  0.6927743  0.36843164
   3    1e-02  0.7028214  0.39185701
   3    5e-02  0.7281489  0.44147570
   3    1e-01  0.7229418  0.42900528
   3    5e-01  0.7275918  0.42862219
   3    1e+00  0.7219575  0.41176925
   3    2e+00  0.7332260  0.43349530
   3    5e+00  0.6924337  0.35124441
   3    8e+00  0.6712724  0.31073398
   3    1e+01  0.5374224  0.07731450
   5    5e-03  0.6921636  0.37178150
   5    1e-02  0.7050329  0.39543892
   5    5e-02  0.7181291  0.42093355
   5    1e-01  0.7041342  0.39116619
   5    5e-01  0.7375880  0.44949543
   5    1e+00  0.7326153  0.43376712
   5    2e+00  0.7274788  0.41986980
   5    5e+00  0.6922897  0.34955808
   5    8e+00  0.6874440  0.34132397
   5    1e+01  0.5341031  0.06515649
   7    5e-03  0.7074798  0.40254636
   7    1e-02  0.7043412  0.39480658
   7    5e-02  0.7134303  0.41023645
   7    1e-01  0.7222360  0.42998874
   7    5e-01  0.7306729  0.43370636
   7    1e+00  0.7365227  0.44342747
   7    2e+00  0.7319255  0.42994827
   7    5e+00  0.6910032  0.34573736
   7    8e+00  0.6851534  0.33613686
   7    1e+01  0.5438773  0.07413208
   9    5e-03  0.7045925  0.39540723
   9    1e-02  0.7165744  0.41900176
   9    5e-02  0.7157839  0.41688004
   9    1e-01  0.7227564  0.42825443
   9    5e-01  0.7311886  0.43539433
   9    1e+00  0.7262206  0.41985133
   9    2e+00  0.7251845  0.41336571
   9    5e+00  0.7012620  0.36566008
   9    8e+00  0.6884359  0.34089971
   9    1e+01  0.5563222  0.08257996
  11    5e-03  0.6993488  0.38388551
  11    1e-02  0.7176059  0.42187547
  11    5e-02  0.7196932  0.42550382
  11    1e-01  0.7162008  0.41613784
  11    5e-01  0.7321353  0.43688224
  11    1e+00  0.7294871  0.42723349
  11    2e+00  0.7176510  0.39853191
  11    5e+00  0.7030030  0.37009729
  11    8e+00  0.6847798  0.33176168
  11    1e+01  0.5327988  0.04673489
  13    5e-03  0.7057246  0.39783329
  13    1e-02  0.7224280  0.43005475
  13    5e-02  0.7086138  0.40331083
  13    1e-01  0.7125466  0.40965803
  13    5e-01  0.7325108  0.43850104
  13    1e+00  0.7280858  0.42492039
  13    2e+00  0.7229654  0.40943128
  13    5e+00  0.7025071  0.36818418
  13    8e+00  0.6862874  0.33505339
  13    1e+01  0.5446960  0.06903524

Kappa was used to select the optimal model using the largest value.
The final values used for the model were size = 2 and decay = 0.1.
