Neural Network 

225 samples
  7 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (5), centered (5), scaled (5), remove (2) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using down-sampling prior to pre-processing

Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa      
   1    5e-03  0.7524609  0.486913811
   1    1e-02  0.7506249  0.482897988
   1    5e-02  0.7533559  0.486053877
   1    1e-01  0.7462808  0.468678696
   1    5e-01  0.7452870  0.461359144
   1    1e+00  0.7389356  0.438714191
   1    2e+00  0.7246650  0.403216409
   1    5e+00  0.5021890  0.008295629
   1    8e+00  0.5007820  0.000000000
   1    1e+01  0.4936335  0.000000000
   2    5e-03  0.7488745  0.484606370
   2    1e-02  0.7493798  0.482609319
   2    5e-02  0.7474826  0.474017026
   2    1e-01  0.7466130  0.470224270
   2    5e-01  0.7420403  0.453754690
   2    1e+00  0.7405082  0.443321432
   2    2e+00  0.7314615  0.419188303
   2    5e+00  0.7172501  0.383319006
   2    8e+00  0.5037973  0.000000000
   2    1e+01  0.4904715  0.000000000
   3    5e-03  0.7337794  0.449809671
   3    1e-02  0.7370008  0.457997467
   3    5e-02  0.7407811  0.461087792
   3    1e-01  0.7443996  0.465566695
   3    5e-01  0.7425560  0.454599981
   3    1e+00  0.7386825  0.438904259
   3    2e+00  0.7322501  0.417513719
   3    5e+00  0.7010691  0.350863072
   3    8e+00  0.4983315  0.000000000
   3    1e+01  0.4977950  0.000000000
   5    5e-03  0.7055609  0.393423532
   5    1e-02  0.7160521  0.413978814
   5    5e-02  0.7368662  0.453795115
   5    1e-01  0.7381329  0.453358785
   5    5e-01  0.7443544  0.458453014
   5    1e+00  0.7400480  0.439927625
   5    2e+00  0.7308865  0.414621247
   5    5e+00  0.7155327  0.377971598
   5    8e+00  0.5086251  0.000000000
   5    1e+01  0.4990034  0.000000000
   7    5e-03  0.7135620  0.413315309
   7    1e-02  0.7146631  0.413765851
   7    5e-02  0.7376962  0.454199004
   7    1e-01  0.7425579  0.461946516
   7    5e-01  0.7442932  0.457719005
   7    1e+00  0.7359119  0.431259462
   7    2e+00  0.7296019  0.411929990
   7    5e+00  0.6987229  0.346988387
   7    8e+00  0.4944890  0.001287129
   7    1e+01  0.4950508  0.000000000
   9    5e-03  0.7129296  0.410490058
   9    1e-02  0.7147657  0.415703141
   9    5e-02  0.7302456  0.438071314
   9    1e-01  0.7393939  0.454911728
   9    5e-01  0.7448522  0.458836743
   9    1e+00  0.7337201  0.425780730
   9    2e+00  0.7336749  0.420700421
   9    5e+00  0.7076106  0.366220565
   9    8e+00  0.4909006  0.000000000
   9    1e+01  0.4865980  0.000000000
  11    5e-03  0.7054969  0.398285802
  11    1e-02  0.7076096  0.397961749
  11    5e-02  0.7354630  0.449368097
  11    1e-01  0.7425795  0.462037904
  11    5e-01  0.7474374  0.464682762
  11    1e+00  0.7328073  0.423278790
  11    2e+00  0.7305327  0.413241368
  11    5e+00  0.7160663  0.380320854
  11    8e+00  0.4905167  0.000000000
  11    1e+01  0.5019339  0.000000000
  13    5e-03  0.6907877  0.365373368
  13    1e-02  0.7168982  0.417781131
  13    5e-02  0.7341389  0.446364569
  13    1e-01  0.7442989  0.466038510
  13    5e-01  0.7448485  0.458824308
  13    1e+00  0.7328901  0.423002222
  13    2e+00  0.7309279  0.414560595
  13    5e+00  0.7019895  0.352322660
  13    8e+00  0.4972699  0.000000000
  13    1e+01  0.5005110  0.000000000

Kappa was used to select the optimal model using the largest value.
The final values used for the model were size = 1 and decay = 0.005.
