"size" "decay" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
1 0.005 0.751474684735554 0.480475439269661 0.0901357944559613 0.192549124878272
1 0.01 0.748391680782985 0.47381735438573 0.0909829996431406 0.193997865908777
1 0.05 0.740324675324675 0.453275059216331 0.0905019001938081 0.193869139906096
1 0.1 0.739020327498588 0.448707924464572 0.0884378702685389 0.190325688067206
1 0.5 0.755008469791078 0.475224625416981 0.0808670666688054 0.177658758069849
1 1 0.726145303971391 0.40175712308012 0.0697320506419045 0.160368530381549
1 2 0.684937888198758 0.300259172411401 0.0712119432283721 0.168634836333136
1 5 0.569897421419161 0.00236587982832618 0.0159266742422563 0.016671859547518
1 8 0.568986448334274 0 0.0146102397877669 0
1 10 0.568986448334274 0 0.0146102397877669 0
2 0.005 0.746549971767363 0.472100875568301 0.0952286543213262 0.201798091119564
2 0.01 0.739868247694335 0.457665197034003 0.0908769517318387 0.192620321610871
2 0.05 0.738174289478637 0.450782102143137 0.0906793164709984 0.194243339412554
2 0.1 0.739907773386034 0.451222952341815 0.0848974616161239 0.181909679601945
2 0.5 0.756787125917561 0.478088316470028 0.0800094602727638 0.176355115226372
2 1 0.727408243929983 0.404853826969331 0.0715048985511041 0.163225253902103
2 2 0.693831168831169 0.321995095782064 0.0722012451855591 0.169869919723646
2 5 0.576948993035949 0.0214169251766296 0.0263299991929401 0.0569967983640006
2 8 0.568986448334274 0 0.0146102397877669 0
2 10 0.568986448334274 0 0.0146102397877669 0
3 0.005 0.727516469038208 0.430823420623349 0.0925407982084891 0.195938625186084
3 0.01 0.724747788443441 0.424783314256405 0.0904887755611839 0.191041242727196
3 0.05 0.737656691134952 0.450147484456937 0.0907885140450923 0.19298801992275
3 0.1 0.737635046113307 0.447167402556672 0.0873665519772489 0.186428434562312
3 0.5 0.75587803500847 0.476449777307415 0.0790777228181222 0.173921089385587
3 1 0.725234330886505 0.39945985978729 0.0729323491785863 0.167008634314623
3 2 0.69722849614154 0.329893346436212 0.0739011957560542 0.173936983687256
3 5 0.581415396198005 0.0334314700471315 0.0331867238664853 0.0767646064730123
3 8 0.568986448334274 0 0.0146102397877669 0
3 10 0.568986448334274 0 0.0146102397877669 0
5 0.005 0.715512892904197 0.406329229950654 0.0856459700330301 0.17866947544139
5 0.01 0.720257858083945 0.414679027656105 0.0813354588213052 0.171543487476982
5 0.05 0.725718050065876 0.424144866630011 0.0921233182140707 0.196128995832856
5 0.1 0.735006587615283 0.441078973480682 0.0865109025963059 0.185316532197552
5 0.5 0.753601543384152 0.470371933269489 0.0753973124346838 0.166616688256921
5 1 0.722566346696781 0.393084286475133 0.0714956150617661 0.164450840447389
5 2 0.698572369659326 0.333299837963302 0.0719096326738762 0.168955112960435
5 5 0.590624882364013 0.0578303363339204 0.0405019517146113 0.0983202901516142
5 8 0.568986448334274 0 0.0146102397877669 0
5 10 0.568986448334274 0 0.0146102397877669 0
7 0.005 0.71931488801054 0.417317954938078 0.0841456268935684 0.172954074004622
7 0.01 0.72070487483531 0.416587973316899 0.0818490396565399 0.171554792656135
7 0.05 0.726172595520422 0.424681601509311 0.0931055965312306 0.199122731291485
7 0.1 0.73589779785432 0.442975816750199 0.0870108124792829 0.185408764325243
7 0.5 0.75229907773386 0.467599819579272 0.0760769947749332 0.167858322061608
7 1 0.719937888198758 0.386980650139359 0.0714046890197975 0.164148296574469
7 2 0.699048560135517 0.334245540546204 0.0729090802829428 0.171691311547804
7 5 0.59635422548466 0.0735427103830431 0.0457917386812218 0.110152261539854
7 8 0.568986448334274 0 0.0146102397877669 0
7 10 0.568986448334274 0 0.0146102397877669 0
9 0.005 0.711520798042537 0.401312591153251 0.0900911864192755 0.188184640239988
9 0.01 0.719010916619612 0.414241581542252 0.0813812953613174 0.169943783218373
9 0.05 0.724848484848485 0.42167085723043 0.0913663682844647 0.195537531586131
9 0.1 0.734552042160738 0.440414636970534 0.0860077438540596 0.183540558304707
9 0.5 0.753085827216262 0.469006376913789 0.0761492879707419 0.168242036043417
9 1 0.718613777526821 0.383819675997416 0.0726069804636565 0.166912429807971
9 2 0.697702804441935 0.331178405626323 0.0722049199446719 0.169751103153379
9 5 0.597283079239601 0.0768786344197412 0.0485857392661221 0.115855690759273
9 8 0.568986448334274 0 0.0146102397877669 0
9 10 0.568986448334274 0 0.0146102397877669 0
11 0.005 0.71079145492189 0.399754925343219 0.0873934253384998 0.180033233651065
11 0.01 0.714566158479202 0.405925787585663 0.0763013576815114 0.157907964273654
11 0.05 0.722220026350461 0.415970236196242 0.0939872974019576 0.2011522559498
11 0.1 0.734571805006588 0.440751672957023 0.0857747824167193 0.182983210863732
11 0.5 0.752277432712215 0.467299654926078 0.0761494738277794 0.167985906218662
11 1 0.719068322981366 0.384712041635544 0.0728037502771963 0.167457136766819
11 2 0.696813476378694 0.32911375855678 0.0722759518393861 0.169807208479212
11 5 0.599951063429324 0.0836972738794445 0.0529670255764684 0.126410600383204
11 8 0.568986448334274 0 0.0146102397877669 0
11 10 0.568986448334274 0 0.0146102397877669 0
13 0.005 0.71719273480143 0.413838228553407 0.0901264048148239 0.186948437345627
13 0.01 0.716821005081875 0.409807047793462 0.0847541828998629 0.178013695295419
13 0.05 0.722635046113307 0.416932510201812 0.0935446678615622 0.200827201199804
13 0.1 0.735836627140975 0.442921837788608 0.0871731765285115 0.187021879630598
13 0.5 0.751407867494824 0.465396488898311 0.0768179839961322 0.170318417210424
13 1 0.718159232072275 0.382674148627589 0.0724067936906725 0.166596999992851
13 2 0.696378693769998 0.328026248554597 0.0726768595124592 0.170855883526199
13 5 0.600820628646716 0.0862609524422732 0.0527438578340597 0.126049630573866
13 8 0.568986448334274 0 0.0146102397877669 0
13 10 0.568986448334274 0 0.0146102397877669 0
