Neural Network 

225 samples
  7 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (5), centered (5), scaled (5), remove (2) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa     
   1    5e-03  0.7514747  0.48047544
   1    1e-02  0.7483917  0.47381735
   1    5e-02  0.7403247  0.45327506
   1    1e-01  0.7390203  0.44870792
   1    5e-01  0.7550085  0.47522463
   1    1e+00  0.7261453  0.40175712
   1    2e+00  0.6849379  0.30025917
   1    5e+00  0.5698974  0.00236588
   1    8e+00  0.5689864  0.00000000
   1    1e+01  0.5689864  0.00000000
   2    5e-03  0.7465500  0.47210088
   2    1e-02  0.7398682  0.45766520
   2    5e-02  0.7381743  0.45078210
   2    1e-01  0.7399078  0.45122295
   2    5e-01  0.7567871  0.47808832
   2    1e+00  0.7274082  0.40485383
   2    2e+00  0.6938312  0.32199510
   2    5e+00  0.5769490  0.02141693
   2    8e+00  0.5689864  0.00000000
   2    1e+01  0.5689864  0.00000000
   3    5e-03  0.7275165  0.43082342
   3    1e-02  0.7247478  0.42478331
   3    5e-02  0.7376567  0.45014748
   3    1e-01  0.7376350  0.44716740
   3    5e-01  0.7558780  0.47644978
   3    1e+00  0.7252343  0.39945986
   3    2e+00  0.6972285  0.32989335
   3    5e+00  0.5814154  0.03343147
   3    8e+00  0.5689864  0.00000000
   3    1e+01  0.5689864  0.00000000
   5    5e-03  0.7155129  0.40632923
   5    1e-02  0.7202579  0.41467903
   5    5e-02  0.7257181  0.42414487
   5    1e-01  0.7350066  0.44107897
   5    5e-01  0.7536015  0.47037193
   5    1e+00  0.7225663  0.39308429
   5    2e+00  0.6985724  0.33329984
   5    5e+00  0.5906249  0.05783034
   5    8e+00  0.5689864  0.00000000
   5    1e+01  0.5689864  0.00000000
   7    5e-03  0.7193149  0.41731795
   7    1e-02  0.7207049  0.41658797
   7    5e-02  0.7261726  0.42468160
   7    1e-01  0.7358978  0.44297582
   7    5e-01  0.7522991  0.46759982
   7    1e+00  0.7199379  0.38698065
   7    2e+00  0.6990486  0.33424554
   7    5e+00  0.5963542  0.07354271
   7    8e+00  0.5689864  0.00000000
   7    1e+01  0.5689864  0.00000000
   9    5e-03  0.7115208  0.40131259
   9    1e-02  0.7190109  0.41424158
   9    5e-02  0.7248485  0.42167086
   9    1e-01  0.7345520  0.44041464
   9    5e-01  0.7530858  0.46900638
   9    1e+00  0.7186138  0.38381968
   9    2e+00  0.6977028  0.33117841
   9    5e+00  0.5972831  0.07687863
   9    8e+00  0.5689864  0.00000000
   9    1e+01  0.5689864  0.00000000
  11    5e-03  0.7107915  0.39975493
  11    1e-02  0.7145662  0.40592579
  11    5e-02  0.7222200  0.41597024
  11    1e-01  0.7345718  0.44075167
  11    5e-01  0.7522774  0.46729965
  11    1e+00  0.7190683  0.38471204
  11    2e+00  0.6968135  0.32911376
  11    5e+00  0.5999511  0.08369727
  11    8e+00  0.5689864  0.00000000
  11    1e+01  0.5689864  0.00000000
  13    5e-03  0.7171927  0.41383823
  13    1e-02  0.7168210  0.40980705
  13    5e-02  0.7226350  0.41693251
  13    1e-01  0.7358366  0.44292184
  13    5e-01  0.7514079  0.46539649
  13    1e+00  0.7181592  0.38267415
  13    2e+00  0.6963787  0.32802625
  13    5e+00  0.6008206  0.08626095
  13    8e+00  0.5689864  0.00000000
  13    1e+01  0.5689864  0.00000000

Kappa was used to select the optimal model using the largest value.
The final values used for the model were size = 1 and decay = 0.005.
