Neural Network 

225 samples
  7 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (5), centered (5), scaled (5), remove (2) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using SMOTE prior to pre-processing

Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa    
   1    5e-03  0.7413542  0.4627238
   1    1e-02  0.7351468  0.4511197
   1    5e-02  0.7419575  0.4629819
   1    1e-01  0.7484688  0.4756986
   1    5e-01  0.7479945  0.4698150
   1    1e+00  0.7470657  0.4662875
   1    2e+00  0.7506014  0.4699114
   1    5e+00  0.7382063  0.4290959
   1    8e+00  0.6898193  0.3116657
   1    1e+01  0.6478317  0.2065883
   2    5e-03  0.7323330  0.4447927
   2    1e-02  0.7382976  0.4551484
   2    5e-02  0.7298861  0.4372300
   2    1e-01  0.7407717  0.4586593
   2    5e-01  0.7465321  0.4663695
   2    1e+00  0.7465933  0.4643456
   2    2e+00  0.7528543  0.4742538
   2    5e+00  0.7398033  0.4342060
   2    8e+00  0.6976454  0.3314518
   2    1e+01  0.6747186  0.2753539
   3    5e-03  0.7238867  0.4246073
   3    1e-02  0.7311095  0.4398513
   3    5e-02  0.7269612  0.4282321
   3    1e-01  0.7346330  0.4447370
   3    5e-01  0.7448701  0.4627644
   3    1e+00  0.7470676  0.4652365
   3    2e+00  0.7533107  0.4749577
   3    5e+00  0.7363683  0.4273009
   3    8e+00  0.7043864  0.3478160
   3    1e+01  0.6812404  0.2911283
   5    5e-03  0.7203256  0.4150192
   5    1e-02  0.7314653  0.4377526
   5    5e-02  0.7131216  0.4003077
   5    1e-01  0.7221316  0.4201858
   5    5e-01  0.7469848  0.4670108
   5    1e+00  0.7438368  0.4584000
   5    2e+00  0.7497497  0.4677995
   5    5e+00  0.7376294  0.4296038
   5    8e+00  0.7062281  0.3516693
   5    1e+01  0.6822680  0.2944153
   7    5e-03  0.7243685  0.4255179
   7    1e-02  0.7311924  0.4395594
   7    5e-02  0.7231037  0.4218321
   7    1e-01  0.7221334  0.4194031
   7    5e-01  0.7432853  0.4584503
   7    1e+00  0.7460738  0.4633381
   7    2e+00  0.7555458  0.4795553
   7    5e+00  0.7332383  0.4187985
   7    8e+00  0.7040128  0.3469023
   7    1e+01  0.6826812  0.2953570
   9    5e-03  0.7189356  0.4156271
   9    1e-02  0.7167758  0.4090426
   9    5e-02  0.7280105  0.4327696
   9    1e-01  0.7199078  0.4140826
   9    5e-01  0.7449097  0.4629524
   9    1e+00  0.7447516  0.4602424
   9    2e+00  0.7506804  0.4698435
   9    5e+00  0.7377122  0.4292010
   9    8e+00  0.7053567  0.3498616
   9    1e+01  0.6835507  0.2983277
  11    5e-03  0.7174948  0.4145227
  11    1e-02  0.7280877  0.4344538
  11    5e-02  0.7351920  0.4467630
  11    1e-01  0.7204000  0.4158778
  11    5e-01  0.7475184  0.4682483
  11    1e+00  0.7448287  0.4601502
  11    2e+00  0.7488425  0.4653433
  11    5e+00  0.7336768  0.4200512
  11    8e+00  0.7012620  0.3403266
  11    1e+01  0.6822069  0.2942238
  13    5e-03  0.7137935  0.4082022
  13    1e-02  0.7149021  0.4081583
  13    5e-02  0.7237973  0.4235543
  13    1e-01  0.7212262  0.4166144
  13    5e-01  0.7430952  0.4585787
  13    1e+00  0.7457218  0.4625764
  13    2e+00  0.7537851  0.4759889
  13    5e+00  0.7346057  0.4216715
  13    8e+00  0.7013843  0.3406006
  13    1e+01  0.6803689  0.2900454

Kappa was used to select the optimal model using the largest value.
The final values used for the model were size = 7 and decay = 2.
