"size" "decay" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
1 0.005 0.751117071334463 0.484089068006128 0.0912024069671437 0.19268412667099
1 0.01 0.754182194616977 0.490300187933281 0.0901480874076688 0.189887353693789
1 0.05 0.753310747223791 0.486410259794323 0.089956085872209 0.190364239788195
1 0.1 0.744045736871824 0.465399363750735 0.0923153255842818 0.196133336174467
1 0.5 0.742516469038208 0.456031902907239 0.0862756972692931 0.185632888441159
1 1 0.741662902315076 0.449258436127102 0.0801907164508364 0.174292868753991
1 2 0.736271409749671 0.433473917346003 0.0775682930982975 0.171086124662077
1 5 0.570928853754941 0.152010880532483 0.113639681274572 0.1635874188847
1 8 0.495062111801242 0 0.0706826156209128 0
1 10 0.498850931677019 0 0.0708472122685029 0
2 0.005 0.750044231131188 0.486059617189308 0.0929999279386937 0.193158570334305
2 0.01 0.752516469038208 0.489276209576686 0.0854473472963951 0.17866948335656
2 0.05 0.74532655750047 0.47039724927746 0.0973031726071587 0.204751216094581
2 0.1 0.745292678336157 0.467855581025405 0.0930104220052402 0.197806015397689
2 0.5 0.744792960662526 0.460797440598025 0.087963504705849 0.189229740231962
2 1 0.740735930735931 0.447643364278022 0.0818648366162703 0.179195041220469
2 2 0.731562205910032 0.419145601886168 0.0775204619892592 0.173253136949679
2 5 0.712803500846979 0.378415619535861 0.0872007143725776 0.183934194161345
2 8 0.538438735177866 0.0525919833602732 0.0986859329205602 0.141148860909561
2 10 0.50285431959345 0 0.0707985292678481 0
3 0.005 0.734196310935441 0.452887873165201 0.0938204657394821 0.195471569696096
3 0.01 0.736030491247883 0.453728740294843 0.0883513493761817 0.185490346872918
3 0.05 0.741293054771316 0.461551163707976 0.0995279090411818 0.210018957634022
3 0.1 0.747024280067758 0.472361473110202 0.0938746908024963 0.199019344855782
3 0.5 0.742891963109354 0.455852580533559 0.0854866328029055 0.185530228264423
3 1 0.738524374176548 0.441006301644306 0.0834900130325951 0.182067892633334
3 2 0.735062111801242 0.428504286734656 0.0738307986283275 0.162387660894418
3 5 0.723046301524562 0.39528286368239 0.0688650643165026 0.159471822136095
3 8 0.522417654808959 0.0494872749826172 0.0991104703195411 0.125502313281514
3 10 0.490787690570299 0 0.0702491088720103 0
5 0.005 0.707781855825334 0.395746296573642 0.0909655057078366 0.1890110590223
5 0.01 0.702623753058536 0.38354535259837 0.0863581418921803 0.182255260362734
5 0.05 0.736880293619424 0.453083059256504 0.0944240424408903 0.198396267615889
5 0.1 0.744688499905891 0.467044568748673 0.0903722029483671 0.191857946582494
5 0.5 0.742123094297007 0.454678445685789 0.08506665672239 0.18491645794457
5 1 0.741765480895916 0.44718097990942 0.0819687717068387 0.177694590637413
5 2 0.733991153773762 0.423636595856825 0.0750945827702913 0.169210406490758
5 5 0.726005081874647 0.401238762887743 0.0791289912286458 0.181364677164999
5 8 0.52832674571805 0.0513636640699406 0.0980348901694611 0.129023699550558
5 10 0.499065499717674 0 0.0708503992175214 0
7 0.005 0.711206474684736 0.405206267897978 0.0862429365317348 0.178858259487911
7 0.01 0.715718050065876 0.413505904446091 0.0901517320291958 0.186455376494442
7 0.05 0.732534349708263 0.443695901457555 0.0962808142344284 0.202625817006894
7 0.1 0.739061735366083 0.456431838030794 0.0922832925413274 0.194952993951952
7 0.5 0.742475061170713 0.455583794618451 0.088519070856733 0.190249019129678
7 1 0.74133069828722 0.446932720098672 0.0785263877372386 0.17061536000761
7 2 0.731485036702428 0.417856197237342 0.0762867442494928 0.171316611680546
7 5 0.720789572746094 0.389549213551187 0.072412414018582 0.164937490019675
7 8 0.527680218332392 0.052338370912133 0.0992644447669401 0.129072993392003
7 10 0.5092518351214 0 0.0702438617775795 0
9 0.005 0.696951816299642 0.376283258856123 0.0839973725632379 0.171530405406052
9 0.01 0.709864483342744 0.400227219411583 0.0854897109664898 0.178165329806714
9 0.05 0.728761528326746 0.435777544154998 0.0964692770555632 0.204021436225467
9 0.1 0.738980801806889 0.455322191145573 0.0919002292220322 0.194159918704339
9 0.5 0.743836815358555 0.457912875459835 0.0889126665381145 0.192155948297577
9 1 0.737277432712215 0.436524013935599 0.0762231866630286 0.167784747830216
9 2 0.72928759646151 0.412169121501211 0.0767109790908846 0.173053686505572
9 5 0.724742141916055 0.398323470907647 0.0738581436334469 0.169136520362364
9 8 0.529041972520233 0.0430137395811465 0.0937565171862927 0.120368617656534
9 10 0.50130717108978 0 0.0708444438566827 0
11 0.005 0.694010916619612 0.368250896700032 0.0900016605844616 0.187790904924069
11 0.01 0.711702428006776 0.405469794605169 0.0857341080159763 0.176613540620953
11 0.05 0.724409937888199 0.426871019468388 0.0941544919418421 0.19964026877617
11 0.1 0.741294936947111 0.460445585042266 0.0903511990162125 0.191808731567158
11 0.5 0.744792960662526 0.460175219460768 0.0846816118715016 0.182669628285971
11 1 0.734625447016751 0.431904620001221 0.0810615269524654 0.176382183095829
11 2 0.733637304724261 0.423296318188262 0.0751643999784958 0.167307079617213
11 5 0.722963485789573 0.394576219391455 0.0712475385634484 0.163176884885111
11 8 0.521235648409561 0.0442534006627734 0.0948625516102267 0.120411598621625
11 10 0.491815358554489 0 0.0703775260685592 0
13 0.005 0.701485036702428 0.384792622946932 0.0877875292956508 0.180195028063055
13 0.01 0.720283267457181 0.420973114375044 0.0930682578257098 0.195586279713168
13 0.05 0.73036608319217 0.438967843397208 0.095274253824529 0.201263408036153
13 0.1 0.73680688876341 0.450948014562997 0.0975360567769622 0.205365773005953
13 0.5 0.746528326745718 0.463547355513776 0.0856276993406306 0.185280507661058
13 1 0.735475249388293 0.43274540990175 0.0835571371477177 0.183149784022605
13 2 0.73320063993977 0.422143206391982 0.0754293941909157 0.168587774085637
13 5 0.725137398833051 0.400152704078431 0.0723381199272005 0.164023035087224
13 8 0.513783173348391 0.0344198055250398 0.0901939024916881 0.102245996814053
13 10 0.507281197063806 0 0.0704777258221034 0
