Neural Network 

225 samples
  7 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (5), centered (5), scaled (5), remove (2) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using up-sampling prior to pre-processing

Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa     
   1    5e-03  0.7511171  0.48408907
   1    1e-02  0.7541822  0.49030019
   1    5e-02  0.7533107  0.48641026
   1    1e-01  0.7440457  0.46539936
   1    5e-01  0.7425165  0.45603190
   1    1e+00  0.7416629  0.44925844
   1    2e+00  0.7362714  0.43347392
   1    5e+00  0.5709289  0.15201088
   1    8e+00  0.4950621  0.00000000
   1    1e+01  0.4988509  0.00000000
   2    5e-03  0.7500442  0.48605962
   2    1e-02  0.7525165  0.48927621
   2    5e-02  0.7453266  0.47039725
   2    1e-01  0.7452927  0.46785558
   2    5e-01  0.7447930  0.46079744
   2    1e+00  0.7407359  0.44764336
   2    2e+00  0.7315622  0.41914560
   2    5e+00  0.7128035  0.37841562
   2    8e+00  0.5384387  0.05259198
   2    1e+01  0.5028543  0.00000000
   3    5e-03  0.7341963  0.45288787
   3    1e-02  0.7360305  0.45372874
   3    5e-02  0.7412931  0.46155116
   3    1e-01  0.7470243  0.47236147
   3    5e-01  0.7428920  0.45585258
   3    1e+00  0.7385244  0.44100630
   3    2e+00  0.7350621  0.42850429
   3    5e+00  0.7230463  0.39528286
   3    8e+00  0.5224177  0.04948727
   3    1e+01  0.4907877  0.00000000
   5    5e-03  0.7077819  0.39574630
   5    1e-02  0.7026238  0.38354535
   5    5e-02  0.7368803  0.45308306
   5    1e-01  0.7446885  0.46704457
   5    5e-01  0.7421231  0.45467845
   5    1e+00  0.7417655  0.44718098
   5    2e+00  0.7339912  0.42363660
   5    5e+00  0.7260051  0.40123876
   5    8e+00  0.5283267  0.05136366
   5    1e+01  0.4990655  0.00000000
   7    5e-03  0.7112065  0.40520627
   7    1e-02  0.7157181  0.41350590
   7    5e-02  0.7325343  0.44369590
   7    1e-01  0.7390617  0.45643184
   7    5e-01  0.7424751  0.45558379
   7    1e+00  0.7413307  0.44693272
   7    2e+00  0.7314850  0.41785620
   7    5e+00  0.7207896  0.38954921
   7    8e+00  0.5276802  0.05233837
   7    1e+01  0.5092518  0.00000000
   9    5e-03  0.6969518  0.37628326
   9    1e-02  0.7098645  0.40022722
   9    5e-02  0.7287615  0.43577754
   9    1e-01  0.7389808  0.45532219
   9    5e-01  0.7438368  0.45791288
   9    1e+00  0.7372774  0.43652401
   9    2e+00  0.7292876  0.41216912
   9    5e+00  0.7247421  0.39832347
   9    8e+00  0.5290420  0.04301374
   9    1e+01  0.5013072  0.00000000
  11    5e-03  0.6940109  0.36825090
  11    1e-02  0.7117024  0.40546979
  11    5e-02  0.7244099  0.42687102
  11    1e-01  0.7412949  0.46044559
  11    5e-01  0.7447930  0.46017522
  11    1e+00  0.7346254  0.43190462
  11    2e+00  0.7336373  0.42329632
  11    5e+00  0.7229635  0.39457622
  11    8e+00  0.5212356  0.04425340
  11    1e+01  0.4918154  0.00000000
  13    5e-03  0.7014850  0.38479262
  13    1e-02  0.7202833  0.42097311
  13    5e-02  0.7303661  0.43896784
  13    1e-01  0.7368069  0.45094801
  13    5e-01  0.7465283  0.46354736
  13    1e+00  0.7354752  0.43274541
  13    2e+00  0.7332006  0.42214321
  13    5e+00  0.7251374  0.40015270
  13    8e+00  0.5137832  0.03441981
  13    1e+01  0.5072812  0.00000000

Kappa was used to select the optimal model using the largest value.
The final values used for the model were size = 1 and decay = 0.01.
