"size" "decay" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
1 0.005 0.733639186900056 0.444962247593344 0.0942644190857954 0.199644880016668
1 0.01 0.738168642951252 0.454132268860281 0.0921642694202365 0.195286974594586
1 0.05 0.749255599472991 0.477217155842033 0.0879318885466456 0.186417528566627
1 0.1 0.7438584603802 0.463992238265834 0.0929793439268144 0.198185056325071
1 0.5 0.746467156032373 0.465684797217176 0.0887321630386606 0.190656430303724
1 1 0.756352343308865 0.482772635501455 0.083364888174788 0.179888581805552
1 2 0.74686241294937 0.458010825764899 0.076201290306552 0.16781573337972
1 5 0.510261622435536 0.0477468027151544 0.0943379564449162 0.0984563236899051
1 8 0.500911914172784 0 0.0708506964951435 0
1 10 0.503368153585545 0 0.0707757171077221 0
2 0.005 0.727688688123471 0.438679043890631 0.0879638638346507 0.183282576165754
2 0.01 0.728066064370412 0.435991418318732 0.0918516020128831 0.191532163667186
2 0.05 0.739474872953134 0.456749075883487 0.0968629079021057 0.204251230010001
2 0.1 0.744648974214192 0.466226260706335 0.0920350221244826 0.195389988338565
2 0.5 0.745204216073781 0.463064828314711 0.0884722161710241 0.189432864533867
2 1 0.756765480895916 0.483187685116367 0.0782766496780754 0.169798660944065
2 2 0.750581592320723 0.463400033795619 0.0778699866586634 0.173185512123002
2 5 0.733967626576322 0.425553642055771 0.0823448135401538 0.171472578257784
2 8 0.502080745341615 0 0.0708257576568512 0
2 10 0.489714850367024 0 0.0700985616820576 0
3 0.005 0.718166760775456 0.418217859224044 0.0985501836546241 0.204756798817938
3 0.01 0.72130717108978 0.426403663545424 0.092194096852295 0.189819982792644
3 0.05 0.730143045360437 0.438907500609834 0.0941381399971039 0.197320134683067
3 0.1 0.742220026350461 0.461797508237335 0.0971632289775188 0.204904341032006
3 0.5 0.747002635046113 0.46676905428834 0.087283172129615 0.186904963656396
3 1 0.757779032561641 0.48575737055237 0.0791385780066199 0.171141941354848
3 2 0.755978731413514 0.476644416759541 0.0784382518789209 0.172227735642233
3 5 0.732004517221909 0.41538095017105 0.0770550520018202 0.17795760913458
3 8 0.498773762469415 0.00507042253521127 0.0752361369881201 0.0507042253521127
3 10 0.487507058159232 0 0.069735292961125 0
5 0.005 0.705376435159044 0.394801122220327 0.0902161655255224 0.184662373797899
5 0.01 0.711441746659138 0.405973986307347 0.092207414414367 0.189600903626505
5 0.05 0.723951628082063 0.427301502692964 0.0996782016184136 0.207399578673624
5 0.1 0.742494824016563 0.463750815157487 0.094979299863212 0.199791547147067
5 0.5 0.750105401844532 0.472612631639791 0.0891559042530873 0.191484272247779
5 1 0.760779220779221 0.490967303233621 0.075800089523596 0.165041674522077
5 2 0.755876152832675 0.475371244212628 0.0703736685364402 0.156055670132242
5 5 0.737356484095614 0.427865701000222 0.0748077524986924 0.170892402991192
5 8 0.489596273291925 0.00342857142857143 0.0724915995846251 0.0342857142857143
5 10 0.507546583850932 0 0.0704495208746126 0
7 0.005 0.717611518915867 0.423323256040821 0.0914570316398185 0.185612572781295
7 0.01 0.716862412949369 0.41890644665251 0.0956928201477107 0.196292128164286
7 0.05 0.727311311876529 0.433833443714823 0.0977475587184734 0.201934401026868
7 0.1 0.738560135516657 0.455530090915436 0.0939731133418157 0.19870735706965
7 0.5 0.747435535479014 0.467615183750715 0.0865405352966332 0.18511547388125
7 1 0.76038584603802 0.489558721064648 0.0774234505807042 0.168787828809652
7 2 0.751431394692264 0.46469481930145 0.0708242058087039 0.157286017166946
7 5 0.735518539431583 0.423129506580199 0.0755815069035221 0.173348277675374
7 8 0.491982872200263 0.00550386860911752 0.0741894060603244 0.0441453875395261
7 10 0.507557876905703 0 0.0704482980133302 0
9 0.005 0.70126388104649 0.391275512966421 0.103269622117856 0.209770136369734
9 0.01 0.712020515716168 0.409514383782333 0.0919565333436358 0.189268388332265
9 0.05 0.725651232825146 0.43058059884932 0.0994418882357872 0.206984235618181
9 0.1 0.738046301524562 0.453674079596605 0.0943155292748605 0.198991318246685
9 0.5 0.748704121964991 0.470192644951181 0.0856060744955558 0.183903780589831
9 1 0.757283079239601 0.4826893636115 0.0788462165380282 0.172171917923157
9 2 0.754198193111237 0.470516072993202 0.0718004209098306 0.159430883342461
9 5 0.735895915678524 0.424300711539798 0.0702538418474571 0.160318744812509
9 8 0.49514963297572 0.00219696090940727 0.0716650905175577 0.0154581798906444
9 10 0.489325239977414 0 0.0700397006309415 0
11 0.005 0.703354978354978 0.395172639701671 0.0891178426951232 0.181238261322889
11 0.01 0.710182571052136 0.402707072441232 0.0885240253685769 0.184862587244173
11 0.05 0.722528703180877 0.424395231225548 0.0941744463279791 0.195074306913644
11 0.1 0.738878223226049 0.455888440178261 0.0924820184432751 0.195598018524356
11 0.5 0.74875964615095 0.470026117096965 0.0879565164158491 0.188354653120165
11 1 0.761668548842462 0.49096494068003 0.0782002700655064 0.171457502276687
11 2 0.749751552795031 0.461020401797352 0.0677141089713279 0.151330555167509
11 5 0.734277244494636 0.420853484495914 0.0696716926597706 0.158957000679843
11 8 0.502881611142481 0.00901537666365163 0.0780504616557686 0.0639278930895495
11 10 0.48667701863354 -0.00654676258992806 0.0786001526372008 0.0654676258992806
13 0.005 0.699605684170902 0.38717998533569 0.0855147562980522 0.17714052107127
13 0.01 0.710753811405985 0.407208621267639 0.0884199421853507 0.182191482093016
13 0.05 0.726993224167137 0.43372985354724 0.100803483994368 0.209718722641768
13 0.1 0.742000752870318 0.462052092969261 0.0962968253065269 0.203522183124154
13 0.5 0.749176548089592 0.471157002329108 0.0875027160619627 0.187778455943751
13 1 0.758569546395633 0.484747792697886 0.0772373331635917 0.168561664221841
13 2 0.744868247694335 0.450004565881986 0.0706874109944621 0.156308066554411
13 5 0.733328627893845 0.418656268248406 0.0727614928138485 0.166501726891068
13 8 0.491619612271786 0.0037742718446602 0.0727446100126605 0.028054775185773
13 10 0.491933935629588 0 0.0703913531689003 0
