Neural Network 

225 samples
  7 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (7), centered (7), scaled (7) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using down-sampling prior to pre-processing

Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa       
   1    5e-03  0.7336392   0.444962248
   1    1e-02  0.7381686   0.454132269
   1    5e-02  0.7492556   0.477217156
   1    1e-01  0.7438585   0.463992238
   1    5e-01  0.7464672   0.465684797
   1    1e+00  0.7563523   0.482772636
   1    2e+00  0.7468624   0.458010826
   1    5e+00  0.5102616   0.047746803
   1    8e+00  0.5009119   0.000000000
   1    1e+01  0.5033682   0.000000000
   2    5e-03  0.7276887   0.438679044
   2    1e-02  0.7280661   0.435991418
   2    5e-02  0.7394749   0.456749076
   2    1e-01  0.7446490   0.466226261
   2    5e-01  0.7452042   0.463064828
   2    1e+00  0.7567655   0.483187685
   2    2e+00  0.7505816   0.463400034
   2    5e+00  0.7339676   0.425553642
   2    8e+00  0.5020807   0.000000000
   2    1e+01  0.4897149   0.000000000
   3    5e-03  0.7181668   0.418217859
   3    1e-02  0.7213072   0.426403664
   3    5e-02  0.7301430   0.438907501
   3    1e-01  0.7422200   0.461797508
   3    5e-01  0.7470026   0.466769054
   3    1e+00  0.7577790   0.485757371
   3    2e+00  0.7559787   0.476644417
   3    5e+00  0.7320045   0.415380950
   3    8e+00  0.4987738   0.005070423
   3    1e+01  0.4875071   0.000000000
   5    5e-03  0.7053764   0.394801122
   5    1e-02  0.7114417   0.405973986
   5    5e-02  0.7239516   0.427301503
   5    1e-01  0.7424948   0.463750815
   5    5e-01  0.7501054   0.472612632
   5    1e+00  0.7607792   0.490967303
   5    2e+00  0.7558762   0.475371244
   5    5e+00  0.7373565   0.427865701
   5    8e+00  0.4895963   0.003428571
   5    1e+01  0.5075466   0.000000000
   7    5e-03  0.7176115   0.423323256
   7    1e-02  0.7168624   0.418906447
   7    5e-02  0.7273113   0.433833444
   7    1e-01  0.7385601   0.455530091
   7    5e-01  0.7474355   0.467615184
   7    1e+00  0.7603858   0.489558721
   7    2e+00  0.7514314   0.464694819
   7    5e+00  0.7355185   0.423129507
   7    8e+00  0.4919829   0.005503869
   7    1e+01  0.5075579   0.000000000
   9    5e-03  0.7012639   0.391275513
   9    1e-02  0.7120205   0.409514384
   9    5e-02  0.7256512   0.430580599
   9    1e-01  0.7380463   0.453674080
   9    5e-01  0.7487041   0.470192645
   9    1e+00  0.7572831   0.482689364
   9    2e+00  0.7541982   0.470516073
   9    5e+00  0.7358959   0.424300712
   9    8e+00  0.4951496   0.002196961
   9    1e+01  0.4893252   0.000000000
  11    5e-03  0.7033550   0.395172640
  11    1e-02  0.7101826   0.402707072
  11    5e-02  0.7225287   0.424395231
  11    1e-01  0.7388782   0.455888440
  11    5e-01  0.7487596   0.470026117
  11    1e+00  0.7616685   0.490964941
  11    2e+00  0.7497516   0.461020402
  11    5e+00  0.7342772   0.420853484
  11    8e+00  0.5028816   0.009015377
  11    1e+01  0.4866770  -0.006546763
  13    5e-03  0.6996057   0.387179985
  13    1e-02  0.7107538   0.407208621
  13    5e-02  0.7269932   0.433729854
  13    1e-01  0.7420008   0.462052093
  13    5e-01  0.7491765   0.471157002
  13    1e+00  0.7585695   0.484747793
  13    2e+00  0.7448682   0.450004566
  13    5e+00  0.7333286   0.418656268
  13    8e+00  0.4916196   0.003774272
  13    1e+01  0.4919339   0.000000000

Kappa was used to select the optimal model using the largest value.
The final values used for the model were size = 5 and decay = 1.
