"size" "decay" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
1 0.005 0.730200451722191 0.43276174248379 0.0934534661935152 0.199924564529739
1 0.01 0.730200451722191 0.433087530410101 0.092257884069914 0.19721893872422
1 0.05 0.738109354413702 0.449920183141503 0.0932874653643841 0.199566215144057
1 0.1 0.741664784490871 0.456577984580951 0.088056044275857 0.18892933067975
1 0.5 0.760820628646716 0.489798582879235 0.0762051828624047 0.166467852963435
1 1 0.76487389422172 0.494449541461082 0.0711151281537438 0.158168496584495
1 2 0.704983060417843 0.350201476658042 0.0689955269114123 0.160516931534363
1 5 0.57386598908338 0.0132674362037674 0.0239236147865238 0.0478248836104515
1 8 0.568986448334274 0 0.0146102397877669 0
1 10 0.568986448334274 0 0.0146102397877669 0
2 0.005 0.730081874647092 0.433232586023026 0.0989443951288709 0.210622612960453
2 0.01 0.728080180688876 0.427669617022809 0.0861653349908803 0.185961294177786
2 0.05 0.734552042160738 0.441460365287361 0.0911756922519476 0.196016124481918
2 0.1 0.741542443064182 0.455077695541266 0.089693728054968 0.194054584046344
2 0.5 0.761709956709957 0.491025104670225 0.0767275594779804 0.167992381776541
2 1 0.757220026350461 0.477059489011212 0.0714676942204113 0.159248435548727
2 2 0.704528514963298 0.349594073857776 0.0735088892336121 0.169624121416882
2 5 0.589776962168266 0.0573118484133982 0.0421739113567013 0.101045916104393
2 8 0.568986448334274 0 0.0146102397877669 0
2 10 0.568986448334274 0 0.0146102397877669 0
3 0.005 0.723996800301148 0.424492218605617 0.0869400501069378 0.180708741144
3 0.01 0.719501223414267 0.413130463464183 0.0885229785994908 0.185641359366633
3 0.05 0.739449463579898 0.451012018780266 0.0940455948286003 0.200239071334202
3 0.1 0.739409937888199 0.450220670847819 0.0884142610037916 0.191046436121456
3 0.5 0.761729719555806 0.491197650110356 0.0750347624182377 0.16418433058773
3 1 0.759020327498588 0.481263481263199 0.0711246979891663 0.158324293112625
3 2 0.715615471485037 0.375828130419303 0.0717573030183593 0.165784515743522
3 5 0.603514022209674 0.0947964561844181 0.0496523194369193 0.117006208645964
3 8 0.568986448334274 0 0.0146102397877669 0
3 10 0.568986448334274 0 0.0146102397877669 0
5 0.005 0.71132693393563 0.400417424776534 0.091971059718452 0.189061231321419
5 0.01 0.723226049313006 0.422959919191264 0.0977808792945944 0.203937193642447
5 0.05 0.737236024844721 0.447727172967868 0.0892101726767514 0.187344044771505
5 0.1 0.735773574251835 0.443107634820336 0.0877029590498021 0.188673945959582
5 0.5 0.760860154338415 0.489303962320099 0.0737564739534591 0.161539734089098
5 1 0.756289290419725 0.474348065036068 0.0693178758117424 0.155346920156811
5 2 0.713402032749859 0.370389490991614 0.0710298931666526 0.164981243990404
5 5 0.611025785808395 0.114130957403779 0.0510911766377829 0.121039292178888
5 8 0.569462638810465 0.00125 0.0154429326354658 0.0125
5 10 0.568986448334274 0 0.0146102397877669 0
7 0.005 0.703931865236213 0.385644211757217 0.0788288484722052 0.16433583778497
7 0.01 0.716176359872012 0.410568484695708 0.0873499840769082 0.181288366772899
7 0.05 0.738400150574064 0.450528914745885 0.086865365219136 0.183235685556638
7 0.1 0.735439488048184 0.442372266926699 0.0873330537808415 0.187601805562908
7 0.5 0.761294936947111 0.490185206717525 0.0748073639703272 0.163562092568255
7 1 0.755874270656879 0.473125740377597 0.0689919174927798 0.154929268487993
7 2 0.708994918125353 0.360350434017284 0.0686762996372009 0.158801048246126
7 5 0.613695652173913 0.121367077536876 0.0557815655345624 0.131891254058518
7 8 0.569897421419161 0.00236587982832618 0.0159266742422563 0.016671859547518
7 10 0.568986448334274 0 0.0146102397877669 0
9 0.005 0.713935629587804 0.406406234337288 0.0961618970331801 0.198396735290794
9 0.01 0.717190852625635 0.412410719821926 0.0922332054728009 0.193454628252746
9 0.05 0.733578016186712 0.439540908194196 0.0878391653252118 0.18580295981364
9 0.1 0.736664784490871 0.445410358333826 0.087298069896907 0.187035771091476
9 0.5 0.760840391492565 0.489093248271969 0.0754306586931484 0.164997579244753
9 1 0.75635046113307 0.474029496246141 0.0688661904351816 0.154860177096343
9 2 0.701838885751929 0.342938880859031 0.0680401778841745 0.158652082522593
9 5 0.615970261622436 0.126697658995149 0.0565581932052721 0.134575893735188
9 8 0.569897421419161 0.00236587982832618 0.0159266742422563 0.016671859547518
9 10 0.568986448334274 0 0.0146102397877669 0
11 0.005 0.70877564464521 0.397297786429726 0.0947809935216327 0.197613908880008
11 0.01 0.713024656502917 0.404436477121005 0.0943587358902528 0.195910931337932
11 0.05 0.734012798795407 0.441473746066926 0.0888783274309699 0.187514445055827
11 0.1 0.733601543384152 0.438695554131114 0.0886002713294603 0.190070189381387
11 0.5 0.76038584603802 0.487956790713493 0.0760461007577894 0.166652364207764
11 1 0.755895915678524 0.472854925036567 0.0674546388542282 0.151933688709302
11 2 0.700060229625447 0.338674245436801 0.0680339403178732 0.158696435206553
11 5 0.617707509881423 0.131237386529207 0.0583159674872013 0.138871624942235
11 8 0.569897421419161 0.00236587982832618 0.0159266742422563 0.016671859547518
11 10 0.568986448334274 0 0.0146102397877669 0
13 0.005 0.691933935629588 0.363008617190065 0.0861807495436544 0.181117521764125
13 0.01 0.72218897044984 0.42492246907688 0.0912463747465754 0.189665352299295
13 0.05 0.73575192923019 0.445105926589613 0.0889822053773115 0.18646925453958
13 0.1 0.734490871447393 0.440869635852734 0.0893042459678259 0.191239710535439
13 0.5 0.759951063429324 0.487256821801714 0.0741678336883068 0.162406856572147
13 1 0.75633069828722 0.473815598471858 0.0680491300783809 0.15322936062745
13 2 0.697827028044419 0.333195020828917 0.0688264844237368 0.160917914374715
13 5 0.618183700357613 0.132405512121972 0.058975817521838 0.140370611200792
13 8 0.569897421419161 0.00236587982832618 0.0159266742422563 0.016671859547518
13 10 0.568986448334274 0 0.0146102397877669 0
