Neural Network 

225 samples
  7 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (7), centered (7), scaled (7) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa     
   1    5e-03  0.7302005  0.43276174
   1    1e-02  0.7302005  0.43308753
   1    5e-02  0.7381094  0.44992018
   1    1e-01  0.7416648  0.45657798
   1    5e-01  0.7608206  0.48979858
   1    1e+00  0.7648739  0.49444954
   1    2e+00  0.7049831  0.35020148
   1    5e+00  0.5738660  0.01326744
   1    8e+00  0.5689864  0.00000000
   1    1e+01  0.5689864  0.00000000
   2    5e-03  0.7300819  0.43323259
   2    1e-02  0.7280802  0.42766962
   2    5e-02  0.7345520  0.44146037
   2    1e-01  0.7415424  0.45507770
   2    5e-01  0.7617100  0.49102510
   2    1e+00  0.7572200  0.47705949
   2    2e+00  0.7045285  0.34959407
   2    5e+00  0.5897770  0.05731185
   2    8e+00  0.5689864  0.00000000
   2    1e+01  0.5689864  0.00000000
   3    5e-03  0.7239968  0.42449222
   3    1e-02  0.7195012  0.41313046
   3    5e-02  0.7394495  0.45101202
   3    1e-01  0.7394099  0.45022067
   3    5e-01  0.7617297  0.49119765
   3    1e+00  0.7590203  0.48126348
   3    2e+00  0.7156155  0.37582813
   3    5e+00  0.6035140  0.09479646
   3    8e+00  0.5689864  0.00000000
   3    1e+01  0.5689864  0.00000000
   5    5e-03  0.7113269  0.40041742
   5    1e-02  0.7232260  0.42295992
   5    5e-02  0.7372360  0.44772717
   5    1e-01  0.7357736  0.44310763
   5    5e-01  0.7608602  0.48930396
   5    1e+00  0.7562893  0.47434807
   5    2e+00  0.7134020  0.37038949
   5    5e+00  0.6110258  0.11413096
   5    8e+00  0.5694626  0.00125000
   5    1e+01  0.5689864  0.00000000
   7    5e-03  0.7039319  0.38564421
   7    1e-02  0.7161764  0.41056848
   7    5e-02  0.7384002  0.45052891
   7    1e-01  0.7354395  0.44237227
   7    5e-01  0.7612949  0.49018521
   7    1e+00  0.7558743  0.47312574
   7    2e+00  0.7089949  0.36035043
   7    5e+00  0.6136957  0.12136708
   7    8e+00  0.5698974  0.00236588
   7    1e+01  0.5689864  0.00000000
   9    5e-03  0.7139356  0.40640623
   9    1e-02  0.7171909  0.41241072
   9    5e-02  0.7335780  0.43954091
   9    1e-01  0.7366648  0.44541036
   9    5e-01  0.7608404  0.48909325
   9    1e+00  0.7563505  0.47402950
   9    2e+00  0.7018389  0.34293888
   9    5e+00  0.6159703  0.12669766
   9    8e+00  0.5698974  0.00236588
   9    1e+01  0.5689864  0.00000000
  11    5e-03  0.7087756  0.39729779
  11    1e-02  0.7130247  0.40443648
  11    5e-02  0.7340128  0.44147375
  11    1e-01  0.7336015  0.43869555
  11    5e-01  0.7603858  0.48795679
  11    1e+00  0.7558959  0.47285493
  11    2e+00  0.7000602  0.33867425
  11    5e+00  0.6177075  0.13123739
  11    8e+00  0.5698974  0.00236588
  11    1e+01  0.5689864  0.00000000
  13    5e-03  0.6919339  0.36300862
  13    1e-02  0.7221890  0.42492247
  13    5e-02  0.7357519  0.44510593
  13    1e-01  0.7344909  0.44086964
  13    5e-01  0.7599511  0.48725682
  13    1e+00  0.7563307  0.47381560
  13    2e+00  0.6978270  0.33319502
  13    5e+00  0.6181837  0.13240551
  13    8e+00  0.5698974  0.00236588
  13    1e+01  0.5689864  0.00000000

Kappa was used to select the optimal model using the largest value.
The final values used for the model were size = 1 and decay = 1.
