"size" "decay" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
1 0.005 0.728852813852814 0.436525277419236 0.0937481662392769 0.196189826149591
1 0.01 0.72579521927348 0.43082427796946 0.0958911810215236 0.202385681657531
1 0.05 0.735710521362695 0.449312153412067 0.092401364676357 0.194800686987696
1 0.1 0.74235836627141 0.461995006416353 0.0919537716402938 0.195144482556524
1 0.5 0.745700169395822 0.465617822527463 0.0898533492868426 0.192523603384274
1 1 0.75231884057971 0.478029592248606 0.0882102691585177 0.189146010505468
1 2 0.758150762281197 0.48620019087675 0.0757464493260553 0.163893276296424
1 5 0.761832298136646 0.487452080682092 0.0723397896262129 0.16197196791193
1 8 0.714269715791455 0.372615083039418 0.0773227300431646 0.179241193694639
1 10 0.682313194052324 0.295874218750182 0.0707009362260408 0.165473784584398
2 0.005 0.720730284208545 0.417307444818377 0.101632421643658 0.2149266732972
2 0.01 0.717158855637116 0.409592899642344 0.0907299956677065 0.190716477827751
2 0.05 0.724955768868812 0.424579710850611 0.0878343966187905 0.184536674475291
2 0.1 0.737172971955581 0.449038292085243 0.0894456937037218 0.190444620081898
2 0.5 0.742536231884058 0.458764182404014 0.0908423168823132 0.194129700794806
2 1 0.750168454733672 0.472767024270761 0.0880879084386785 0.18897595075534
2 2 0.756806888763411 0.483784799226704 0.0779429147878044 0.168467742134929
2 5 0.763510257858084 0.491399960268098 0.0731502987414104 0.164213767877225
2 8 0.733403914925654 0.417761306970926 0.0750194016772771 0.173523892427495
2 10 0.704983060417843 0.349440585748987 0.0739292854893519 0.173039647873918
3 0.005 0.718210991906644 0.413295398238424 0.0918252557394042 0.196326674084034
3 0.01 0.713202522115566 0.403097470886944 0.0883295595466486 0.183474368389543
3 0.05 0.704837191793714 0.382381198361608 0.0870482540118615 0.182897287815753
3 0.1 0.726182947487295 0.425384668167358 0.0881868381225254 0.186700168720294
3 0.5 0.741745718050066 0.457119797674863 0.0931882951102896 0.19875362834574
3 1 0.749196310935441 0.470947592489446 0.0868870419084538 0.186524069895892
3 2 0.754138904573687 0.477808070866279 0.079689266142392 0.172695780569961
3 5 0.763962921136834 0.492891297947591 0.0740772460823687 0.164854033046754
3 8 0.734156785243742 0.420355611851192 0.0726257403477215 0.166755901370794
3 10 0.707633163937512 0.356470157275897 0.0700308811250749 0.163402143598784
5 0.005 0.712182382834557 0.39986437593795 0.0850102075510353 0.180292065494857
5 0.01 0.705562770562771 0.384771428709822 0.0919897824401961 0.193663576784626
5 0.05 0.704070205157162 0.384025005273328 0.0882541209938735 0.184148874167648
5 0.1 0.712115565593826 0.399330190207961 0.095354381645739 0.199492040391654
5 0.5 0.740816864295125 0.454426393420122 0.0925118241577542 0.197980381559793
5 1 0.748801054018445 0.470558363986615 0.088717076350739 0.190171589466629
5 2 0.758484848484848 0.486822476475237 0.0773560030034225 0.168356578851004
5 5 0.764439111613025 0.493244760835865 0.0714488600997753 0.159761048424482
5 8 0.740067758328628 0.433829743961938 0.0763988604225481 0.174715649734061
5 10 0.706388104648974 0.353901133341323 0.0661086579527894 0.153316289787027
7 0.005 0.707827028044419 0.3949731300944 0.0850548740553322 0.177783740997608
7 0.01 0.712866553736119 0.404712894268008 0.100518666307626 0.204911196710779
7 0.05 0.709172783738001 0.392847499687415 0.0924442430542574 0.194480674388421
7 0.1 0.707115565593826 0.390122387818763 0.0939640091282379 0.196166800608091
