Neural Network 

225 samples
  7 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (7), centered (7), scaled (7) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using SMOTE prior to pre-processing

Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa    
   1    5e-03  0.7288528  0.4365253
   1    1e-02  0.7257952  0.4308243
   1    5e-02  0.7357105  0.4493122
   1    1e-01  0.7423584  0.4619950
   1    5e-01  0.7457002  0.4656178
   1    1e+00  0.7523188  0.4780296
   1    2e+00  0.7581508  0.4862002
   1    5e+00  0.7618323  0.4874521
   1    8e+00  0.7142697  0.3726151
   1    1e+01  0.6823132  0.2958742
   2    5e-03  0.7207303  0.4173074
   2    1e-02  0.7171589  0.4095929
   2    5e-02  0.7249558  0.4245797
   2    1e-01  0.7371730  0.4490383
   2    5e-01  0.7425362  0.4587642
   2    1e+00  0.7501685  0.4727670
   2    2e+00  0.7568069  0.4837848
   2    5e+00  0.7635103  0.4914000
   2    8e+00  0.7334039  0.4177613
   2    1e+01  0.7049831  0.3494406
   3    5e-03  0.7182110  0.4132954
   3    1e-02  0.7132025  0.4030975
   3    5e-02  0.7048372  0.3823812
   3    1e-01  0.7261829  0.4253847
   3    5e-01  0.7417457  0.4571198
   3    1e+00  0.7491963  0.4709476
   3    2e+00  0.7541389  0.4778081
   3    5e+00  0.7639629  0.4928913
   3    8e+00  0.7341568  0.4203556
   3    1e+01  0.7076332  0.3564702
   5    5e-03  0.7121824  0.3998644
   5    1e-02  0.7055628  0.3847714
   5    5e-02  0.7040702  0.3840250
   5    1e-01  0.7121156  0.3993302
   5    5e-01  0.7408169  0.4544264
   5    1e+00  0.7488011  0.4705584
   5    2e+00  0.7584848  0.4868225
   5    5e+00  0.7644391  0.4932448
   5    8e+00  0.7400678  0.4338297
   5    1e+01  0.7063881  0.3539011
   7    5e-03  0.7078270  0.3949731
   7    1e-02  0.7128666  0.4047129
   7    5e-02  0.7091728  0.3928475
   7    1e-01  0.7071156  0.3901224
   7    5e-01  0.7390166  0.4506987
   7    1e+00  0.7460917  0.4639340
   7    2e+00  0.7603858  0.4906091
   7    5e+00  0.7640853  0.4924296
   7    8e+00  0.7325184  0.4166827
   7    1e+01  0.7019198  0.3431909
   9    5e-03  0.7133427  0.4091529
   9    1e-02  0.7231865  0.4281144
   9    5e-02  0.7071156  0.3901071
   9    1e-01  0.7133211  0.4029072
   9    5e-01  0.7381470  0.4487088
   9    1e+00  0.7506211  0.4740730
   9    2e+00  0.7549652  0.4785596
   9    5e+00  0.7649351  0.4940505
   9    8e+00  0.7315500  0.4130757
   9    1e+01  0.7050226  0.3499638
  11    5e-03  0.7091229  0.4003565
  11    1e-02  0.7246970  0.4318665
  11    5e-02  0.7155647  0.4095614
  11    1e-01  0.7114436  0.3985081
  11    5e-01  0.7415660  0.4556577
  11    1e+00  0.7497318  0.4719699
  11    2e+00  0.7563307  0.4829302
  11    5e+00  0.7635893  0.4913640
  11    8e+00  0.7315481  0.4129446
  11    1e+01  0.6978882  0.3333859
  13    5e-03  0.7120760  0.4127817
  13    1e-02  0.7079023  0.3970946
  13    5e-02  0.7115029  0.3998239
  13    1e-01  0.7082599  0.3912940
  13    5e-01  0.7377536  0.4478553
  13    1e+00  0.7465697  0.4655616
  13    2e+00  0.7599078  0.4897672
  13    5e+00  0.7636307  0.4914812
  13    8e+00  0.7294137  0.4093452
  13    1e+01  0.7027715  0.3448654

Kappa was used to select the optimal model using the largest value.
The final values used for the model were size = 9 and decay = 5.
