"size" "decay" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
1 0.005 0.738722002635046 0.456840970898007 0.0977415530610194 0.205407150782727
1 0.01 0.740480895915679 0.460410157082951 0.0917850160301999 0.193169253115326
1 0.05 0.747437417654809 0.472927816161229 0.0917318596876529 0.194964380529036
1 0.1 0.744372294372294 0.46638947568579 0.0950229988762301 0.200740060585841
1 0.5 0.746508563899868 0.466240787291974 0.0884598990056564 0.189688262993351
1 1 0.75180312441182 0.474377965137926 0.0856043819434555 0.183213796892525
1 2 0.757261434217956 0.482041969304601 0.0777874379011613 0.168488645253897
1 5 0.642902315076228 0.271901830616647 0.103946485621687 0.182720480079628
1 8 0.487875964615095 0.00267493255365907 0.0714659461076715 0.0331896762775034
1 10 0.496242236024845 0 0.0707559026289853 0
2 0.005 0.737234142668925 0.45652565174182 0.0918811004076695 0.192588299880638
2 0.01 0.735480895915679 0.452374702319353 0.0998879503284417 0.20863419309939
2 0.05 0.742081686429513 0.462333873718947 0.0948589502066394 0.198905546327619
2 0.1 0.743899868247694 0.465743228287005 0.0914170942633365 0.193510673937598
2 0.5 0.7483465085639 0.470128819413378 0.0902882854358052 0.193228004401286
2 1 0.751389986824769 0.474006324996251 0.0888643285079596 0.1913412129696
2 2 0.75684641445511 0.48055859413786 0.0739212405399927 0.161576332861835
2 5 0.710386787125918 0.392686602987037 0.110849420706559 0.202114282626215
2 8 0.716730660643704 0.381037770588918 0.0749391018521996 0.1680182041579
2 10 0.495609824957651 0.0072479826035135 0.0749147385149922 0.0454131155632824
3 0.005 0.720670995670996 0.422663810156195 0.0973270403170181 0.201791410174486
3 0.01 0.72272821381517 0.428074917465839 0.0992870661253121 0.204492841624516
3 0.05 0.73172030867683 0.440625308951712 0.0962358650026717 0.202156791878644
3 0.1 0.746111424807077 0.470939023673195 0.0937532561544346 0.196618424448046
3 0.5 0.746506681724073 0.466153909999802 0.0875624805844725 0.188397268393667
3 1 0.750559947299078 0.472436220566285 0.0875813584445151 0.187928748130099
3 2 0.760545830980614 0.488378550721584 0.0757396940044742 0.165961230766745
3 5 0.747099567099567 0.452942502320706 0.0672229074541529 0.150726174395358
3 8 0.703700357613401 0.358135120926675 0.0990112570317585 0.213912568091514
3 10 0.504426877470356 0.00310470213189878 0.0728858934966459 0.0424437928682796
5 0.005 0.708150762281197 0.395630656924845 0.0885986106890127 0.184177498651375
5 0.01 0.703762469414643 0.389315616862099 0.0966813311338943 0.199376925348878
5 0.05 0.722012987012987 0.421931410957876 0.0948780770502105 0.196672324420187
5 0.1 0.732174854131376 0.441240838785655 0.0923063227957738 0.194101747001985
5 0.5 0.743445322793149 0.460224423825547 0.088843078188695 0.190575558896703
5 1 0.751903820816864 0.474543790543682 0.086567265896547 0.185280754967347
5 2 0.761215885563712 0.488168764489598 0.0753113878817599 0.166004350858391
5 5 0.747459062676454 0.45276596535907 0.0711925594887304 0.160901219804398
5 8 0.716269527573875 0.383137891624979 0.0838482123370976 0.180825967734836
5 10 0.496342932429889 0.015045726450405 0.080813484199855 0.0741269854775826
7 0.005 0.702983248635422 0.387999866214784 0.0942883847186316 0.196213071380953
7 0.01 0.704240542066629 0.388979376033316 0.0964794774122637 0.198538732820289
7 0.05 0.721576322228496 0.421173714917492 0.0970931287583412 0.199342216063471
7 0.1 0.731344814605684 0.44037832360629 0.0943549405289635 0.198109353328112
7 0.5 0.747376246941464 0.467915809115678 0.0874840922152978 0.187525513935785
7 1 0.752795031055901 0.476025716377243 0.0810476826337003 0.174064130955085
7 2 0.757676453980802 0.479477664288528 0.0737144116285555 0.163343141523926
7 5 0.744018445322793 0.444410824769431 0.0752810461805066 0.168980718916015
7 8 0.731134952004517 0.413255872786311 0.0750940907967371 0.171960023435145
7 10 0.495597590814982 0.00871408797625649 0.0769643442099073 0.06269335771478
9 0.005 0.700052700922266 0.383901277414286 0.0934275555408698 0.192319172049649
9 0.01 0.705457368718238 0.391661186607792 0.0915360349351002 0.18981866171055
9 0.05 0.71766516092603 0.414353156973205 0.0924133437813361 0.19144653502758
9 0.1 0.729151138716356 0.435876265148441 0.0996084920381416 0.210129860582627
9 0.5 0.746591379634858 0.467085867239518 0.0868469204722885 0.185923253004065
9 1 0.755919442875965 0.481804830101691 0.080879306316166 0.174334104701568
9 2 0.755502540937323 0.474975965338135 0.0747983406223226 0.166122133476579
9 5 0.746233766233766 0.45023701950478 0.0691032625636246 0.155222497201186
9 8 0.716664784490871 0.381149966920011 0.0718122391834696 0.158272875038109
9 10 0.502253905514775 -0.000351823317925011 0.0704962425058886 0.00659589909652876
11 0.005 0.707016751364577 0.396880126689868 0.102167644609871 0.210898376777242
11 0.01 0.70826369282891 0.398711656113804 0.09615141796986 0.199645921792835
11 0.05 0.725651232825146 0.429935704941372 0.0940558323497855 0.195008319538076
11 0.1 0.726461509504988 0.430363652136682 0.0917728177374027 0.192819330357869
11 0.5 0.745597590814982 0.464185173075848 0.0884296055526683 0.188965858428081
11 1 0.754138904573687 0.478352691429945 0.0808093644095409 0.174481469727558
11 2 0.7528345567476 0.468772882604183 0.0730136407851843 0.162116460539897
11 5 0.743836815358555 0.444326909465121 0.0697468120684591 0.158316329642932
11 8 0.7187794089968 0.386443870226412 0.0721715024302756 0.157821654936326
11 10 0.507051571616789 0.0145003233933793 0.0805612619606919 0.0737004126487576
13 0.005 0.700368906455863 0.381982674441802 0.100523254564963 0.20908024827606
13 0.01 0.716005081874647 0.415490991628487 0.0922917501509585 0.190843616952436
13 0.05 0.717827028044419 0.414896207871235 0.0943541401277712 0.195359195278058
13 0.1 0.729091850178807 0.435171941180218 0.0988588120509252 0.207313773058153
13 0.5 0.744769433465086 0.462651728991671 0.0878735643437711 0.18873064654977
13 1 0.756787125917561 0.484934817869378 0.082949706568974 0.179129517564603
13 2 0.753148880105402 0.469498930857396 0.0708452911923553 0.158268614566874
13 5 0.743069828722003 0.442757239585422 0.0690963524851744 0.156152737016074
13 8 0.715718050065876 0.380033039617399 0.0824425558540352 0.178926849464292
13 10 0.495543948804818 0.00526041450738146 0.0751128364127816 0.0526041450738146
