Neural Network 

225 samples
  7 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (7), centered (7), scaled (7) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using up-sampling prior to pre-processing

Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa        
   1    5e-03  0.7387220   0.4568409709
   1    1e-02  0.7404809   0.4604101571
   1    5e-02  0.7474374   0.4729278162
   1    1e-01  0.7443723   0.4663894757
   1    5e-01  0.7465086   0.4662407873
   1    1e+00  0.7518031   0.4743779651
   1    2e+00  0.7572614   0.4820419693
   1    5e+00  0.6429023   0.2719018306
   1    8e+00  0.4878760   0.0026749326
   1    1e+01  0.4962422   0.0000000000
   2    5e-03  0.7372341   0.4565256517
   2    1e-02  0.7354809   0.4523747023
   2    5e-02  0.7420817   0.4623338737
   2    1e-01  0.7438999   0.4657432283
   2    5e-01  0.7483465   0.4701288194
   2    1e+00  0.7513900   0.4740063250
   2    2e+00  0.7568464   0.4805585941
   2    5e+00  0.7103868   0.3926866030
   2    8e+00  0.7167307   0.3810377706
   2    1e+01  0.4956098   0.0072479826
   3    5e-03  0.7206710   0.4226638102
   3    1e-02  0.7227282   0.4280749175
   3    5e-02  0.7317203   0.4406253090
   3    1e-01  0.7461114   0.4709390237
   3    5e-01  0.7465067   0.4661539100
   3    1e+00  0.7505599   0.4724362206
   3    2e+00  0.7605458   0.4883785507
   3    5e+00  0.7470996   0.4529425023
   3    8e+00  0.7037004   0.3581351209
   3    1e+01  0.5044269   0.0031047021
   5    5e-03  0.7081508   0.3956306569
   5    1e-02  0.7037625   0.3893156169
   5    5e-02  0.7220130   0.4219314110
   5    1e-01  0.7321749   0.4412408388
   5    5e-01  0.7434453   0.4602244238
   5    1e+00  0.7519038   0.4745437905
   5    2e+00  0.7612159   0.4881687645
   5    5e+00  0.7474591   0.4527659654
   5    8e+00  0.7162695   0.3831378916
   5    1e+01  0.4963429   0.0150457265
   7    5e-03  0.7029832   0.3879998662
   7    1e-02  0.7042405   0.3889793760
   7    5e-02  0.7215763   0.4211737149
   7    1e-01  0.7313448   0.4403783236
   7    5e-01  0.7473762   0.4679158091
   7    1e+00  0.7527950   0.4760257164
   7    2e+00  0.7576765   0.4794776643
   7    5e+00  0.7440184   0.4444108248
   7    8e+00  0.7311350   0.4132558728
   7    1e+01  0.4955976   0.0087140880
   9    5e-03  0.7000527   0.3839012774
   9    1e-02  0.7054574   0.3916611866
   9    5e-02  0.7176652   0.4143531570
   9    1e-01  0.7291511   0.4358762651
   9    5e-01  0.7465914   0.4670858672
   9    1e+00  0.7559194   0.4818048301
   9    2e+00  0.7555025   0.4749759653
   9    5e+00  0.7462338   0.4502370195
   9    8e+00  0.7166648   0.3811499669
   9    1e+01  0.5022539  -0.0003518233
  11    5e-03  0.7070168   0.3968801267
  11    1e-02  0.7082637   0.3987116561
  11    5e-02  0.7256512   0.4299357049
  11    1e-01  0.7264615   0.4303636521
  11    5e-01  0.7455976   0.4641851731
  11    1e+00  0.7541389   0.4783526914
  11    2e+00  0.7528346   0.4687728826
  11    5e+00  0.7438368   0.4443269095
  11    8e+00  0.7187794   0.3864438702
  11    1e+01  0.5070516   0.0145003234
  13    5e-03  0.7003689   0.3819826744
  13    1e-02  0.7160051   0.4154909916
  13    5e-02  0.7178270   0.4148962079
  13    1e-01  0.7290919   0.4351719412
  13    5e-01  0.7447694   0.4626517290
  13    1e+00  0.7567871   0.4849348179
  13    2e+00  0.7531489   0.4694989309
  13    5e+00  0.7430698   0.4427572396
  13    8e+00  0.7157181   0.3800330396
  13    1e+01  0.4955439   0.0052604145

Kappa was used to select the optimal model using the largest value.
The final values used for the model were size = 3 and decay = 2.
