"mtry" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
1 0.734544513457557 0.455357577207906 0.0920492098299145 0.188899884100982
2 0.723125352907962 0.435308561260914 0.0906947807611823 0.184667876435444
3 0.7302362130623 0.450034233637696 0.0929200671304732 0.190234838643878
4 0.730222096743836 0.451886705834811 0.0879728679310797 0.178905822645459
5 0.727593638245812 0.447414273925184 0.0878410668355772 0.178679831074735
6 0.727095802747977 0.445518115334156 0.090095511263507 0.184414978936462
7 0.726230001882176 0.444114247168757 0.0893722851527839 0.18316461716356
8 0.737749858836815 0.467029604171886 0.0923810222198051 0.188386303946644
9 0.732925842273668 0.456183471465773 0.0910053267186331 0.18672574795061
10 0.729392057218144 0.451309422522971 0.0993697703439993 0.200126271017398
11 0.726884057971015 0.445737954576711 0.0933226663621946 0.18930037269274
12 0.731230001882176 0.451980412385297 0.0838259467273873 0.17236681900362
