"mtry" "ROC" "Sens" "Spec" "ROCSD" "SensSD" "SpecSD"
1 0.803287393162393 0.783397435897436 0.669888888888889 0.0893450680773555 0.123372042009148 0.157644266237756
2 0.796897435897436 0.753653846153846 0.682777777777778 0.0935284428667257 0.124746986247509 0.163576858699002
3 0.796072293447293 0.756025641025641 0.696111111111111 0.0931957723940093 0.117815271401079 0.16615615791048
4 0.793392094017094 0.75198717948718 0.702222222222222 0.0932965031862307 0.123043245063131 0.152952405045665
5 0.791594017094017 0.741217948717949 0.709444444444444 0.0915560923208341 0.121924830813372 0.153760486043109
6 0.791588319088319 0.746217948717949 0.702777777777778 0.0943429591378043 0.111395007434281 0.161064662989893
7 0.790766381766382 0.742884615384615 0.704777777777778 0.0942252670656594 0.118710502226965 0.161789893294562
8 0.797564458689459 0.755961538461538 0.713555555555555 0.0901768273666003 0.119499336179742 0.154981947063844
9 0.798962962962963 0.754551282051282 0.704333333333333 0.0941667658549264 0.120105774772616 0.168640722331773
10 0.792349358974359 0.744166666666667 0.709777777777778 0.0944058587643752 0.132130702725572 0.15528499799504
11 0.786950854700855 0.742115384615385 0.706666666666667 0.0976389664469466 0.122641704249068 0.158131627678584
12 0.795443732193732 0.756923076923077 0.697222222222222 0.0938203643608507 0.110615714699135 0.162498381240319
