"mtry" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
1 0.745301148127235 0.466992560625211 0.0853913789684919 0.181602219367892
2 0.734170901562206 0.448996118744413 0.0865286901781882 0.180764829608424
3 0.735097873141351 0.451760762779188 0.0928392345898374 0.193550150918474
4 0.733651421042725 0.449417721218745 0.0903349134905703 0.188478121854495
5 0.73723226049313 0.457054343273667 0.0880941019246731 0.183697080095757
6 0.737667043101826 0.458543199865998 0.0924242415337564 0.192221310655003
7 0.73776773950687 0.459555307516698 0.0900502658283441 0.18701889590312
8 0.739131375870506 0.462331137596937 0.0936759934931878 0.193605250329155
9 0.740376435159044 0.464968155647936 0.0926680792915828 0.19221741821317
10 0.740417843026539 0.465026206642826 0.0927268265371414 0.191959290346544
11 0.744014680971203 0.472094316490118 0.0895163899709603 0.185545501834547
12 0.738641069075852 0.461192654717919 0.0885910751828024 0.18394859821328
