"mtry" "ROC" "Sens" "Spec" "ROCSD" "SensSD" "SpecSD"
1 0.805011752136752 0.846217948717949 0.612 0.0902749095093936 0.0971244930051142 0.165970713051195
2 0.80180235042735 0.812435897435898 0.631111111111111 0.0897396585313139 0.107733693531473 0.158273513420613
3 0.799866809116809 0.808461538461538 0.638333333333333 0.0922234709773199 0.115927526446092 0.164170419607641
4 0.797022435897436 0.802051282051282 0.643333333333333 0.0927785230427331 0.110621718233161 0.163943332089705
5 0.797079772079772 0.804615384615385 0.648555555555556 0.0924135118039109 0.107126571145225 0.158860631802534
6 0.794694444444444 0.802115384615385 0.653 0.0959136355242594 0.109510674264403 0.161161260046012
7 0.794448005698006 0.796602564102564 0.660111111111111 0.0938937209478436 0.106467326479665 0.159709605220696
8 0.79366915954416 0.799166666666667 0.659888888888889 0.0940681938280145 0.112772436691054 0.157577804383955
9 0.79373896011396 0.799102564102564 0.663 0.0965451439377353 0.109830722658602 0.161950135427185
10 0.79313603988604 0.800705128205128 0.661222222222222 0.0956870517567516 0.106872935106896 0.155318843464192
11 0.792199074074074 0.804615384615385 0.664111111111111 0.095393288631151 0.104375197205168 0.156696592727285
12 0.791319444444444 0.798333333333333 0.659888888888889 0.0960042906103764 0.102901139444133 0.15772809480008
