"mtry" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
1 0.739668737060041 0.459720372754603 0.0970882274925369 0.20320810671122
2 0.724503105590062 0.431948063187457 0.0940570606298342 0.193936984614632
3 0.724548277809147 0.432953877466006 0.0938784369212158 0.192978419175769
4 0.720789572746094 0.42696650409877 0.0920522225952649 0.186643719521945
5 0.722683041596085 0.429390834180517 0.0958268812941998 0.196676933982906
6 0.725002823263693 0.434979238378733 0.0950725464113291 0.195479329721039
7 0.717783738001129 0.42099127048201 0.0954264347401047 0.195739058480693
8 0.711623376623377 0.407825112785437 0.0970545669144936 0.199275789234445
9 0.707445887445887 0.397871315440283 0.0998535403550249 0.203766831020566
10 0.708497082627517 0.400709767142065 0.0898433455988943 0.183757491998072
11 0.705769809900245 0.395481725598011 0.0961734919564252 0.196072044923002
12 0.709506869941653 0.403812536895387 0.0949523640802424 0.191821346057301
