"mtry" "ROC" "Sens" "Spec" "ROCSD" "SensSD" "SpecSD"
1 0.8047849002849 0.819294871794872 0.635 0.0903058849799406 0.10750257317616 0.172410381989985
2 0.798479700854701 0.789679487179487 0.638555555555556 0.0931202850615381 0.120241857178437 0.160724253991657
3 0.793687678062678 0.785064102564103 0.645 0.0948691905438036 0.121607139357784 0.162436976372927
4 0.787259971509972 0.776474358974359 0.647444444444444 0.0969495799607655 0.125735918026461 0.143538165267604
5 0.789381766381766 0.781089743589744 0.645333333333333 0.0937303462706502 0.121422415412299 0.15864087917276
6 0.784900997150997 0.780320512820513 0.652222222222222 0.0955786072360868 0.120021284696127 0.159188771496907
7 0.779491809116809 0.769487179487179 0.649888888888889 0.0937640425834874 0.120779928490841 0.159165229464878
8 0.778093660968661 0.765512820512821 0.640444444444444 0.10005221770818 0.123277417525193 0.161745683228788
9 0.781204415954416 0.770897435897436 0.623444444444444 0.0978019084514015 0.125815003573846 0.154452518581994
10 0.778229344729345 0.767051282051282 0.630888888888889 0.0962364349492861 0.118280798355346 0.147993016420844
11 0.767358262108262 0.764615384615385 0.628222222222222 0.0989856166853503 0.12533725812196 0.159907224629905
12 0.775903133903134 0.767179487179487 0.633555555555556 0.096550311677081 0.128750716850694 0.144370869632705
