"mtry" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
1 0.736921701486919 0.453153896698804 0.0875515937699025 0.183708676449817
2 0.72673630717109 0.436843764749161 0.0897513024576841 0.185861502746504
3 0.728107472237907 0.440700198154333 0.085643131738627 0.176993404241499
4 0.729346884999059 0.444285893055696 0.0870256231538016 0.179325489005511
5 0.728380387728214 0.442403274037513 0.0874832271874285 0.179977214584046
6 0.732139092791267 0.449552291006238 0.0884501650342684 0.182939347075129
7 0.731089779785432 0.447829971156159 0.0921469812430045 0.189931251137473
8 0.733400150574064 0.453128814842407 0.092833011035196 0.189923773690951
9 0.730218332392245 0.445913908076707 0.0891711834758407 0.185814283660822
10 0.732415772633164 0.451952779469011 0.0960038791338881 0.197141450878751
11 0.732988895162808 0.452194216213527 0.0960294546720735 0.197516839948454
12 0.730141163184641 0.447317863504816 0.0948438880432916 0.194371739915718
