"mtry" "ROC" "Sens" "Spec" "ROCSD" "SensSD" "SpecSD"
1 0.79843198005698 0.821153846153846 0.625777777777778 0.0922769737235579 0.104212106320489 0.16148611490588
2 0.798789173789174 0.786730769230769 0.647333333333333 0.0877305419229744 0.113465196598316 0.16267666924163
3 0.796882834757835 0.783461538461538 0.655 0.0915240865557955 0.115526905847387 0.160521775171711
4 0.795116809116809 0.779679487179487 0.663 0.0922585965872983 0.114451517167061 0.158124175159656
5 0.794698717948718 0.777179487179487 0.663888888888889 0.0925093790408497 0.110786088484803 0.157423251331745
6 0.793252849002849 0.783525641025641 0.664666666666667 0.092652274221352 0.10596322457428 0.160101757142075
7 0.789423789173789 0.781923076923077 0.664111111111111 0.093738096984754 0.115280176625699 0.159402918527913
8 0.794206552706553 0.780128205128205 0.671444444444444 0.0906458908389358 0.117979610944755 0.157065423709685
9 0.79022792022792 0.778846153846154 0.666333333333333 0.0930486882903094 0.104803875548599 0.16390495270244
10 0.788585826210826 0.773141025641026 0.678555555555556 0.0955050573913923 0.117952852730922 0.166125233532151
11 0.788739672364672 0.781153846153846 0.669777777777778 0.096379623517081 0.112015253293888 0.159201148273724
12 0.784553418803419 0.774038461538462 0.672444444444444 0.0952669795992645 0.115899220091792 0.157114840011183
