"accepted_name"	"Nocc"	"IUCN_TS_detail"	"IUCN_TS_sum"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld"	"Subset"	"NsubPop"	"Nloc"	"AOO"	"EOO"	"FLO"	"ECO"	"TDWG3"
"Acoelorrhaphe wrightii"	17	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0185810810810811	0.0136986301369863	0.00610687022900763	0.00104667435735662	0.0950948413411065	0.04	0.261904761904762
"Acrocomia aculeata"	14	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0185810810810811	0.0136986301369863	0.00458015267175573	0.0295752251553154	0.0663853502387772	0.064	0.619047619047619
"Acrocomia glaucescens"	6	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00506756756756757	0.00342465753424658	0.00114503816793893	7.95707066943156e-05	0.0861876738182309	0.008	0
"Acrocomia hassleri"	28	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0236486486486486	0.0171232876712329	0.00725190839694656	0.00435184640331238	0.338703796747475	0.024	0.0238095238095238
"Acrocomia intumescens"	9	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0135135135135135	0.0091324200913242	0.00305343511450382	0.00229044996363666	0.0535908426012999	0.048	0
"Acrocomia totai"	14	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0202702702702703	0.0136986301369863	0.0049618320610687	0.00772545254352493	0.0871008173220035	0.064	0.119047619047619
"Actinorhytis calapparia"	16	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0219594594594595	0.0148401826484018	0.00534351145038168	0.00230307611400413	0.0516617741718196	0.048	0.0238095238095238
"Adonidia dransfieldii"	1	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0	0	0	NA	0.474657420178714	0.008	0
"Adonidia merrillii"	3	"NE"	"NE"	"NT"	"nonLC"	"NOT_ASSESSED"	0.00337837837837838	0.00228310502283105	0.000763358778625954	0.000654382874099208	0.156597662451142	0.016	0.0238095238095238
"Aiphanes acaulis"	5	"NE"	"NE"	"Threatened"	"nonLC"	"NOT_ASSESSED"	0.00337837837837838	0.00228310502283105	0.00152671755725191	1.46591239228407e-05	0.030788155537102	0.016	0
"Aiphanes bicornis"	3	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0	0	0.000381679389312977	2.09423603443046e-10	0.121006146213686	0.008	0
"Aiphanes buenaventurae"	1	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0	0	0	NA	0.0794949450400254	0.008	0
"Aiphanes chiribogensis"	27	"NE"	"NE"	"VU"	"nonLC"	"NOT_ASSESSED"	0.0101351351351351	0.0102739726027397	0.00534351145038168	1.4990167456024e-05	0.0481610921874761	0.016	0
"Aiphanes concinna"	12	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0118243243243243	0.0091324200913242	0.00419847328244275	0.00025799084439799	0.0495317944462401	0.032	0
"Aiphanes deltoidea"	15	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	0.0135135135135135	0.0114155251141553	0.0049618320610687	0.000227449638931739	0.0312598689112647	0.032	0.0476190476190476
"Aiphanes duquei"	2	"NE"	"NE"	"VU"	"nonLC"	"NOT_ASSESSED"	0.00168918918918919	0.00114155251141553	0.000381679389312977	4.27011086881364e-08	0.039253444601431	0.008	0
"Aiphanes eggersii"	12	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0101351351351351	0.00684931506849315	0.00267175572519084	4.94561780503331e-05	0.0994546187967832	0.032	0
