"accepted_name"	"Nocc"	"IUCN_TS_detail"	"IUCN_TS_sum"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld"	"Subset"	"NsubPop"	"Nloc"	"AOO"	"EOO"	"FLO"	"ECO"	"TDWG3"
"Acrocomia emensis"	5	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0.00675675675675676	0.0045662100456621	0.00152671755725191	0.00129357330156548	0.164033828665804	0.008	0.0476190476190476
"Actinokentia divaricata"	32	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.0168918918918919	0.0194063926940639	0.00916030534351145	1.47675789792298e-05	0.0289364243253091	0.008	0
"Actinokentia huerlimannii"	4	"EN"	"nonLC"	"EN"	"nonLC"	"TRAIN"	0.00168918918918919	0.00114155251141553	0.000381679389312977	3.54983869309573e-08	0.012994767931854	0.008	0
"Aiphanes grandis"	15	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0.00506756756756757	0.0045662100456621	0.00190839694656489	7.06605725505641e-06	0.0395279723448105	0.016	0
"Aiphanes minima"	3	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	0.00168918918918919	0.00114155251141553	0.000763358778625954	2.26251728904355e-06	0.347815549447968	0.016	0.0238095238095238
"Aiphanes verrucosa"	13	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0.00337837837837838	0.00342465753424658	0.00305343511450382	1.78102461273554e-06	0.028970585099533	0.016	0
"Areca abdulrahmanii"	2	"NT"	"nonLC"	"NT"	"nonLC"	"TRAIN"	0	0	0.000381679389312977	NA	0.00533948006788702	0.008	0
"Areca novohibernica"	27	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0.035472972972973	0.023972602739726	0.00916030534351145	0.00324838801357369	0.137722374357001	0.04	0.0238095238095238
"Areca oxycarpa"	9	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0.00675675675675676	0.0045662100456621	0.00229007633587786	1.07543553970147e-05	0.17141964606207	0.016	0
"Areca parens"	1	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0	0	0	NA	0.036921681490585	0.008	0
"Areca unipa"	1	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0	0	0	NA	0.008708833297087	0.008	0
"Astrocaryum aculeatissimum"	51	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	0.0608108108108108	0.0445205479452055	0.017175572519084	0.000697684564938883	0.163566167423083	0.04	0.0476190476190476
"Attalea barreirensis"	23	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0.027027027027027	0.021689497716895	0.00763358778625954	0.00337045387770471	0.169848610014089	0.04	0.0238095238095238
"Attalea funifera"	35	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.0388513513513514	0.0296803652968037	0.0114503816793893	0.000399901467620879	0.150527859927716	0.048	0.0238095238095238
"Bactris glaucescens"	44	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.0506756756756757	0.0365296803652968	0.0129770992366412	0.00915837293113756	0.0909373971968496	0.08	0.0952380952380952
"Bactris hatschbachii"	6	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	0.00675675675675676	0.0045662100456621	0.00190839694656489	0.000451038023475449	0.066745054450412	0.024	0.0238095238095238
"Bactris horridispatha"	12	"VU"	"nonLC"	"VU"	"nonLC"	"TRAIN"	0.0118243243243243	0.00799086757990868	0.00267175572519084	4.28840408334201e-05	0.190324493191545	0.016	0
"Bactris pickelii"	37	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	0.0422297297297297	0.0308219178082192	0.0125954198473282	0.000966480084052429	0.166868800852311	0.04	0.0238095238095238
"Bactris timbuiensis"	10	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0.00337837837837838	0.00342465753424658	0.00305343511450382	1.06361798039077e-06	0.275333357537983	0.008	0
"Bactris turbinocarpa"	3	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.00168918918918919	0.00114155251141553	0.000763358778625954	8.40784327011438e-07	0.0438125509129293	0.016	0.0238095238095238
"Basselinia deplanchei"	33	"NT"	"nonLC"	"NT"	"nonLC"	"TRAIN"	0.0152027027027027	0.0136986301369863	0.0099236641221374	9.00949513042733e-06	0.0229358606876418	0.008	0
"Basselinia eriostachys"	7	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.00675675675675676	0.0045662100456621	0.00152671755725191	2.27585317492806e-06	0.0308198418092624	0.008	0
"Basselinia favieri"	3	"EN"	"nonLC"	"EN"	"nonLC"	"TRAIN"	0	0	0.000763358778625954	1.89257857783284e-09	0.0102879633271493	0.008	0
"Basselinia gracilis"	79	"EN"	"nonLC"	"EN"	"nonLC"	"TRAIN"	0.0388513513513514	0.0445205479452055	0.0251908396946565	3.4961243486317e-05	0.0222479344684449	0.016	0
"Basselinia humboldtiana"	5	"NT"	"nonLC"	"NT"	"nonLC"	"TRAIN"	0.00337837837837838	0.00342465753424658	0.00152671755725191	4.28720107318616e-06	0.0260454990108364	0.008	0
"Basselinia pancheri"	112	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.035472972972973	0.0479452054794521	0.0297709923664122	4.94749308071182e-05	0.0308727421526056	0.016	0
"Basselinia porphyrea"	3	"EN"	"nonLC"	"EN"	"nonLC"	"TRAIN"	0.00168918918918919	0.00114155251141553	0.000763358778625954	4.70992014066393e-08	0.0295923228261029	0.008	0
"Basselinia sordida"	11	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.00506756756756757	0.0045662100456621	0.00267175572519084	9.9540322208609e-06	0.0311614921891477	0.008	0
"Basselinia tomentosa"	6	"NT"	"nonLC"	"NT"	"nonLC"	"TRAIN"	0.00168918918918919	0.00114155251141553	0.00152671755725191	1.00708303822692e-07	0.0357671499254005	0.008	0
"Basselinia velutina"	13	"NT"	"nonLC"	"NT"	"nonLC"	"TRAIN"	0.00844594594594595	0.00570776255707763	0.00381679389312977	9.79668691971299e-06	0.0159931352700097	0.008	0
"Basselinia vestita"	5	"CR"	"nonLC"	"CR"	"nonLC"	"TRAIN"	0	0	0.000763358778625954	4.9130547459464e-09	0.0157534261750569	0.008	0
"Beccariophoenix alfredii"	4	"VU"	"nonLC"	"VU"	"nonLC"	"TRAIN"	0.00168918918918919	0.00114155251141553	0.000381679389312977	5.90367948830657e-07	0.0308067145452123	0.016	0
"Beccariophoenix madagascariensis"	32	"VU"	"nonLC"	"VU"	"nonLC"	"TRAIN"	0.0219594594594595	0.0148401826484018	0.00725190839694656	0.000214063267427432	0.183818079181506	0.016	0
"Borassus aethiopum"	1236	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.293918918918919	0.484018264840183	0.326717557251908	0.0599414674509865	0.0815097207184002	0.16	0.69047619047619
"Borassus akeassii"	15	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.00844594594594595	0.00799086757990868	0.00343511450381679	0.00121829428298062	0.0429959500925577	0.024	0.214285714285714
"Brahea calcarea"	95	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.0472972972972973	0.0490867579908676	0.0270992366412214	0.00249411010659505	0.0395696622497647	0.112	0.0952380952380952
"Brahea decumbens"	32	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.0135135135135135	0.0136986301369863	0.00801526717557252	9.38764522742201e-05	0.00952360401169166	0.016	0
"Brahea edulis"	3	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0.00168918918918919	0.00114155251141553	0.000763358778625954	4.64436215569863e-06	0.119357007386351	0.008	0
"Brahea moorei"	50	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.0253378378378378	0.0296803652968037	0.0152671755725191	0.000106514597646998	0.0309921633052319	0.032	0
"Butia archeri"	25	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	0.0253378378378378	0.0205479452054795	0.00916030534351145	0.0017489198910625	0.0383968130585349	0.024	0.0238095238095238
"Butia eriospatha"	24	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0.0337837837837838	0.0228310502283105	0.0083969465648855	0.000887308144527187	0.101183777627151	0.032	0
"Butia purpurascens"	10	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0.00506756756756757	0.00570776255707763	0.00305343511450382	1.97720461443746e-05	0.0280672732593079	0.016	0.0238095238095238
"Calamus beccarii"	1	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	0	0	0	NA	0.0151502398573336	0.008	0
"Calamus deerratus"	38	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.0506756756756757	0.0365296803652968	0.0129770992366412	0.0100351881714218	0.120954430587657	0.096	0.5
"Calamus dianbaiensis"	1	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0	0	0	NA	0.0655912971481274	0.008	0.0238095238095238
"Calamus egregius"	1	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	0	0	0	NA	0.282725526344569	0.008	0
"Calamus formosanus"	5	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	0.00337837837837838	0.00342465753424658	0.00152671755725191	5.76073564499544e-06	0.0388709251593972	0.016	0
"Calamus godefroyi"	5	"NT"	"nonLC"	"NT"	"nonLC"	"TRAIN"	0.00675675675675676	0.0045662100456621	0.00152671755725191	0.000235516309192652	0.188968280868153	0.024	0.0476190476190476
"Calamus heteracanthus"	42	"LC"	"LC"	"LC"	"LC"	"TRAIN"	0.0472972972972973	0.0319634703196347	0.0133587786259542	0.00318791625152041	0.0808314724369287	0.072	0.0238095238095238
"Calamus macrorhynchus"	7	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	0.00844594594594595	0.00570776255707763	0.00190839694656489	0.000154556841534725	0.172868691326311	0.024	0
"Calamus multispicatus"	3	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	0.00337837837837838	0.00228310502283105	0.000763358778625954	0.000304658682415119	0.106963510009601	0.008	0
