Random Forest 

225 samples
  7 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (5), centered (5), scaled (5), remove (2) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using down-sampling prior to pre-processing

Resampling results across tuning parameters:

  mtry  threshold   ROC        Sens         Spec         DPM      
  1     0.01000000  0.7800292  0.998461538  0.005333333  0.9947258
  1     0.06157895  0.7800292  0.982179487  0.078666667  0.9224816
  1     0.11315789  0.7800292  0.967500000  0.193222222  0.8092530
  1     0.16473684  0.7800292  0.956538462  0.315777778  0.6885228
  1     0.21631579  0.7800292  0.937884615  0.397555556  0.6102018
  1     0.26789474  0.7800292  0.914358974  0.453555556  0.5600164
  1     0.31947368  0.7800292  0.888397436  0.511000000  0.5111383
  1     0.37105263  0.7800292  0.868012821  0.568777778  0.4639625
  1     0.42263158  0.7800292  0.846282051  0.597777778  0.4466925
  1     0.47421053  0.7800292  0.817179487  0.657777778  0.4093468
  1     0.52578947  0.7800292  0.784487179  0.684666667  0.4060534
  1     0.57736842  0.7800292  0.742435897  0.709222222  0.4133744
  1     0.62894737  0.7800292  0.694423077  0.739555556  0.4268459
  1     0.68052632  0.7800292  0.634166667  0.765444444  0.4569224
  1     0.73210526  0.7800292  0.558653846  0.805666667  0.5017644
  1     0.78368421  0.7800292  0.484807692  0.843666667  0.5534771
  1     0.83526316  0.7800292  0.382628205  0.878666667  0.6406932
  1     0.88684211  0.7800292  0.275961538  0.915555556  0.7361309
  1     0.93842105  0.7800292  0.134230769  0.960666667  0.8692324
  1     0.99000000  0.7800292  0.003076923  1.000000000  0.9969231
  2     0.01000000  0.7567924  0.998461538  0.010666667  0.9893961
  2     0.06157895  0.7567924  0.979807692  0.124000000  0.8773302
  2     0.11315789  0.7567924  0.964166667  0.238666667  0.7644043
  2     0.16473684  0.7567924  0.944615385  0.329000000  0.6771066
  2     0.21631579  0.7567924  0.917307692  0.410888889  0.6023603
  2     0.26789474  0.7567924  0.888269231  0.474333333  0.5474095
  2     0.31947368  0.7567924  0.858717949  0.532444444  0.5020805
  2     0.37105263  0.7567924  0.821089744  0.574111111  0.4797527
  2     0.42263158  0.7567924  0.777884615  0.611222222  0.4708202
  2     0.47421053  0.7567924  0.736666667  0.642444444  0.4688373
  2     0.52578947  0.7567924  0.691474359  0.684777778  0.4668945
  2     0.57736842  0.7567924  0.632115385  0.722000000  0.4867644
  2     0.62894737  0.7567924  0.574358974  0.760222222  0.5111252
  2     0.68052632  0.7567924  0.514358974  0.788333333  0.5488157
  2     0.73210526  0.7567924  0.461858974  0.826888889  0.5830875
  2     0.78368421  0.7567924  0.394679487  0.861444444  0.6341147
  2     0.83526316  0.7567924  0.311217949  0.890888889  0.7058866
  2     0.88684211  0.7567924  0.232948718  0.931444444  0.7751444
  2     0.93842105  0.7567924  0.130833333  0.967000000  0.8718456
  2     0.99000000  0.7567924  0.008589744  0.996888889  0.9915715
  3     0.01000000  0.7561898  0.996153846  0.018666667  0.9814880
  3     0.06157895  0.7561898  0.976794872  0.137222222  0.8644118
