Random Forest 

225 samples
  7 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (5), centered (5), scaled (5), remove (2) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Resampling results across tuning parameters:

  mtry  threshold   ROC        Sens        Spec         DPM      
  1     0.01000000  0.7782660  1.00000000  0.002222222  0.9977778
  1     0.06157895  0.7782660  0.98987179  0.030888889  0.9695971
  1     0.11315789  0.7782660  0.98057692  0.142222222  0.8591158
  1     0.16473684  0.7782660  0.96346154  0.233000000  0.7698354
  1     0.21631579  0.7782660  0.95102564  0.341000000  0.6639931
  1     0.26789474  0.7782660  0.93070513  0.397111111  0.6114983
  1     0.31947368  0.7782660  0.91500000  0.457111111  0.5560340
  1     0.37105263  0.7782660  0.89538462  0.495333333  0.5232550
  1     0.42263158  0.7782660  0.87346154  0.532444444  0.4953992
  1     0.47421053  0.7782660  0.83737179  0.590000000  0.4584093
  1     0.52578947  0.7782660  0.80852564  0.638333333  0.4306267
  1     0.57736842  0.7782660  0.78679487  0.680111111  0.4090430
  1     0.62894737  0.7782660  0.75076923  0.703111111  0.4130078
  1     0.68052632  0.7782660  0.70012821  0.731111111  0.4272292
  1     0.73210526  0.7782660  0.64653846  0.770111111  0.4439641
  1     0.78368421  0.7782660  0.56224359  0.809444444  0.4933877
  1     0.83526316  0.7782660  0.46121795  0.851888889  0.5715738
  1     0.88684211  0.7782660  0.35955128  0.886777778  0.6593987
  1     0.93842105  0.7782660  0.20980769  0.932111111  0.7981309
  1     0.99000000  0.7782660  0.02012821  0.997777778  0.9799949
  2     0.01000000  0.7579199  0.99923077  0.003222222  0.9968073
  2     0.06157895  0.7579199  0.98756410  0.073444444  0.9272942
  2     0.11315789  0.7579199  0.97365385  0.174333333  0.8276133
  2     0.16473684  0.7579199  0.95730769  0.272666667  0.7314502
  2     0.21631579  0.7579199  0.93698718  0.350222222  0.6573861
  2     0.26789474  0.7579199  0.91352564  0.413444444  0.5992978
  2     0.31947368  0.7579199  0.88596154  0.480555556  0.5413782
  2     0.37105263  0.7579199  0.86006410  0.527222222  0.5064452
  2     0.42263158  0.7579199  0.82583333  0.558333333  0.4916661
  2     0.47421053  0.7579199  0.79211538  0.601777778  0.4714428
  2     0.52578947  0.7579199  0.75570513  0.643444444  0.4576865
  2     0.57736842  0.7579199  0.70910256  0.689666667  0.4512340
  2     0.62894737  0.7579199  0.65794872  0.713555556  0.4702009
  2     0.68052632  0.7579199  0.60410256  0.745222222  0.4920959
  2     0.73210526  0.7579199  0.53403846  0.785555556  0.5301141
  2     0.78368421  0.7579199  0.46173077  0.821555556  0.5813948
  2     0.83526316  0.7579199  0.39173077  0.864444444  0.6360731
  2     0.88684211  0.7579199  0.30262821  0.902555556  0.7120937
  2     0.93842105  0.7579199  0.19121795  0.947333333  0.8139949
  2     0.99000000  0.7579199  0.02333333  0.994666667  0.9771702
  3     0.01000000  0.7519046  0.99692308  0.006222222  0.9938959
  3     0.06157895  0.7519046  0.98602564  0.091333333  0.9095653
  3     0.11315789  0.7519046  0.97134615  0.171000000  0.8312695
  3     0.16473684  0.7519046  0.95570513  0.269888889  0.7344111
  3     0.21631579  0.7519046  0.93141026  0.345888889  0.6618247
  3     0.26789474  0.7519046  0.90653846  0.409555556  0.6045599
  3     0.31947368  0.7519046  0.87205128  0.473555556  0.5516199
  3     0.37105263  0.7519046  0.84217949  0.519111111  0.5199184
  3     0.42263158  0.7519046  0.80756410  0.551333333  0.5065386
  3     0.47421053  0.7519046  0.78750000  0.597666667  0.4759431
  3     0.52578947  0.7519046  0.74153846  0.642333333  0.4649809
  3     0.57736842  0.7519046  0.69410256  0.683444444  0.4662040
  3     0.62894737  0.7519046  0.64378205  0.709444444  0.4837589
  3     0.68052632  0.7519046  0.58750000  0.752333333  0.5015806
  3     0.73210526  0.7519046  0.53602564  0.791777778  0.5255437
  3     0.78368421  0.7519046  0.46743590  0.817555556  0.5781542
  3     0.83526316  0.7519046  0.39256410  0.861111111  0.6366742
  3     0.88684211  0.7519046  0.31339744  0.901333333  0.7020750
  3     0.93842105  0.7519046  0.19666667  0.941222222  0.8094979
  3     0.99000000  0.7519046  0.02865385  0.994777778  0.9717348
