Random Forest 

225 samples
  7 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (5), centered (5), scaled (5), remove (2) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using SMOTE prior to pre-processing

Resampling results across tuning parameters:

  mtry  threshold   ROC        Sens       Spec        DPM      
  1     0.01000000  0.7922518  0.9969231  0.02611111  0.9740140
  1     0.06157895  0.7922518  0.9805128  0.18688889  0.8143681
  1     0.11315789  0.7922518  0.9666026  0.27922222  0.7239785
  1     0.16473684  0.7922518  0.9478205  0.33877778  0.6667842
  1     0.21631579  0.7922518  0.9282692  0.39377778  0.6158512
  1     0.26789474  0.7922518  0.9094872  0.44733333  0.5667208
  1     0.31947368  0.7922518  0.8969231  0.49222222  0.5264230
  1     0.37105263  0.7922518  0.8835897  0.52711111  0.4974319
  1     0.42263158  0.7922518  0.8678846  0.55455556  0.4775415
  1     0.47421053  0.7922518  0.8459615  0.58166667  0.4598812
  1     0.52578947  0.7922518  0.8303846  0.61377778  0.4389928
  1     0.57736842  0.7922518  0.8108333  0.64933333  0.4205452
  1     0.62894737  0.7922518  0.7748077  0.67188889  0.4230535
  1     0.68052632  0.7922518  0.7483974  0.71322222  0.4066860
  1     0.73210526  0.7922518  0.7171154  0.74044444  0.4077012
  1     0.78368421  0.7922518  0.6806410  0.76633333  0.4194247
  1     0.83526316  0.7922518  0.6158974  0.80766667  0.4488897
  1     0.88684211  0.7922518  0.5099359  0.84488889  0.5299700
  1     0.93842105  0.7922518  0.3618590  0.89422222  0.6569852
  1     0.99000000  0.7922518  0.1395513  0.95977778  0.8637847
  2     0.01000000  0.7600855  0.9930128  0.07033333  0.9300241
  2     0.06157895  0.7600855  0.9712179  0.23177778  0.7706663
  2     0.11315789  0.7600855  0.9479487  0.31144444  0.6940418
  2     0.16473684  0.7600855  0.9222436  0.36288889  0.6468638
  2     0.21631579  0.7600855  0.9033974  0.41866667  0.5965809
  2     0.26789474  0.7600855  0.8821154  0.45933333  0.5631144
  2     0.31947368  0.7600855  0.8579487  0.50544444  0.5283882
  2     0.37105263  0.7600855  0.8368590  0.53333333  0.5107172
  2     0.42263158  0.7600855  0.8126923  0.56733333  0.4903012
  2     0.47421053  0.7600855  0.7892949  0.61133333  0.4651521
  2     0.52578947  0.7600855  0.7675641  0.65244444  0.4419626
  2     0.57736842  0.7600855  0.7322436  0.67644444  0.4461387
  2     0.62894737  0.7600855  0.6908333  0.70011111  0.4561027
  2     0.68052632  0.7600855  0.6484615  0.73133333  0.4625131
  2     0.73210526  0.7600855  0.6135256  0.76022222  0.4753804
  2     0.78368421  0.7600855  0.5453205  0.79388889  0.5173430
  2     0.83526316  0.7600855  0.4725641  0.82844444  0.5687038
  2     0.88684211  0.7600855  0.3977564  0.86511111  0.6294209
  2     0.93842105  0.7600855  0.2947436  0.91477778  0.7171743
  2     0.99000000  0.7600855  0.1360897  0.96166667  0.8668812
  3     0.01000000  0.7481296  0.9891026  0.10933333  0.8911530
  3     0.06157895  0.7481296  0.9642949  0.25077778  0.7519938
  3     0.11315789  0.7481296  0.9386538  0.30544444  0.7015757
  3     0.16473684  0.7481296  0.9150641  0.36266667  0.6497499
  3     0.21631579  0.7481296  0.8954487  0.41044444  0.6071173
  3     0.26789474  0.7481296  0.8719231  0.45477778  0.5710472
  3     0.31947368  0.7481296  0.8491026  0.49033333  0.5461312
  3     0.37105263  0.7481296  0.8205769  0.54500000  0.5063398
  3     0.42263158  0.7481296  0.7892308  0.58433333  0.4858217
  3     0.47421053  0.7481296  0.7655128  0.61866667  0.4695332
  3     0.52578947  0.7481296  0.7397436  0.64888889  0.4562373
  3     0.57736842  0.7481296  0.7058333  0.67555556  0.4586726
  3     0.62894737  0.7481296  0.6644872  0.70244444  0.4687111
  3     0.68052632  0.7481296  0.6364103  0.73311111  0.4692925
  3     0.73210526  0.7481296  0.5926923  0.76088889  0.4902406
  3     0.78368421  0.7481296  0.5407051  0.78800000  0.5229926
  3     0.83526316  0.7481296  0.4879487  0.81033333  0.5614509
  3     0.88684211  0.7481296  0.4274359  0.85322222  0.6037198
  3     0.93842105  0.7481296  0.3331410  0.89122222  0.6843696
  3     0.99000000  0.7481296  0.1719872  0.95566667  0.8326332
  4     0.01000000  0.7428618  0.9835897  0.14011111  0.8609230
  4     0.06157895  0.7428618  0.9541667  0.26111111  0.7432637
  4     0.11315789  0.7428618  0.9330128  0.31933333  0.6885749
  4     0.16473684  0.7428618  0.9148718  0.37611111  0.6350578
  4     0.21631579  0.7428618  0.8928846  0.42111111  0.5965600
  4     0.26789474  0.7428618  0.8735256  0.45511111  0.5692719
  4     0.31947368  0.7428618  0.8464103  0.49788889  0.5386422
  4     0.37105263  0.7428618  0.8111538  0.54000000  0.5135689
  4     0.42263158  0.7428618  0.7853205  0.57044444  0.4968814
  4     0.47421053  0.7428618  0.7596154  0.60488889  0.4822307
  4     0.52578947  0.7428618  0.7265385  0.62755556  0.4852911
  4     0.57736842  0.7428618  0.6914103  0.66855556  0.4754445
  4     0.62894737  0.7428618  0.6610256  0.69955556  0.4761026
  4     0.68052632  0.7428618  0.6313462  0.71800000  0.4862311
  4     0.73210526  0.7428618  0.5883974  0.75333333  0.5000742
  4     0.78368421  0.7428618  0.5415385  0.78322222  0.5257934
  4     0.83526316  0.7428618  0.4844872  0.80511111  0.5677375
  4     0.88684211  0.7428618  0.4110256  0.84366667  0.6216318
  4     0.93842105  0.7428618  0.3383974  0.87433333  0.6819828
  4     0.99000000  0.7428618  0.1966026  0.94655556  0.8085226

DPM was used to select the optimal model using the smallest value.
The final values used for the model were mtry = 1 and threshold = 0.6805263.
