Random Forest 

225 samples
  7 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (5), centered (5), scaled (5), remove (2) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using up-sampling prior to pre-processing

Resampling results across tuning parameters:

  mtry  threshold   ROC        Sens        Spec         DPM      
  1     0.01000000  0.7782828  1.00000000  0.002111111  0.9978889
  1     0.06157895  0.7782828  0.98980769  0.046555556  0.9539282
  1     0.11315789  0.7782828  0.97121795  0.167444444  0.8345115
  1     0.16473684  0.7782828  0.95955128  0.259222222  0.7444689
  1     0.21631579  0.7782828  0.94237179  0.350222222  0.6562528
  1     0.26789474  0.7782828  0.92525641  0.419333333  0.5909925
  1     0.31947368  0.7782828  0.90641026  0.471888889  0.5438968
  1     0.37105263  0.7782828  0.88532051  0.519222222  0.5041257
  1     0.42263158  0.7782828  0.85775641  0.561444444  0.4737251
  1     0.47421053  0.7782828  0.82570513  0.612222222  0.4444131
  1     0.52578947  0.7782828  0.79826923  0.655888889  0.4222615
  1     0.57736842  0.7782828  0.75910256  0.686555556  0.4199627
  1     0.62894737  0.7782828  0.72416667  0.715444444  0.4219271
  1     0.68052632  0.7782828  0.68051282  0.747555556  0.4297392
  1     0.73210526  0.7782828  0.62339744  0.784888889  0.4547710
  1     0.78368421  0.7782828  0.52955128  0.813777778  0.5214471
  1     0.83526316  0.7782828  0.44429487  0.856222222  0.5869004
  1     0.88684211  0.7782828  0.35064103  0.890000000  0.6665818
  1     0.93842105  0.7782828  0.19910256  0.938333333  0.8073910
  1     0.99000000  0.7782828  0.01326923  0.998888889  0.9867923
  2     0.01000000  0.7544145  0.99685897  0.008444444  0.9916832
  2     0.06157895  0.7544145  0.98442308  0.103444444  0.8975413
  2     0.11315789  0.7544145  0.96666667  0.217000000  0.7856997
  2     0.16473684  0.7544145  0.93839744  0.296444444  0.7103772
  2     0.21631579  0.7544145  0.91653846  0.376444444  0.6342286
  2     0.26789474  0.7544145  0.89397436  0.437666667  0.5810093
  2     0.31947368  0.7544145  0.86506410  0.496333333  0.5340861
  2     0.37105263  0.7544145  0.83365385  0.541777778  0.5042057
  2     0.42263158  0.7544145  0.79929487  0.577777778  0.4876339
  2     0.47421053  0.7544145  0.76173077  0.614222222  0.4741436
  2     0.52578947  0.7544145  0.71929487  0.657222222  0.4672025
  2     0.57736842  0.7544145  0.67429487  0.692222222  0.4734002
  2     0.62894737  0.7544145  0.62602564  0.714555556  0.4979763
  2     0.68052632  0.7544145  0.57608974  0.752444444  0.5121663
  2     0.73210526  0.7544145  0.52294872  0.790222222  0.5398243
  2     0.78368421  0.7544145  0.45717949  0.827333333  0.5842741
  2     0.83526316  0.7544145  0.37685897  0.873888889  0.6466213
  2     0.88684211  0.7544145  0.29955128  0.910000000  0.7124490
  2     0.93842105  0.7544145  0.19365385  0.958888889  0.8101479
  2     0.99000000  0.7544145  0.02012821  0.997888889  0.9799832
  3     0.01000000  0.7497308  0.99378205  0.012444444  0.9878744
  3     0.06157895  0.7497308  0.97980769  0.107555556  0.8937714
  3     0.11315789  0.7497308  0.96179487  0.198666667  0.8047230
  3     0.16473684  0.7497308  0.94147436  0.292222222  0.7144464
  3     0.21631579  0.7497308  0.91801282  0.368444444  0.6446552
  3     0.26789474  0.7497308  0.89525641  0.432222222  0.5865922
  3     0.31947368  0.7497308  0.86487179  0.500333333  0.5310083
  3     0.37105263  0.7497308  0.83051282  0.537888889  0.5091689
  3     0.42263158  0.7497308  0.79551282  0.566777778  0.4988169
  3     0.47421053  0.7497308  0.75711538  0.604888889  0.4832496
  3     0.52578947  0.7497308  0.71506410  0.641888889  0.4799143
  3     0.57736842  0.7497308  0.66891026  0.682222222  0.4829544
  3     0.62894737  0.7497308  0.62455128  0.726444444  0.4856676
  3     0.68052632  0.7497308  0.57294872  0.760444444  0.5085553
  3     0.73210526  0.7497308  0.51826923  0.797666667  0.5404973
  3     0.78368421  0.7497308  0.45698718  0.828888889  0.5840757
  3     0.83526316  0.7497308  0.39608974  0.870333333  0.6291014
  3     0.88684211  0.7497308  0.31423077  0.906555556  0.6998345
  3     0.93842105  0.7497308  0.19852564  0.949777778  0.8058853
  3     0.99000000  0.7497308  0.02974359  0.993666667  0.9708789
  4     0.01000000  0.7473679  0.99301282  0.012666667  0.9876182
  4     0.06157895  0.7473679  0.97903846  0.115666667  0.8856141
  4     0.11315789  0.7473679  0.95897436  0.203333333  0.8000459
  4     0.16473684  0.7473679  0.93935897  0.299111111  0.7078038
  4     0.21631579  0.7473679  0.91294872  0.367222222  0.6454244
  4     0.26789474  0.7473679  0.89006410  0.438111111  0.5815842
