Random Forest 

225 samples
  7 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (7), centered (7), scaled (7) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using down-sampling prior to pre-processing

Resampling results across tuning parameters:

  mtry  threshold   ROC        Sens         Spec         DPM      
  1     0.01000000  0.7882692  0.996923077  0.004222222  0.9959545
  1     0.06157895  0.7882692  0.986025641  0.069222222  0.9316956
  1     0.11315789  0.7882692  0.976666667  0.185888889  0.8160270
  1     0.16473684  0.7882692  0.959487179  0.282222222  0.7215997
  1     0.21631579  0.7882692  0.940897436  0.350777778  0.6555836
  1     0.26789474  0.7882692  0.918333333  0.437000000  0.5743798
  1     0.31947368  0.7882692  0.898717949  0.503888889  0.5143205
  1     0.37105263  0.7882692  0.873782051  0.548222222  0.4806692
  1     0.42263158  0.7882692  0.845576923  0.591888889  0.4509200
  1     0.47421053  0.7882692  0.818910256  0.627888889  0.4327890
  1     0.52578947  0.7882692  0.790897436  0.668111111  0.4167983
  1     0.57736842  0.7882692  0.756923077  0.704666667  0.4100810
  1     0.62894737  0.7882692  0.697628205  0.744000000  0.4254088
  1     0.68052632  0.7882692  0.622564103  0.788222222  0.4586912
  1     0.73210526  0.7882692  0.531217949  0.832666667  0.5163686
  1     0.78368421  0.7882692  0.439551282  0.872777778  0.5870235
  1     0.83526316  0.7882692  0.320961538  0.901777778  0.6946841
  1     0.88684211  0.7882692  0.225641026  0.931444444  0.7826116
  1     0.93842105  0.7882692  0.125705128  0.980111111  0.8759953
  1     0.99000000  0.7882692  0.004679487  1.000000000  0.9953205
  2     0.01000000  0.7681521  0.996923077  0.003111111  0.9970071
  2     0.06157895  0.7681521  0.982051282  0.097444444  0.9036714
  2     0.11315789  0.7681521  0.975128205  0.212555556  0.7893362
  2     0.16473684  0.7681521  0.954679487  0.301333333  0.7029337
  2     0.21631579  0.7681521  0.925961538  0.397111111  0.6128753
  2     0.26789474  0.7681521  0.895448718  0.459333333  0.5603823
  2     0.31947368  0.7681521  0.869615385  0.508888889  0.5211783
  2     0.37105263  0.7681521  0.843782051  0.560555556  0.4817775
  2     0.42263158  0.7681521  0.807500000  0.612333333  0.4520177
  2     0.47421053  0.7681521  0.763525641  0.653555556  0.4409085
  2     0.52578947  0.7681521  0.709423077  0.690666667  0.4493037
  2     0.57736842  0.7681521  0.645320513  0.730000000  0.4699514
  2     0.62894737  0.7681521  0.579807692  0.772555556  0.5022130
  2     0.68052632  0.7681521  0.526730769  0.810000000  0.5312780
  2     0.73210526  0.7681521  0.452435897  0.843333333  0.5838822
  2     0.78368421  0.7681521  0.372179487  0.885444444  0.6470833
  2     0.83526316  0.7681521  0.284807692  0.917444444  0.7262641
  2     0.88684211  0.7681521  0.211923077  0.947888889  0.7941072
  2     0.93842105  0.7681521  0.122115385  0.981666667  0.8794570
  2     0.99000000  0.7681521  0.007884615  1.000000000  0.9921154
  3     0.01000000  0.7677325  0.994551282  0.007444444  0.9927802
  3     0.06157895  0.7677325  0.983653846  0.122333333  0.8786123
  3     0.11315789  0.7677325  0.968141026  0.235000000  0.7678453
  3     0.16473684  0.7677325  0.947307692  0.322888889  0.6823642
  3     0.21631579  0.7677325  0.920641026  0.384888889  0.6250461
  3     0.26789474  0.7677325  0.891025641  0.450666667  0.5683785
  3     0.31947368  0.7677325  0.861282051  0.508444444  0.5223429
  3     0.37105263  0.7677325  0.821410256  0.566666667  0.4839101
  3     0.42263158  0.7677325  0.776858974  0.615333333  0.4646451
  3     0.47421053  0.7677325  0.736858974  0.663000000  0.4515281
  3     0.52578947  0.7677325  0.682179487  0.697666667  0.4657300
  3     0.57736842  0.7677325  0.634423077  0.730222222  0.4787174
  3     0.62894737  0.7677325  0.579743590  0.775444444  0.4977299
  3     0.68052632  0.7677325  0.520384615  0.812666667  0.5332344
  3     0.73210526  0.7677325  0.465705128  0.852111111  0.5669028
  3     0.78368421  0.7677325  0.395448718  0.880000000  0.6252231
  3     0.83526316  0.7677325  0.312820513  0.909888889  0.7004849
  3     0.88684211  0.7677325  0.216666667  0.954777778  0.7880150
  3     0.93842105  0.7677325  0.131474359  0.987777778  0.8693499
  3     0.99000000  0.7677325  0.014743590  0.998888889  0.9853179
  4     0.01000000  0.7634544  0.993717949  0.012222222  0.9880900
  4     0.06157895  0.7634544  0.978205128  0.132555556  0.8690777
  4     0.11315789  0.7634544  0.961858974  0.238666667  0.7647347
  4     0.16473684  0.7634544  0.938333333  0.333000000  0.6740155
  4     0.21631579  0.7634544  0.908846154  0.404666667  0.6098849
  4     0.26789474  0.7634544  0.886987179  0.455777778  0.5657194
  4     0.31947368  0.7634544  0.848525641  0.522222222  0.5159707
  4     0.37105263  0.7634544  0.802371795  0.581777778  0.4837188
