Random Forest 

225 samples
  7 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (7), centered (7), scaled (7) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Resampling results across tuning parameters:

  mtry  threshold   ROC        Sens        Spec         DPM      
  1     0.01000000  0.7865221  1.00000000  0.001111111  0.9988889
  1     0.06157895  0.7865221  0.99064103  0.033777778  0.9666680
  1     0.11315789  0.7865221  0.98596154  0.131222222  0.8697590
  1     0.16473684  0.7865221  0.96814103  0.230000000  0.7725510
  1     0.21631579  0.7865221  0.94250000  0.300333333  0.7055114
  1     0.26789474  0.7865221  0.93070513  0.370000000  0.6381387
  1     0.31947368  0.7865221  0.92294872  0.448888889  0.5623708
  1     0.37105263  0.7865221  0.90166667  0.506777778  0.5121897
  1     0.42263158  0.7865221  0.87365385  0.541888889  0.4870504
  1     0.47421053  0.7865221  0.84788462  0.590555556  0.4522808
  1     0.52578947  0.7865221  0.82698718  0.615333333  0.4380298
  1     0.57736842  0.7865221  0.79025641  0.652666667  0.4300008
  1     0.62894737  0.7865221  0.74884615  0.701333333  0.4200151
  1     0.68052632  0.7865221  0.69250000  0.738333333  0.4324871
  1     0.73210526  0.7865221  0.63416667  0.783888889  0.4482817
  1     0.78368421  0.7865221  0.52608974  0.835444444  0.5180734
  1     0.83526316  0.7865221  0.40987179  0.880111111  0.6132191
  1     0.88684211  0.7865221  0.28782051  0.910888889  0.7252630
  1     0.93842105  0.7865221  0.20653846  0.955777778  0.7984506
  1     0.99000000  0.7865221  0.01717949  0.996777778  0.9831359
  2     0.01000000  0.7746346  0.99923077  0.001111111  0.9989184
  2     0.06157895  0.7746346  0.98987179  0.053666667  0.9468422
  2     0.11315789  0.7746346  0.98519231  0.154666667  0.8464539
  2     0.16473684  0.7746346  0.97198718  0.263000000  0.7392768
  2     0.21631579  0.7746346  0.93935897  0.336555556  0.6702344
  2     0.26789474  0.7746346  0.92608974  0.387888889  0.6215313
  2     0.31947368  0.7746346  0.90403846  0.456666667  0.5595731
  2     0.37105263  0.7746346  0.87897436  0.510888889  0.5139182
  2     0.42263158  0.7746346  0.84467949  0.559555556  0.4816774
  2     0.47421053  0.7746346  0.80807692  0.615444444  0.4487758
  2     0.52578947  0.7746346  0.77628205  0.651333333  0.4376177
  2     0.57736842  0.7746346  0.72153846  0.673111111  0.4548129
  2     0.62894737  0.7746346  0.65493590  0.716555556  0.4728748
  2     0.68052632  0.7746346  0.60705128  0.757000000  0.4844966
  2     0.73210526  0.7746346  0.54474359  0.806888889  0.5133174
  2     0.78368421  0.7746346  0.46775641  0.853222222  0.5655618
  2     0.83526316  0.7746346  0.36884615  0.889333333  0.6505799
  2     0.88684211  0.7746346  0.27371795  0.923222222  0.7355828
  2     0.93842105  0.7746346  0.17128205  0.966111111  0.8318702
  2     0.99000000  0.7746346  0.02217949  0.997777778  0.9781117
  3     0.01000000  0.7719701  0.99846154  0.001111111  0.9989480
  3     0.06157895  0.7719701  0.98987179  0.071111111  0.9294110
  3     0.11315789  0.7719701  0.98365385  0.173222222  0.8277457
  3     0.16473684  0.7719701  0.96807692  0.265444444  0.7372439
  3     0.21631579  0.7719701  0.94000000  0.339333333  0.6673276
  3     0.26789474  0.7719701  0.91647436  0.383555556  0.6280823
  3     0.31947368  0.7719701  0.89935897  0.450888889  0.5658507
  3     0.37105263  0.7719701  0.86192308  0.510777778  0.5196774
  3     0.42263158  0.7719701  0.82685897  0.570555556  0.4809224
  3     0.47421053  0.7719701  0.78467949  0.624444444  0.4531411
  3     0.52578947  0.7719701  0.74006410  0.647222222  0.4591325
  3     0.57736842  0.7719701  0.69025641  0.678555556  0.4698046
