Random Forest 

225 samples
  7 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (7), centered (7), scaled (7) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using SMOTE prior to pre-processing

Resampling results across tuning parameters:

  mtry  threshold   ROC        Sens       Spec        DPM      
  1     0.01000000  0.7919060  0.9975641  0.01566667  0.9844365
  1     0.06157895  0.7919060  0.9866667  0.17133333  0.8296694
  1     0.11315789  0.7919060  0.9735897  0.24244444  0.7596751
  1     0.16473684  0.7919060  0.9556410  0.30655556  0.6977047
  1     0.21631579  0.7919060  0.9305769  0.35522222  0.6529349
  1     0.26789474  0.7919060  0.9103205  0.41811111  0.5954909
  1     0.31947368  0.7919060  0.8892949  0.46788889  0.5513166
  1     0.37105263  0.7919060  0.8766026  0.51888889  0.5055268
  1     0.42263158  0.7919060  0.8555128  0.57800000  0.4592853
  1     0.47421053  0.7919060  0.8375000  0.61388889  0.4351049
  1     0.52578947  0.7919060  0.8188462  0.63622222  0.4235041
  1     0.57736842  0.7919060  0.8016667  0.65666667  0.4171455
  1     0.62894737  0.7919060  0.7789103  0.68622222  0.4057210
  1     0.68052632  0.7919060  0.7546795  0.70922222  0.4060947
  1     0.73210526  0.7919060  0.7241026  0.75433333  0.3991291
  1     0.78368421  0.7919060  0.6678205  0.78100000  0.4260102
  1     0.83526316  0.7919060  0.5789103  0.83177778  0.4718845
  1     0.88684211  0.7919060  0.4501282  0.87077778  0.5769783
  1     0.93842105  0.7919060  0.2873077  0.91944444  0.7232651
  1     0.99000000  0.7919060  0.1450000  0.97333333  0.8572909
  2     0.01000000  0.7739968  0.9945513  0.04955556  0.9506764
  2     0.06157895  0.7739968  0.9844872  0.19866667  0.8023184
  2     0.11315789  0.7739968  0.9680769  0.26411111  0.7387418
  2     0.16473684  0.7739968  0.9416667  0.32655556  0.6798639
  2     0.21631579  0.7739968  0.9080128  0.40300000  0.6108078
  2     0.26789474  0.7739968  0.8869872  0.45811111  0.5640637
  2     0.31947368  0.7739968  0.8586538  0.50788889  0.5252683
  2     0.37105263  0.7739968  0.8353846  0.55522222  0.4919055
  2     0.42263158  0.7739968  0.8142949  0.59811111  0.4636552
  2     0.47421053  0.7739968  0.7980128  0.63411111  0.4402702
  2     0.52578947  0.7739968  0.7785256  0.66288889  0.4259678
  2     0.57736842  0.7739968  0.7590385  0.68366667  0.4207580
  2     0.62894737  0.7739968  0.7268590  0.70711111  0.4258047
  2     0.68052632  0.7739968  0.6880128  0.72777778  0.4391112
  2     0.73210526  0.7739968  0.6273718  0.76155556  0.4640862
  2     0.78368421  0.7739968  0.5521795  0.79944444  0.5124469
