Random Forest 

225 samples
  7 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (7), centered (7), scaled (7) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using up-sampling prior to pre-processing

Resampling results across tuning parameters:

  mtry  threshold   ROC        Sens        Spec         DPM      
  1     0.01000000  0.7849405  1.00000000  0.001111111  0.9988889
  1     0.06157895  0.7849405  0.98826923  0.056888889  0.9439628
  1     0.11315789  0.7849405  0.98198718  0.161444444  0.8397980
  1     0.16473684  0.7849405  0.95724359  0.246888889  0.7565505
  1     0.21631579  0.7849405  0.93769231  0.320888889  0.6854038
  1     0.26789474  0.7849405  0.92839744  0.392666667  0.6155830
  1     0.31947368  0.7849405  0.90967949  0.473111111  0.5419823
  1     0.37105263  0.7849405  0.88935897  0.510000000  0.5124757
  1     0.42263158  0.7849405  0.85487179  0.560555556  0.4754240
  1     0.47421053  0.7849405  0.83628205  0.607222222  0.4411908
  1     0.52578947  0.7849405  0.80891026  0.640222222  0.4254708
  1     0.57736842  0.7849405  0.77038462  0.681888889  0.4182595
  1     0.62894737  0.7849405  0.72596154  0.722000000  0.4186449
  1     0.68052632  0.7849405  0.66583333  0.755111111  0.4425852
  1     0.73210526  0.7849405  0.59076923  0.808111111  0.4708830
  1     0.78368421  0.7849405  0.48211538  0.850000000  0.5546902
  1     0.83526316  0.7849405  0.38057692  0.888333333  0.6390048
  1     0.88684211  0.7849405  0.27032051  0.921444444  0.7394463
  1     0.93842105  0.7849405  0.17737179  0.964111111  0.8258465
  1     0.99000000  0.7849405  0.01564103  1.000000000  0.9843590
  2     0.01000000  0.7701421  0.99839744  0.003222222  0.9968463
  2     0.06157895  0.7701421  0.98910256  0.073777778  0.9268426
  2     0.11315789  0.7701421  0.97897436  0.186888889  0.8146249
  2     0.16473684  0.7701421  0.95179487  0.283444444  0.7213062
  2     0.21631579  0.7701421  0.92833333  0.357222222  0.6523323
  2     0.26789474  0.7701421  0.90865385  0.416000000  0.5980236
  2     0.31947368  0.7701421  0.88307692  0.478888889  0.5433796
  2     0.37105263  0.7701421  0.85634615  0.522888889  0.5113448
  2     0.42263158  0.7701421  0.82294872  0.584666667  0.4677530
  2     0.47421053  0.7701421  0.78551282  0.633777778  0.4441533
  2     0.52578947  0.7701421  0.74410256  0.657555556  0.4506680
  2     0.57736842  0.7701421  0.68858974  0.684555556  0.4692655
  2     0.62894737  0.7701421  0.62512821  0.740000000  0.4819754
  2     0.68052632  0.7701421  0.57737179  0.779111111  0.4981666
  2     0.73210526  0.7701421  0.51711538  0.822555556  0.5306168
  2     0.78368421  0.7701421  0.43737179  0.866888889  0.5904975
  2     0.83526316  0.7701421  0.34615385  0.897666667  0.6704527
  2     0.88684211  0.7701421  0.25884615  0.927444444  0.7500024
  2     0.93842105  0.7701421  0.17102564  0.971333333  0.8320549
  2     0.99000000  0.7701421  0.01814103  1.000000000  0.9818590
  3     0.01000000  0.7667318  0.99685897  0.003222222  0.9969054
  3     0.06157895  0.7667318  0.98756410  0.089333333  0.9113060
  3     0.11315789  0.7667318  0.97660256  0.190333333  0.8114417
  3     0.16473684  0.7667318  0.95243590  0.285888889  0.7187687
  3     0.21631579  0.7667318  0.92987179  0.357000000  0.6516903
  3     0.26789474  0.7667318  0.90461538  0.409777778  0.6056244
  3     0.31947368  0.7667318  0.87974359  0.466111111  0.5584537
  3     0.37105263  0.7667318  0.84230769  0.530111111  0.5113010
  3     0.42263158  0.7667318  0.81102564  0.586111111  0.4752376
  3     0.47421053  0.7667318  0.76102564  0.635000000  0.4588856
  3     0.52578947  0.7667318  0.71448718  0.656666667  0.4693251
  3     0.57736842  0.7667318  0.67480769  0.695000000  0.4689188
  3     0.62894737  0.7667318  0.62365385  0.745666667  0.4778851
  3     0.68052632  0.7667318  0.58000000  0.781777778  0.4951156
  3     0.73210526  0.7667318  0.51557692  0.814111111  0.5362565
  3     0.78368421  0.7667318  0.45724359  0.860666667  0.5740163
  3     0.83526316  0.7667318  0.36410256  0.897555556  0.6527345
  3     0.88684211  0.7667318  0.27865385  0.924111111  0.7314331
  3     0.93842105  0.7667318  0.17115385  0.969111111  0.8315175
  3     0.99000000  0.7667318  0.02346154  0.996888889  0.9768279
  4     0.01000000  0.7653269  0.99525641  0.007444444  0.9927474
  4     0.06157895  0.7653269  0.98756410  0.093222222  0.9074083
  4     0.11315789  0.7653269  0.97192308  0.196333333  0.8057716
  4     0.16473684  0.7653269  0.94794872  0.290111111  0.7148094
  4     0.21631579  0.7653269  0.92935897  0.354777778  0.6537619
  4     0.26789474  0.7653269  0.90096154  0.418777778  0.5964593
  4     0.31947368  0.7653269  0.86339744  0.478111111  0.5505338
  4     0.37105263  0.7653269  0.83211538  0.528444444  0.5168010
  4     0.42263158  0.7653269  0.78852564  0.579222222  0.4898504
  4     0.47421053  0.7653269  0.75506410  0.618222222  0.4745465
  4     0.52578947  0.7653269  0.71525641  0.654555556  0.4711468
  4     0.57736842  0.7653269  0.66974359  0.694888889  0.4737411
  4     0.62894737  0.7653269  0.61910256  0.736888889  0.4846288
  4     0.68052632  0.7653269  0.56897436  0.778666667  0.5064658
  4     0.73210526  0.7653269  0.53057692  0.814666667  0.5223966
  4     0.78368421  0.7653269  0.47621795  0.856555556  0.5563660
  4     0.83526316  0.7653269  0.39717949  0.884888889  0.6243142
  4     0.88684211  0.7653269  0.31070513  0.923777778  0.6989896
  4     0.93842105  0.7653269  0.19333333  0.970222222  0.8099465
  4     0.99000000  0.7653269  0.03673077  0.995888889  0.9636060
  5     0.01000000  0.7629060  0.99217949  0.007333333  0.9930352
  5     0.06157895  0.7629060  0.98596154  0.101666667  0.8990519
  5     0.11315789  0.7629060  0.96891026  0.199111111  0.8031342
  5     0.16473684  0.7629060  0.94474359  0.289111111  0.7158109
  5     0.21631579  0.7629060  0.91743590  0.362555556  0.6484998
  5     0.26789474  0.7629060  0.89141026  0.420777778  0.5975819
  5     0.31947368  0.7629060  0.86192308  0.481111111  0.5492365
  5     0.37105263  0.7629060  0.82205128  0.533000000  0.5145910
  5     0.42263158  0.7629060  0.77910256  0.574444444  0.4971168
  5     0.47421053  0.7629060  0.74557692  0.626888889  0.4716380
  5     0.52578947  0.7629060  0.69641026  0.664000000  0.4715307
  5     0.57736842  0.7629060  0.66262821  0.698111111  0.4732663
  5     0.62894737  0.7629060  0.61038462  0.739555556  0.4925987
  5     0.68052632  0.7629060  0.57185897  0.778666667  0.5033985
  5     0.73210526  0.7629060  0.52506410  0.826222222  0.5223288
  5     0.78368421  0.7629060  0.47916667  0.861222222  0.5528762
  5     0.83526316  0.7629060  0.40506410  0.888111111  0.6155606
  5     0.88684211  0.7629060  0.32442308  0.922888889  0.6864480
  5     0.93842105  0.7629060  0.21641026  0.964111111  0.7874454
  5     0.99000000  0.7629060  0.03128205  0.994888889  0.9691095
  6     0.01000000  0.7567518  0.99301282  0.013666667  0.9866713
  6     0.06157895  0.7567518  0.98519231  0.108555556  0.8922453
  6     0.11315789  0.7567518  0.96500000  0.193222222  0.8092464
  6     0.16473684  0.7567518  0.94083333  0.290333333  0.7151026
  6     0.21631579  0.7567518  0.91807692  0.350444444  0.6599930
  6     0.26789474  0.7567518  0.88762821  0.407333333  0.6120415
  6     0.31947368  0.7567518  0.84858974  0.475222222  0.5585867
  6     0.37105263  0.7567518  0.80711538  0.532333333  0.5216092
  6     0.42263158  0.7567518  0.76814103  0.592111111  0.4875123
  6     0.47421053  0.7567518  0.73314103  0.630111111  0.4773344
  6     0.52578947  0.7567518  0.68948718  0.664444444  0.4765252
  6     0.57736842  0.7567518  0.64942308  0.706555556  0.4800555
  6     0.62894737  0.7567518  0.60076923  0.742222222  0.4979968
  6     0.68052632  0.7567518  0.56647436  0.787888889  0.5042685
  6     0.73210526  0.7567518  0.52737179  0.828444444  0.5200334
  6     0.78368421  0.7567518  0.47589744  0.856555556  0.5577719
  6     0.83526316  0.7567518  0.40935897  0.885111111  0.6114427
  6     0.88684211  0.7567518  0.33506410  0.919222222  0.6765999
  6     0.93842105  0.7567518  0.23230769  0.963222222  0.7712597
  6     0.99000000  0.7567518  0.04378205  0.994666667  0.9567657

DPM was used to select the optimal model using the smallest value.
The final values used for the model were mtry = 1 and threshold = 0.5773684.
