Random Forest 

225 samples
 13 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (9), centered (9), scaled (9), remove (4) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using down-sampling prior to pre-processing

Resampling results across tuning parameters:

  mtry  threshold   ROC        Sens          Spec         DPM      
  1     0.01000000  0.8018885  1.0000000000  0.000000000  1.0000000
  1     0.06157895  0.8018885  0.9969230769  0.009444444  0.9906770
  1     0.11315789  0.8018885  0.9815384615  0.065111111  0.9358860
  1     0.16473684  0.8018885  0.9657051282  0.199444444  0.8029012
  1     0.21631579  0.8018885  0.9539743590  0.301111111  0.7032291
  1     0.26789474  0.8018885  0.9346153846  0.385333333  0.6226760
  1     0.31947368  0.8018885  0.9174358974  0.470111111  0.5423272
  1     0.37105263  0.8018885  0.8945512821  0.536111111  0.4845756
  1     0.42263158  0.8018885  0.8648076923  0.601777778  0.4360605
  1     0.47421053  0.8018885  0.8191025641  0.650333333  0.4140171
  1     0.52578947  0.8018885  0.7762179487  0.700888889  0.3968497
  1     0.57736842  0.8018885  0.7058333333  0.735111111  0.4189164
  1     0.62894737  0.8018885  0.6267307692  0.782777778  0.4575853
  1     0.68052632  0.8018885  0.5434615385  0.833444444  0.5057018
  1     0.73210526  0.8018885  0.4335897436  0.900444444  0.5873273
  1     0.78368421  0.8018885  0.3039743590  0.940555556  0.7045449
  1     0.83526316  0.8018885  0.1733974359  0.968000000  0.8294838
  1     0.88684211  0.8018885  0.0785897436  0.981333333  0.9227256
  1     0.93842105  0.8018885  0.0200641026  0.992777778  0.9803298
  1     0.99000000  0.8018885  0.0000000000  1.000000000  1.0000000
  2     0.01000000  0.7935431  1.0000000000  0.000000000  1.0000000
  2     0.06157895  0.7935431  0.9882692308  0.025777778  0.9748167
  2     0.11315789  0.7935431  0.9719230769  0.129444444  0.8725378
  2     0.16473684  0.7935431  0.9507051282  0.246777778  0.7576300
  2     0.21631579  0.7935431  0.9374358974  0.355666667  0.6513725
