Random Forest 

225 samples
 13 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (9), centered (9), scaled (9), remove (4) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Resampling results across tuning parameters:

  mtry  threshold   ROC        Sens          Spec         DPM      
  1     0.01000000  0.8021229  1.0000000000  0.000000000  1.0000000
  1     0.06157895  0.8021229  1.0000000000  0.001111111  0.9988889
  1     0.11315789  0.8021229  0.9914743590  0.018888889  0.9814521
  1     0.16473684  0.8021229  0.9727564103  0.104555556  0.8968806
  1     0.21631579  0.8021229  0.9642307692  0.229777778  0.7730779
  1     0.26789474  0.8021229  0.9476923077  0.314222222  0.6908519
  1     0.31947368  0.8021229  0.9304487179  0.415888889  0.5927275
  1     0.37105263  0.8021229  0.9157051282  0.495888889  0.5170813
  1     0.42263158  0.8021229  0.8994230769  0.535000000  0.4842091
  1     0.47421053  0.8021229  0.8638461538  0.586333333  0.4493182
  1     0.52578947  0.8021229  0.8302564103  0.640000000  0.4153507
  1     0.57736842  0.8021229  0.7809615385  0.693666667  0.3999036
  1     0.62894737  0.8021229  0.7248717949  0.739222222  0.4080872
  1     0.68052632  0.8021229  0.6482051282  0.790888889  0.4362235
  1     0.73210526  0.8021229  0.5426923077  0.839333333  0.5050804
  1     0.78368421  0.8021229  0.4240384615  0.898555556  0.5980426
  1     0.83526316  0.8021229  0.2833333333  0.954888889  0.7219251
  1     0.88684211  0.8021229  0.1444871795  0.977222222  0.8571367
  1     0.93842105  0.8021229  0.0460897436  0.985666667  0.9548027
  1     0.99000000  0.8021229  0.0007692308  1.000000000  0.9992308
  2     0.01000000  0.7994637  1.0000000000  0.000000000  1.0000000
  2     0.06157895  0.7994637  0.9961538462  0.002111111  0.9980399
  2     0.11315789  0.7994637  0.9821153846  0.075555556  0.9252385
  2     0.16473684  0.7994637  0.9673076923  0.190777778  0.8113971
  2     0.21631579  0.7994637  0.9500000000  0.297222222  0.7071906
  2     0.26789474  0.7994637  0.9322435897  0.368000000  0.6395781
  2     0.31947368  0.7994637  0.9141025641  0.461555556  0.5507793
  2     0.37105263  0.7994637  0.8882051282  0.532222222  0.4898764
  2     0.42263158  0.7994637  0.8647435897  0.585000000  0.4492335
  2     0.47421053  0.7994637  0.8419871795  0.626666667  0.4226381
  2     0.52578947  0.7994637  0.8058974359  0.657555556  0.4142790
  2     0.57736842  0.7994637  0.7623717949  0.703333333  0.4063807
  2     0.62894737  0.7994637  0.7050641026  0.756222222  0.4121968
  2     0.68052632  0.7994637  0.6292948718  0.799333333  0.4489205
  2     0.73210526  0.7994637  0.5468589744  0.843888889  0.5014482
  2     0.78368421  0.7994637  0.4341666667  0.883333333  0.5918391
  2     0.83526316  0.7994637  0.3220512821  0.937111111  0.6865633
  2     0.88684211  0.7994637  0.1838461538  0.974333333  0.8185785
  2     0.93842105  0.7994637  0.0732692308  0.984555556  0.9278708
  2     0.99000000  0.7994637  0.0015384615  1.000000000  0.9984615
  3     0.01000000  0.7955199  1.0000000000  0.000000000  1.0000000
  3     0.06157895  0.7955199  0.9922435897  0.012333333  0.9879742
  3     0.11315789  0.7955199  0.9798076923  0.104777778  0.8962022
  3     0.16473684  0.7955199  0.9632692308  0.231333333  0.7715049
  3     0.21631579  0.7955199  0.9476923077  0.312444444  0.6924360
  3     0.26789474  0.7955199  0.9275641026  0.388333333  0.6206141
  3     0.31947368  0.7955199  0.9064743590  0.464777778  0.5495378
  3     0.37105263  0.7955199  0.8778846154  0.532444444  0.4930231
  3     0.42263158  0.7955199  0.8562179487  0.586000000  0.4518179
  3     0.47421053  0.7955199  0.8333333333  0.624555556  0.4281570
  3     0.52578947  0.7955199  0.8044230769  0.666777778  0.4086577
  3     0.57736842  0.7955199  0.7621153846  0.716888889  0.3962216
  3     0.62894737  0.7955199  0.7058974359  0.760444444  0.4094338
  3     0.68052632  0.7955199  0.6376923077  0.796333333  0.4414011
  3     0.73210526  0.7955199  0.5514102564  0.839777778  0.4986152
  3     0.78368421  0.7955199  0.4537820513  0.875777778  0.5766115
  3     0.83526316  0.7955199  0.3450641026  0.926111111  0.6668177
  3     0.88684211  0.7955199  0.2181410256  0.964111111  0.7854461
  3     0.93842105  0.7955199  0.0937179487  0.984555556  0.9073518
  3     0.99000000  0.7955199  0.0023076923  0.996777778  0.9978694
  4     0.01000000  0.7910595  1.0000000000  0.000000000  1.0000000
  4     0.06157895  0.7910595  0.9907051282  0.023888889  0.9764814
  4     0.11315789  0.7910595  0.9774358974  0.125111111  0.8763519
  4     0.16473684  0.7910595  0.9625000000  0.235444444  0.7674980
  4     0.21631579  0.7910595  0.9469230769  0.328666667  0.6766828
  4     0.26789474  0.7910595  0.9244230769  0.392555556  0.6165587
  4     0.31947368  0.7910595  0.9023717949  0.459000000  0.5559546
  4     0.37105263  0.7910595  0.8741666667  0.525222222  0.5009946
  4     0.42263158  0.7910595  0.8505769231  0.580222222  0.4585768
  4     0.47421053  0.7910595  0.8269871795  0.638777778  0.4180885
  4     0.52578947  0.7910595  0.8013461538  0.678222222  0.4018845
  4     0.57736842  0.7910595  0.7636538462  0.716888889  0.3948646
  4     0.62894737  0.7910595  0.7068589744  0.762333333  0.4043313
  4     0.68052632  0.7910595  0.6325000000  0.797444444  0.4469378
  4     0.73210526  0.7910595  0.5576923077  0.830333333  0.4955892
  4     0.78368421  0.7910595  0.4683974359  0.869444444  0.5644572
  4     0.83526316  0.7910595  0.3427564103  0.912777778  0.6717440
  4     0.88684211  0.7910595  0.2313461538  0.961000000  0.7725109
  4     0.93842105  0.7910595  0.1067948718  0.984555556  0.8944086
  4     0.99000000  0.7910595  0.0038461538  0.997888889  0.9962694
  5     0.01000000  0.7904078  1.0000000000  0.000000000  1.0000000
  5     0.06157895  0.7904078  0.9883974359  0.031000000  0.9694863
  5     0.11315789  0.7904078  0.9735897436  0.140888889  0.8608994
  5     0.16473684  0.7904078  0.9569871795  0.243333333  0.7604425
  5     0.21631579  0.7904078  0.9415384615  0.322888889  0.6825746
  5     0.26789474  0.7904078  0.9205128205  0.393666667  0.6161449
  5     0.31947368  0.7904078  0.9006410256  0.458333333  0.5568791
