Random Forest 

225 samples
 13 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (9), centered (9), scaled (9), remove (4) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using SMOTE prior to pre-processing

Resampling results across tuning parameters:

  mtry  threshold   ROC        Sens        Spec         DPM      
  1     0.01000000  0.8035737  1.00000000  0.000000000  1.0000000
  1     0.06157895  0.8035737  0.99224359  0.067111111  0.9332973
  1     0.11315789  0.8035737  0.97275641  0.189777778  0.8121230
  1     0.16473684  0.8035737  0.95455128  0.295111111  0.7091614
  1     0.21631579  0.8035737  0.93121795  0.369000000  0.6388373
  1     0.26789474  0.8035737  0.91403846  0.416666667  0.5960809
  1     0.31947368  0.8035737  0.89288462  0.473555556  0.5455491
  1     0.37105263  0.8035737  0.88019231  0.526222222  0.4984116
  1     0.42263158  0.8035737  0.85833333  0.568555556  0.4667286
  1     0.47421053  0.8035737  0.83820513  0.605666667  0.4417732
  1     0.52578947  0.8035737  0.81641026  0.635222222  0.4300230
  1     0.57736842  0.8035737  0.77480769  0.684444444  0.4106938
  1     0.62894737  0.8035737  0.72711538  0.736777778  0.4024431
  1     0.68052632  0.8035737  0.67333333  0.774777778  0.4200966
  1     0.73210526  0.8035737  0.58185897  0.833444444  0.4682018
  1     0.78368421  0.8035737  0.49750000  0.889777778  0.5279422
  1     0.83526316  0.8035737  0.40044872  0.931222222  0.6106164
  1     0.88684211  0.8035737  0.27185897  0.958888889  0.7324650
  1     0.93842105  0.8035737  0.11782051  0.978333333  0.8837156
  1     0.99000000  0.8035737  0.02333333  0.990555556  0.9773070
  2     0.01000000  0.7949056  1.00000000  0.009333333  0.9906667
  2     0.06157895  0.7949056  0.98442308  0.115777778  0.8849775
  2     0.11315789  0.7949056  0.96487179  0.230000000  0.7724982
  2     0.16473684  0.7949056  0.93743590  0.325777778  0.6807892
  2     0.21631579  0.7949056  0.90846154  0.383777778  0.6287005
  2     0.26789474  0.7949056  0.89269231  0.442555556  0.5740760
  2     0.31947368  0.7949056  0.87647436  0.499444444  0.5246087
  2     0.37105263  0.7949056  0.85685897  0.551111111  0.4838584
  2     0.42263158  0.7949056  0.83647436  0.592000000  0.4557503
  2     0.47421053  0.7949056  0.81307692  0.632333333  0.4298327
  2     0.52578947  0.7949056  0.78185897  0.670777778  0.4148013
  2     0.57736842  0.7949056  0.75064103  0.709000000  0.4081511
  2     0.62894737  0.7949056  0.70628205  0.758555556  0.4064022
  2     0.68052632  0.7949056  0.64634615  0.795888889  0.4312958
  2     0.73210526  0.7949056  0.57551282  0.830555556  0.4782478
  2     0.78368421  0.7949056  0.49500000  0.868555556  0.5372156
  2     0.83526316  0.7949056  0.40583333  0.909666667  0.6112987
  2     0.88684211  0.7949056  0.29801282  0.948555556  0.7082053
  2     0.93842105  0.7949056  0.15557692  0.979444444  0.8459860
  2     0.99000000  0.7949056  0.03275641  0.990666667  0.9677464
  3     0.01000000  0.7919156  0.99923077  0.016555556  0.9834740
  3     0.06157895  0.7919156  0.97666667  0.166555556  0.8348470
  3     0.11315789  0.7919156  0.95865385  0.259666667  0.7440100
  3     0.16473684  0.7919156  0.92884615  0.337555556  0.6703345
  3     0.21631579  0.7919156  0.90673077  0.392111111  0.6203519
  3     0.26789474  0.7919156  0.88820513  0.435444444  0.5819185
  3     0.31947368  0.7919156  0.87173077  0.493333333  0.5310690
  3     0.37105263  0.7919156  0.85365385  0.551888889  0.4844119
  3     0.42263158  0.7919156  0.83346154  0.596888889  0.4517942
  3     0.47421053  0.7919156  0.80839744  0.642555556  0.4248769
  3     0.52578947  0.7919156  0.78493590  0.676777778  0.4082658
  3     0.57736842  0.7919156  0.75371795  0.718333333  0.3975003
  3     0.62894737  0.7919156  0.72006410  0.755333333  0.3968949
  3     0.68052632  0.7919156  0.66865385  0.791888889  0.4148134
  3     0.73210526  0.7919156  0.59929487  0.818444444  0.4596016
  3     0.78368421  0.7919156  0.54121795  0.849555556  0.4999136
  3     0.83526316  0.7919156  0.43782051  0.891333333  0.5834353
  3     0.88684211  0.7919156  0.32685897  0.934000000  0.6830265
  3     0.93842105  0.7919156  0.20378205  0.970222222  0.7988942
  3     0.99000000  0.7919156  0.03442308  0.985444444  0.9664764
  4     0.01000000  0.7827407  0.99692308  0.033111111  0.9670071
  4     0.06157895  0.7827407  0.97487179  0.161222222  0.8402071
  4     0.11315789  0.7827407  0.94429487  0.264111111  0.7411068
  4     0.16473684  0.7827407  0.91769231  0.327111111  0.6827092
  4     0.21631579  0.7827407  0.89576923  0.394666667  0.6204414
  4     0.26789474  0.7827407  0.87557692  0.442333333  0.5794757
  4     0.31947368  0.7827407  0.85307692  0.494555556  0.5364218
  4     0.37105263  0.7827407  0.83891026  0.547333333  0.4921031
  4     0.42263158  0.7827407  0.81621795  0.587444444  0.4658904
  4     0.47421053  0.7827407  0.79435897  0.638888889  0.4336465
  4     0.52578947  0.7827407  0.77570513  0.680222222  0.4132274
  4     0.57736842  0.7827407  0.74448718  0.717777778  0.4064438
  4     0.62894737  0.7827407  0.71865385  0.743666667  0.4069156
  4     0.68052632  0.7827407  0.66891026  0.780111111  0.4221128
  4     0.73210526  0.7827407  0.61435897  0.810222222  0.4511543
  4     0.78368421  0.7827407  0.53673077  0.841888889  0.5073554
  4     0.83526316  0.7827407  0.45705128  0.873444444  0.5714424
  4     0.88684211  0.7827407  0.35846154  0.910555556  0.6563617
