Random Forest 

225 samples
 13 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (9), centered (9), scaled (9), remove (4) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using up-sampling prior to pre-processing

Resampling results across tuning parameters:

  mtry  threshold   ROC        Sens          Spec         DPM      
  1     0.01000000  0.7974858  1.0000000000  0.000000000  1.0000000
  1     0.06157895  0.7974858  1.0000000000  0.001111111  0.9988889
  1     0.11315789  0.7974858  0.9892307692  0.040111111  0.9604670
  1     0.16473684  0.7974858  0.9681410256  0.152777778  0.8491505
  1     0.21631579  0.7974858  0.9564102564  0.253111111  0.7501639
  1     0.26789474  0.7974858  0.9424358974  0.359000000  0.6467713
  1     0.31947368  0.7974858  0.9242948718  0.435777778  0.5732524
  1     0.37105263  0.7974858  0.9063461538  0.503777778  0.5113949
  1     0.42263158  0.7974858  0.8826923077  0.557555556  0.4689382
  1     0.47421053  0.7974858  0.8444230769  0.605222222  0.4400812
  1     0.52578947  0.7974858  0.8060256410  0.661111111  0.4105247
  1     0.57736842  0.7974858  0.7513461538  0.712444444  0.4053241
  1     0.62894737  0.7974858  0.6838461538  0.751888889  0.4274689
  1     0.68052632  0.7974858  0.6083333333  0.804777778  0.4618072
  1     0.73210526  0.7974858  0.5163461538  0.852111111  0.5242435
  1     0.78368421  0.7974858  0.4103205128  0.915888889  0.6061547
  1     0.83526316  0.7974858  0.2586538462  0.961000000  0.7455721
  1     0.88684211  0.7974858  0.1319230769  0.976222222  0.8698991
  1     0.93842105  0.7974858  0.0412179487  0.988666667  0.9594070
  1     0.99000000  0.7974858  0.0015384615  1.000000000  0.9984615
  2     0.01000000  0.7939095  1.0000000000  0.000000000  1.0000000
  2     0.06157895  0.7939095  0.9945512821  0.010222222  0.9899930
  2     0.11315789  0.7939095  0.9750641026  0.100333333  0.9009848
  2     0.16473684  0.7939095  0.9632051282  0.212222222  0.7904439
  2     0.21631579  0.7939095  0.9453846154  0.317000000  0.6882493
  2     0.26789474  0.7939095  0.9242948718  0.393888889  0.6153551
  2     0.31947368  0.7939095  0.9007051282  0.476333333  0.5403333
  2     0.37105263  0.7939095  0.8827564103  0.544888889  0.4793618
  2     0.42263158  0.7939095  0.8489743590  0.587333333  0.4531588
  2     0.47421053  0.7939095  0.8177564103  0.634777778  0.4274761
  2     0.52578947  0.7939095  0.7802564103  0.676222222  0.4145184
  2     0.57736842  0.7939095  0.7294230769  0.714888889  0.4203699
  2     0.62894737  0.7939095  0.6630128205  0.765000000  0.4402769
  2     0.68052632  0.7939095  0.5951282051  0.812666667  0.4699812
  2     0.73210526  0.7939095  0.5117307692  0.858000000  0.5265181
  2     0.78368421  0.7939095  0.4113461538  0.897222222  0.6101799
  2     0.83526316  0.7939095  0.2939102564  0.951666667  0.7121275
  2     0.88684211  0.7939095  0.1657692308  0.975222222  0.8362120
  2     0.93842105  0.7939095  0.0687179487  0.987666667  0.9319860
  2     0.99000000  0.7939095  0.0007692308  0.999000000  0.9992806
  3     0.01000000  0.7964384  1.0000000000  0.000000000  1.0000000
  3     0.06157895  0.7964384  0.9891666667  0.016666667  0.9837655
  3     0.11315789  0.7964384  0.9710897436  0.130555556  0.8710603
  3     0.16473684  0.7964384  0.9553846154  0.242444444  0.7611429
  3     0.21631579  0.7964384  0.9375000000  0.339222222  0.6669257
  3     0.26789474  0.7964384  0.9164743590  0.406111111  0.6044975
  3     0.31947368  0.7964384  0.8992307692  0.466777778  0.5490806
  3     0.37105263  0.7964384  0.8765384615  0.537888889  0.4878762
  3     0.42263158  0.7964384  0.8522435897  0.606888889  0.4346399
  3     0.47421053  0.7964384  0.8176282051  0.647444444  0.4158455
  3     0.52578947  0.7964384  0.7824358974  0.683555556  0.4080022
  3     0.57736842  0.7964384  0.7292948718  0.728777778  0.4081643
  3     0.62894737  0.7964384  0.6841025641  0.766666667  0.4200000
  3     0.68052632  0.7964384  0.6085897436  0.816111111  0.4591391
  3     0.73210526  0.7964384  0.5291666667  0.854111111  0.5138893
  3     0.78368421  0.7964384  0.4260897436  0.894222222  0.5962128
  3     0.83526316  0.7964384  0.3217307692  0.935444444  0.6880266
  3     0.88684211  0.7964384  0.1976923077  0.972333333  0.8045598
  3     0.93842105  0.7964384  0.0772435897  0.983444444  0.9238884
  3     0.99000000  0.7964384  0.0023076923  1.000000000  0.9976923
  4     0.01000000  0.7910317  0.9992307692  0.000000000  1.0000295
  4     0.06157895  0.7910317  0.9853205128  0.039111111  0.9614902
  4     0.11315789  0.7910317  0.9704487179  0.148111111  0.8536381
  4     0.16473684  0.7910317  0.9539102564  0.261444444  0.7429351
  4     0.21631579  0.7910317  0.9351923077  0.341777778  0.6655574
  4     0.26789474  0.7910317  0.9117307692  0.409000000  0.6032133
  4     0.31947368  0.7910317  0.8912820513  0.473777778  0.5448325
  4     0.37105263  0.7910317  0.8662820513  0.535666667  0.4950988
  4     0.42263158  0.7910317  0.8358333333  0.607333333  0.4408903
  4     0.47421053  0.7910317  0.8044871795  0.662000000  0.4117219
  4     0.52578947  0.7910317  0.7700641026  0.691777778  0.4098361
  4     0.57736842  0.7910317  0.7333974359  0.721777778  0.4121341
  4     0.62894737  0.7910317  0.6871153846  0.764222222  0.4195010
  4     0.68052632  0.7910317  0.6130128205  0.814555556  0.4561422
  4     0.73210526  0.7910317  0.5312820513  0.852888889  0.5119578
  4     0.78368421  0.7910317  0.4401923077  0.881888889  0.5861498
  4     0.83526316  0.7910317  0.3300000000  0.919666667  0.6825073
  4     0.88684211  0.7910317  0.2251923077  0.966222222  0.7782990
  4     0.93842105  0.7910317  0.0997435897  0.983555556  0.9013708
  4     0.99000000  0.7910317  0.0023076923  0.996888889  0.9978536
  5     0.01000000  0.7875039  0.9992307692  0.000000000  1.0000295
  5     0.06157895  0.7875039  0.9844230769  0.056777778  0.9439466
  5     0.11315789  0.7875039  0.9663461538  0.161444444  0.8408217
  5     0.16473684  0.7875039  0.9498717949  0.268444444  0.7362163
  5     0.21631579  0.7875039  0.9265384615  0.352666667  0.6559694
  5     0.26789474  0.7875039  0.9125641026  0.419444444  0.5925859
  5     0.31947368  0.7875039  0.8888461538  0.479666667  0.5391750
  5     0.37105263  0.7875039  0.8605769231  0.533111111  0.4995603
  5     0.42263158  0.7875039  0.8362820513  0.589555556  0.4566992
  5     0.47421053  0.7875039  0.7973717949  0.654333333  0.4198577
  5     0.52578947  0.7875039  0.7659615385  0.683222222  0.4165878
  5     0.57736842  0.7875039  0.7238461538  0.719333333  0.4202500
  5     0.62894737  0.7875039  0.6676282051  0.764888889  0.4339447
  5     0.68052632  0.7875039  0.5984615385  0.806111111  0.4700594
  5     0.73210526  0.7875039  0.5392307692  0.855111111  0.5049782
  5     0.78368421  0.7875039  0.4425641026  0.881777778  0.5841235
  5     0.83526316  0.7875039  0.3379487179  0.922888889  0.6748008
  5     0.88684211  0.7875039  0.2348076923  0.957888889  0.7702929
  5     0.93842105  0.7875039  0.1125641026  0.983555556  0.8884462
  5     0.99000000  0.7875039  0.0039102564  0.995777778  0.9963126
  6     0.01000000  0.7864192  1.0000000000  0.000000000  1.0000000
  6     0.06157895  0.7864192  0.9844871795  0.058666667  0.9421918
  6     0.11315789  0.7864192  0.9648076923  0.152888889  0.8498474
  6     0.16473684  0.7864192  0.9476282051  0.268222222  0.7365129
  6     0.21631579  0.7864192  0.9235897436  0.339000000  0.6699388
  6     0.26789474  0.7864192  0.9007692308  0.411777778  0.6021854
  6     0.31947368  0.7864192  0.8796153846  0.474444444  0.5472098
  6     0.37105263  0.7864192  0.8575641026  0.537888889  0.4938807
  6     0.42263158  0.7864192  0.8333333333  0.594666667  0.4531802
  6     0.47421053  0.7864192  0.7973076923  0.650666667  0.4240657
  6     0.52578947  0.7864192  0.7607051282  0.689555556  0.4182767
  6     0.57736842  0.7864192  0.7199358974  0.734222222  0.4132555
  6     0.62894737  0.7864192  0.6755128205  0.779777778  0.4203789
  6     0.68052632  0.7864192  0.6025000000  0.817333333  0.4627333
  6     0.73210526  0.7864192  0.5195512821  0.858555556  0.5201900
  6     0.78368421  0.7864192  0.4402564103  0.886888889  0.5848495
  6     0.83526316  0.7864192  0.3396794872  0.923777778  0.6721930
  6     0.88684211  0.7864192  0.2401923077  0.954000000  0.7646671
  6     0.93842105  0.7864192  0.1261538462  0.981444444  0.8753831
  6     0.99000000  0.7864192  0.0078205128  0.995888889  0.9924034
  7     0.01000000  0.7787956  0.9969230769  0.003222222  0.9968959
  7     0.06157895  0.7787956  0.9821794872  0.070555556  0.9303016
  7     0.11315789  0.7787956  0.9673076923  0.169888889  0.8321570
  7     0.16473684  0.7787956  0.9420512821  0.265444444  0.7403136
  7     0.21631579  0.7787956  0.9248076923  0.340111111  0.6683799
  7     0.26789474  0.7787956  0.8976923077  0.417111111  0.5989075
  7     0.31947368  0.7787956  0.8812179487  0.476888889  0.5454661
  7     0.37105263  0.7787956  0.8585256410  0.533555556  0.4984641
  7     0.42263158  0.7787956  0.8334615385  0.588222222  0.4589430
  7     0.47421053  0.7787956  0.8005769231  0.644444444  0.4262814
  7     0.52578947  0.7787956  0.7628846154  0.690777778  0.4127088
  7     0.57736842  0.7787956  0.7223717949  0.732111111  0.4105584
  7     0.62894737  0.7787956  0.6638461538  0.767000000  0.4348707
  7     0.68052632  0.7787956  0.5985897436  0.805111111  0.4690630
  7     0.73210526  0.7787956  0.5259615385  0.853111111  0.5155301
  7     0.78368421  0.7787956  0.4558974359  0.877888889  0.5731301
  7     0.83526316  0.7787956  0.3450641026  0.906777778  0.6716717
  7     0.88684211  0.7787956  0.2473076923  0.951000000  0.7581773
  7     0.93842105  0.7787956  0.1429487179  0.976333333  0.8590054
  7     0.99000000  0.7787956  0.0094230769  0.995888889  0.9907881
  8     0.01000000  0.7858159  0.9953846154  0.003111111  0.9970661
  8     0.06157895  0.7858159  0.9844230769  0.067444444  0.9332351
  8     0.11315789  0.7858159  0.9704487179  0.174555556  0.8275962
  8     0.16473684  0.7858159  0.9422435897  0.270000000  0.7354739
  8     0.21631579  0.7858159  0.9264102564  0.338555556  0.6698706
  8     0.26789474  0.7858159  0.9039743590  0.416000000  0.5975461
  8     0.31947368  0.7858159  0.8842948718  0.474333333  0.5460961
  8     0.37105263  0.7858159  0.8605769231  0.525777778  0.5055240
  8     0.42263158  0.7858159  0.8338461538  0.588222222  0.4584297
  8     0.47421053  0.7858159  0.8026282051  0.637222222  0.4314943
  8     0.52578947  0.7858159  0.7645512821  0.687000000  0.4138764
  8     0.57736842  0.7858159  0.7214743590  0.728222222  0.4154825
  8     0.62894737  0.7858159  0.6718589744  0.764444444  0.4314631
  8     0.68052632  0.7858159  0.6117948718  0.812000000  0.4559941
