Random Forest 

225 samples
 13 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (13), centered (13), scaled (13) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using down-sampling prior to pre-processing

Resampling results across tuning parameters:

  mtry  threshold   ROC        Sens          Spec         DPM      
   1    0.01000000  0.8032874  0.9992307692  0.000000000  1.0000295
   1    0.06157895  0.8032874  0.9969230769  0.016444444  0.9837817
   1    0.11315789  0.8032874  0.9869230769  0.092111111  0.9086430
   1    0.16473684  0.8032874  0.9673717949  0.194888889  0.8076447
   1    0.21631579  0.8032874  0.9431410256  0.293777778  0.7116057
   1    0.26789474  0.8032874  0.9307051282  0.389111111  0.6196040
   1    0.31947368  0.8032874  0.9196794872  0.471555556  0.5407265
   1    0.37105263  0.8032874  0.8937820513  0.534000000  0.4866106
   1    0.42263158  0.8032874  0.8587179487  0.592333333  0.4467379
   1    0.47421053  0.8032874  0.8087179487  0.644111111  0.4245092
   1    0.52578947  0.8032874  0.7608974359  0.696333333  0.4114912
   1    0.57736842  0.8032874  0.6983333333  0.741555556  0.4229424
   1    0.62894737  0.8032874  0.6185897436  0.798666667  0.4538122
   1    0.68052632  0.8032874  0.5276923077  0.854444444  0.5099603
   1    0.73210526  0.8032874  0.4137820513  0.916111111  0.6020207
   1    0.78368421  0.8032874  0.2904487179  0.957000000  0.7145498
   1    0.83526316  0.8032874  0.1748076923  0.973333333  0.8274389
   1    0.88684211  0.8032874  0.0691666667  0.987444444  0.9317866
   1    0.93842105  0.8032874  0.0161538462  0.995777778  0.9840782
   1    0.99000000  0.8032874  0.0007692308  1.000000000  0.9992308
   2    0.01000000  0.7968974  1.0000000000  0.000000000  1.0000000
   2    0.06157895  0.7968974  0.9922435897  0.030777778  0.9695960
   2    0.11315789  0.7968974  0.9719871795  0.134000000  0.8677937
   2    0.16473684  0.7968974  0.9515384615  0.220444444  0.7836535
   2    0.21631579  0.7968974  0.9345512821  0.345666667  0.6613832
   2    0.26789474  0.7968974  0.9242948718  0.426888889  0.5833471
   2    0.31947368  0.7968974  0.8978205128  0.503111111  0.5163336
   2    0.37105263  0.7968974  0.8639743590  0.564888889  0.4681912
   2    0.42263158  0.7968974  0.8209615385  0.608555556  0.4485104
   2    0.47421053  0.7968974  0.7768589744  0.657111111  0.4337479
   2    0.52578947  0.7968974  0.7296153846  0.710444444  0.4242238
   2    0.57736842  0.7968974  0.6853846154  0.764444444  0.4221674
   2    0.62894737  0.7968974  0.6259615385  0.811888889  0.4436870
   2    0.68052632  0.7968974  0.5282692308  0.862333333  0.5085174
   2    0.73210526  0.7968974  0.4335897436  0.903555556  0.5845714
   2    0.78368421  0.7968974  0.3205769231  0.950666667  0.6862117
   2    0.83526316  0.7968974  0.2079487179  0.973222222  0.7943875
   2    0.88684211  0.7968974  0.1082692308  0.983444444  0.8929150
   2    0.93842105  0.7968974  0.0262820513  0.993666667  0.9740665
   2    0.99000000  0.7968974  0.0007692308  1.000000000  0.9992308
   3    0.01000000  0.7960723  1.0000000000  0.000000000  1.0000000
   3    0.06157895  0.7960723  0.9907692308  0.058888889  0.9414979
   3    0.11315789  0.7960723  0.9728846154  0.154888889  0.8468134
   3    0.16473684  0.7960723  0.9463461538  0.238666667  0.7658208
   3    0.21631579  0.7960723  0.9314102564  0.366111111  0.6416816
   3    0.26789474  0.7960723  0.9173076923  0.437666667  0.5747595
   3    0.31947368  0.7960723  0.8955128205  0.513888889  0.5056532
   3    0.37105263  0.7960723  0.8556410256  0.576333333  0.4607804
   3    0.42263158  0.7960723  0.8108333333  0.614777778  0.4465184
   3    0.47421053  0.7960723  0.7741025641  0.672666667  0.4198964
   3    0.52578947  0.7960723  0.7397435897  0.724333333  0.4055149
   3    0.57736842  0.7960723  0.6867307692  0.764444444  0.4211917
   3    0.62894737  0.7960723  0.6148717949  0.805555556  0.4593276
   3    0.68052632  0.7960723  0.5282051282  0.855000000  0.5104934
   3    0.73210526  0.7960723  0.4413461538  0.893222222  0.5795573
   3    0.78368421  0.7960723  0.3464102564  0.941444444  0.6616089
   3    0.83526316  0.7960723  0.2269871795  0.972222222  0.7754401
   3    0.88684211  0.7960723  0.1219230769  0.985555556  0.8789622
   3    0.93842105  0.7960723  0.0343589744  0.995666667  0.9658755
   3    0.99000000  0.7960723  0.0000000000  1.000000000  1.0000000
   4    0.01000000  0.7933921  1.0000000000  0.001000000  0.9990000
   4    0.06157895  0.7933921  0.9875641026  0.076111111  0.9244536
   4    0.11315789  0.7933921  0.9658974359  0.158444444  0.8438244
   4    0.16473684  0.7933921  0.9437820513  0.267555556  0.7370513
