Random Forest 

225 samples
 13 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (13), centered (13), scaled (13) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Resampling results across tuning parameters:

  mtry  threshold   ROC        Sens          Spec         DPM      
   1    0.01000000  0.8050118  1.0000000000  0.000000000  1.0000000
   1    0.06157895  0.8050118  1.0000000000  0.001000000  0.9990000
   1    0.11315789  0.8050118  0.9953846154  0.047666667  0.9525902
   1    0.16473684  0.8050118  0.9821794872  0.126222222  0.8746565
   1    0.21631579  0.8050118  0.9534615385  0.225111111  0.7784331
   1    0.26789474  0.8050118  0.9353205128  0.320888889  0.6854345
   1    0.31947368  0.8050118  0.9322435897  0.406444444  0.6010497
   1    0.37105263  0.8050118  0.9182051282  0.497000000  0.5152555
   1    0.42263158  0.8050118  0.8939102564  0.540333333  0.4806605
   1    0.47421053  0.8050118  0.8672435897  0.588555556  0.4444896
   1    0.52578947  0.8050118  0.8140384615  0.635888889  0.4291909
   1    0.57736842  0.8050118  0.7664102564  0.678444444  0.4215929
   1    0.62894737  0.8050118  0.7110897436  0.739666667  0.4148671
   1    0.68052632  0.8050118  0.6392307692  0.798000000  0.4412413
   1    0.73210526  0.8050118  0.5551282051  0.842666667  0.4945406
   1    0.78368421  0.8050118  0.4308333333  0.919444444  0.5849666
   1    0.83526316  0.8050118  0.2648076923  0.966000000  0.7383678
   1    0.88684211  0.8050118  0.1407051282  0.978444444  0.8608538
   1    0.93842105  0.8050118  0.0453846154  0.989444444  0.9553320
   1    0.99000000  0.8050118  0.0000000000  1.000000000  1.0000000
   2    0.01000000  0.8018024  1.0000000000  0.000000000  1.0000000
   2    0.06157895  0.8018024  0.9992307692  0.014555556  0.9854773
   2    0.11315789  0.8018024  0.9860256410  0.075222222  0.9254499
   2    0.16473684  0.8018024  0.9635256410  0.151333333  0.8510197
   2    0.21631579  0.8018024  0.9384615385  0.260333333  0.7453978
   2    0.26789474  0.8018024  0.9345512821  0.365666667  0.6412702
   2    0.31947368  0.8018024  0.9211538462  0.447777778  0.5631639
   2    0.37105263  0.8018024  0.9048076923  0.524888889  0.4922936
   2    0.42263158  0.8018024  0.8710256410  0.566666667  0.4626188
   2    0.47421053  0.8018024  0.8319871795  0.610111111  0.4412133
   2    0.52578947  0.8018024  0.7912820513  0.652888889  0.4267945
   2    0.57736842  0.8018024  0.7478205128  0.704666667  0.4148897
   2    0.62894737  0.8018024  0.6976282051  0.763111111  0.4147566
   2    0.68052632  0.8018024  0.6414102564  0.808666667  0.4333782
   2    0.73210526  0.8018024  0.5540384615  0.849444444  0.4895279
   2    0.78368421  0.8018024  0.4376923077  0.910000000  0.5803222
   2    0.83526316  0.8018024  0.3042948718  0.957000000  0.7006072
   2    0.88684211  0.8018024  0.1713461538  0.975222222  0.8304926
   2    0.93842105  0.8018024  0.0639102564  0.989555556  0.9366840
   2    0.99000000  0.8018024  0.0007692308  1.000000000  0.9992308
   3    0.01000000  0.7998668  1.0000000000  0.000000000  1.0000000
   3    0.06157895  0.7998668  0.9946153846  0.032222222  0.9680538
   3    0.11315789  0.7998668  0.9844871795  0.094444444  0.9063116
   3    0.16473684  0.7998668  0.9595512821  0.160222222  0.8425122
   3    0.21631579  0.7998668  0.9400000000  0.281000000  0.7244538
   3    0.26789474  0.7998668  0.9314743590  0.382666667  0.6249244
   3    0.31947368  0.7998668  0.9212179487  0.452111111  0.5590640
   3    0.37105263  0.7998668  0.8939743590  0.529888889  0.4898828
   3    0.42263158  0.7998668  0.8583333333  0.570777778  0.4632886
   3    0.47421053  0.7998668  0.8270512821  0.616555556  0.4376578
   3    0.52578947  0.7998668  0.7897435897  0.663111111  0.4188661
   3    0.57736842  0.7998668  0.7378846154  0.715000000  0.4149910
   3    0.62894737  0.7998668  0.6969230769  0.763222222  0.4137143
   3    0.68052632  0.7998668  0.6507692308  0.808000000  0.4252050
   3    0.73210526  0.7998668  0.5545512821  0.844111111  0.4913303
   3    0.78368421  0.7998668  0.4539743590  0.892666667  0.5697742
   3    0.83526316  0.7998668  0.3277564103  0.947777778  0.6792203
