Random Forest 

225 samples
 13 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (13), centered (13), scaled (13) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using SMOTE prior to pre-processing

Resampling results across tuning parameters:

  mtry  threshold   ROC        Sens        Spec        DPM      
   1    0.01000000  0.8047849  1.00000000  0.00000000  1.0000000
   1    0.06157895  0.8047849  0.99532051  0.07855556  0.9216542
   1    0.11315789  0.8047849  0.97897436  0.18766667  0.8137228
   1    0.16473684  0.8047849  0.95538462  0.26188889  0.7420172
   1    0.21631579  0.8047849  0.92807692  0.32400000  0.6837659
   1    0.26789474  0.8047849  0.90858974  0.40477778  0.6078206
   1    0.31947368  0.8047849  0.89198718  0.47011111  0.5481530
   1    0.37105263  0.8047849  0.87717949  0.53066667  0.4948063
   1    0.42263158  0.8047849  0.85525641  0.56866667  0.4683315
   1    0.47421053  0.8047849  0.82961538  0.61522222  0.4373031
   1    0.52578947  0.8047849  0.80532051  0.65144444  0.4192228
   1    0.57736842  0.8047849  0.77102564  0.68544444  0.4117579
   1    0.62894737  0.8047849  0.72833333  0.73066667  0.4090709
   1    0.68052632  0.8047849  0.66339744  0.78100000  0.4281259
   1    0.73210526  0.8047849  0.57756410  0.82855556  0.4773006
   1    0.78368421  0.8047849  0.48839744  0.88944444  0.5386188
   1    0.83526316  0.8047849  0.37333333  0.95188889  0.6329837
   1    0.88684211  0.8047849  0.23416667  0.97422222  0.7680448
   1    0.93842105  0.8047849  0.10012821  0.98344444  0.9010897
   1    0.99000000  0.8047849  0.02948718  0.99266667  0.9709020
   2    0.01000000  0.7984797  1.00000000  0.01033333  0.9896667
   2    0.06157895  0.7984797  0.98916667  0.13800000  0.8625970
   2    0.11315789  0.7984797  0.96891026  0.21211111  0.7902114
   2    0.16473684  0.7984797  0.93910256  0.27677778  0.7291722
   2    0.21631579  0.7984797  0.91551282  0.34688889  0.6635928
   2    0.26789474  0.7984797  0.89910256  0.41400000  0.6011676
   2    0.31947368  0.7984797  0.88179487  0.47444444  0.5465630
   2    0.37105263  0.7984797  0.86237179  0.54688889  0.4850930
   2    0.42263158  0.7984797  0.83262821  0.58500000  0.4642730
   2    0.47421053  0.7984797  0.80301282  0.61811111  0.4498830
   2    0.52578947  0.7984797  0.77256410  0.65300000  0.4363801
   2    0.57736842  0.7984797  0.74064103  0.70266667  0.4183998
   2    0.62894737  0.7984797  0.69006410  0.75566667  0.4218274
   2    0.68052632  0.7984797  0.65032051  0.79155556  0.4337741
   2    0.73210526  0.7984797  0.58557692  0.83488889  0.4672183
   2    0.78368421  0.7984797  0.50878205  0.87900000  0.5215441
   2    0.83526316  0.7984797  0.38935897  0.94066667  0.6201742
   2    0.88684211  0.7984797  0.26108974  0.97244444  0.7418162
   2    0.93842105  0.7984797  0.12467949  0.98344444  0.8765347
   2    0.99000000  0.7984797  0.03044872  0.99377778  0.9698831
   3    0.01000000  0.7936877  0.99923077  0.02988889  0.9701407
   3    0.06157895  0.7936877  0.98679487  0.16077778  0.8400463
   3    0.11315789  0.7936877  0.96326923  0.22344444  0.7793736
   3    0.16473684  0.7936877  0.93185897  0.28277778  0.7240304
   3    0.21631579  0.7936877  0.90769231  0.35222222  0.6591902
   3    0.26789474  0.7936877  0.89288462  0.41344444  0.6032799
   3    0.31947368  0.7936877  0.87807692  0.49011111  0.5328664
   3    0.37105263  0.7936877  0.85839744  0.53666667  0.4955084
   3    0.42263158  0.7936877  0.82564103  0.57455556  0.4756052
   3    0.47421053  0.7936877  0.79993590  0.61888889  0.4495315
   3    0.52578947  0.7936877  0.77185897  0.66866667  0.4270482
   3    0.57736842  0.7936877  0.74224359  0.71511111  0.4092551
   3    0.62894737  0.7936877  0.70000000  0.75755556  0.4147509
   3    0.68052632  0.7936877  0.65493590  0.79688889  0.4273516
   3    0.73210526  0.7936877  0.60326923  0.83022222  0.4547131
   3    0.78368421  0.7936877  0.53134615  0.86600000  0.5042633
   3    0.83526316  0.7936877  0.43262821  0.91344444  0.5842615
   3    0.88684211  0.7936877  0.30326923  0.96244444  0.7013146
   3    0.93842105  0.7936877  0.15711538  0.98044444  0.8444329
   3    0.99000000  0.7936877  0.03839744  0.99155556  0.9620579
   4    0.01000000  0.7872600  1.00000000  0.03944444  0.9605556
   4    0.06157895  0.7872600  0.98358974  0.16144444  0.8394411
   4    0.11315789  0.7872600  0.96076923  0.22644444  0.7763713
   4    0.16473684  0.7872600  0.92878205  0.28388889  0.7235510
   4    0.21631579  0.7872600  0.89891026  0.35000000  0.6636182
   4    0.26789474  0.7872600  0.87717949  0.41588889  0.6050566
   4    0.31947368  0.7872600  0.86179487  0.47844444  0.5490325
   4    0.37105263  0.7872600  0.83570513  0.52288889  0.5158565
   4    0.42263158  0.7872600  0.81147436  0.58244444  0.4728661
   4    0.47421053  0.7872600  0.79115385  0.63000000  0.4428446
   4    0.52578947  0.7872600  0.76717949  0.66688889  0.4279668
   4    0.57736842  0.7872600  0.73147436  0.71977778  0.4154722
   4    0.62894737  0.7872600  0.70307692  0.76344444  0.4088640
   4    0.68052632  0.7872600  0.66115385  0.80511111  0.4178686
   4    0.73210526  0.7872600  0.60814103  0.82577778  0.4513034
   4    0.78368421  0.7872600  0.54256410  0.85244444  0.4973107
   4    0.83526316  0.7872600  0.44596154  0.90033333  0.5752485
   4    0.88684211  0.7872600  0.32923077  0.94155556  0.6792157
   4    0.93842105  0.7872600  0.18448718  0.97544444  0.8174368
   4    0.99000000  0.7872600  0.04301282  0.99266667  0.9573837
   5    0.01000000  0.7893818  0.99923077  0.04944444  0.9505884
   5    0.06157895  0.7893818  0.98211538  0.16133333  0.8398217
   5    0.11315789  0.7893818  0.96724359  0.22722222  0.7753968
   5    0.16473684  0.7893818  0.93044872  0.27355556  0.7341992
   5    0.21631579  0.7893818  0.89589744  0.34888889  0.6654362
   5    0.26789474  0.7893818  0.87878205  0.41688889  0.6046479
   5    0.31947368  0.7893818  0.85846154  0.47833333  0.5504574
   5    0.37105263  0.7893818  0.83987179  0.52766667  0.5110427
   5    0.42263158  0.7893818  0.81801282  0.57544444  0.4755052
   5    0.47421053  0.7893818  0.79275641  0.62522222  0.4455602
   5    0.52578947  0.7893818  0.77012821  0.67022222  0.4252703
   5    0.57736842  0.7893818  0.73660256  0.71188889  0.4153843
   5    0.62894737  0.7893818  0.70089744  0.75333333  0.4157718
   5    0.68052632  0.7893818  0.66980769  0.79188889  0.4160088
   5    0.73210526  0.7893818  0.62461538  0.81844444  0.4393905
   5    0.78368421  0.7893818  0.56358974  0.85455556  0.4786449
   5    0.83526316  0.7893818  0.47525641  0.89211111  0.5485851
   5    0.88684211  0.7893818  0.35044872  0.93344444  0.6599586
   5    0.93842105  0.7893818  0.21935897  0.97044444  0.7836926
   5    0.99000000  0.7893818  0.04423077  0.98844444  0.9565152
   6    0.01000000  0.7849010  0.99846154  0.06133333  0.9387258
   6    0.06157895  0.7849010  0.98057692  0.16966667  0.8315918
   6    0.11315789  0.7849010  0.96397436  0.23422222  0.7687333
   6    0.16473684  0.7849010  0.92403846  0.28800000  0.7209439
   6    0.21631579  0.7849010  0.88871795  0.35877778  0.6577548
   6    0.26789474  0.7849010  0.85846154  0.42033333  0.6049099
   6    0.31947368  0.7849010  0.84826923  0.47122222  0.5602136
   6    0.37105263  0.7849010  0.82794872  0.52822222  0.5151362
   6    0.42263158  0.7849010  0.80846154  0.58200000  0.4754451
   6    0.47421053  0.7849010  0.78576923  0.62955556  0.4485632
   6    0.52578947  0.7849010  0.76557692  0.67188889  0.4267011
   6    0.57736842  0.7849010  0.73378205  0.70600000  0.4219343
   6    0.62894737  0.7849010  0.70647436  0.74300000  0.4174363
   6    0.68052632  0.7849010  0.66820513  0.78600000  0.4203452
   6    0.73210526  0.7849010  0.62679487  0.80866667  0.4419849
   6    0.78368421  0.7849010  0.56352564  0.84277778  0.4822561
   6    0.83526316  0.7849010  0.48000000  0.88400000  0.5461104
   6    0.88684211  0.7849010  0.37589744  0.93011111  0.6355972
   6    0.93842105  0.7849010  0.23474359  0.96111111  0.7693227
   6    0.99000000  0.7849010  0.06641026  0.99055556  0.9341071
   7    0.01000000  0.7794918  0.99538462  0.06188889  0.9382949
   7    0.06157895  0.7794918  0.97660256  0.17622222  0.8252818
   7    0.11315789  0.7794918  0.96012821  0.23266667  0.7706168
   7    0.16473684  0.7794918  0.92487179  0.29566667  0.7132014
   7    0.21631579  0.7794918  0.89679487  0.35755556  0.6576068
   7    0.26789474  0.7794918  0.86544872  0.40888889  0.6149379
   7    0.31947368  0.7794918  0.84532051  0.47877778  0.5552021
   7    0.37105263  0.7794918  0.82801282  0.53133333  0.5134750
   7    0.42263158  0.7794918  0.80365385  0.58233333  0.4770418
   7    0.47421053  0.7794918  0.78038462  0.63544444  0.4468064
   7    0.52578947  0.7794918  0.75307692  0.66622222  0.4392035
   7    0.57736842  0.7794918  0.72730769  0.70044444  0.4297025
   7    0.62894737  0.7794918  0.69858974  0.73533333  0.4268895
   7    0.68052632  0.7794918  0.67000000  0.76844444  0.4306745
   7    0.73210526  0.7794918  0.62301282  0.80377778  0.4465306
   7    0.78368421  0.7794918  0.55660256  0.83055556  0.4938146
   7    0.83526316  0.7794918  0.47487179  0.88000000  0.5532417
   7    0.88684211  0.7794918  0.37698718  0.92244444  0.6362455
   7    0.93842105  0.7794918  0.24230769  0.95911111  0.7619486
   7    0.99000000  0.7794918  0.06788462  0.99066667  0.9326519
   8    0.01000000  0.7780937  0.99455128  0.06922222  0.9309995
   8    0.06157895  0.7780937  0.97237179  0.19466667  0.8074774
   8    0.11315789  0.7780937  0.94807692  0.24788889  0.7569340
   8    0.16473684  0.7780937  0.91519231  0.29588889  0.7150013
   8    0.21631579  0.7780937  0.88961538  0.35666667  0.6598901
   8    0.26789474  0.7780937  0.87006410  0.41600000  0.6076664
   8    0.31947368  0.7780937  0.85038462  0.47355556  0.5581278
   8    0.37105263  0.7780937  0.83250000  0.53177778  0.5118526
   8    0.42263158  0.7780937  0.79910256  0.57900000  0.4845850
   8    0.47421053  0.7780937  0.77025641  0.61744444  0.4679897
   8    0.52578947  0.7780937  0.75538462  0.65988889  0.4409321
   8    0.57736842  0.7780937  0.73044872  0.69200000  0.4330109
   8    0.62894737  0.7780937  0.70564103  0.72511111  0.4284743
   8    0.68052632  0.7780937  0.66980769  0.76000000  0.4329344
   8    0.73210526  0.7780937  0.62371795  0.79455556  0.4509078
   8    0.78368421  0.7780937  0.56910256  0.83577778  0.4807908
   8    0.83526316  0.7780937  0.47544872  0.88344444  0.5516548
   8    0.88684211  0.7780937  0.38621795  0.91500000  0.6292830
   8    0.93842105  0.7780937  0.27570513  0.95411111  0.7297564
   8    0.99000000  0.7780937  0.08275641  0.98944444  0.9179860
   9    0.01000000  0.7812044  0.99608974  0.08988889  0.9102803
   9    0.06157895  0.7812044  0.97339744  0.19588889  0.8057459
   9    0.11315789  0.7812044  0.94839744  0.25955556  0.7456244
   9    0.16473684  0.7812044  0.92166667  0.32122222  0.6887345
   9    0.21631579  0.7812044  0.89044872  0.38422222  0.6324233
   9    0.26789474  0.7812044  0.86487179  0.41955556  0.6047456
 [ reached getOption("max.print") -- omitted 74 rows ]

DPM was used to select the optimal model using the smallest value.
The final values used for the model were mtry = 4 and threshold = 0.6289474.
