Random Forest 

225 samples
 13 predictor
  2 classes: 'nonLC', 'LC' 

Pre-processing: nearest neighbor imputation (13), centered (13), scaled (13) 
Resampling: Cross-Validated (10 fold, repeated 10 times) 
Summary of sample sizes: 202, 202, 203, 202, 202, 203, ... 
Addtional sampling using up-sampling prior to pre-processing

Resampling results across tuning parameters:

  mtry  threshold   ROC        Sens         Spec         DPM      
   1    0.01000000  0.7984320  1.000000000  0.000000000  1.0000000
   1    0.06157895  0.7984320  1.000000000  0.005222222  0.9947778
   1    0.11315789  0.7984320  0.989871795  0.067888889  0.9325569
   1    0.16473684  0.7984320  0.969743590  0.156888889  0.8450370
   1    0.21631579  0.7984320  0.946282051  0.253111111  0.7509742
   1    0.26789474  0.7984320  0.934551282  0.346555556  0.6599704
   1    0.31947368  0.7984320  0.928269231  0.436111111  0.5728191
   1    0.37105263  0.7984320  0.906217949  0.507333333  0.5092974
   1    0.42263158  0.7984320  0.880576923  0.558777778  0.4671976
   1    0.47421053  0.7984320  0.843910256  0.606111111  0.4387008
   1    0.52578947  0.7984320  0.794423077  0.646555556  0.4305266
   1    0.57736842  0.7984320  0.736602564  0.701333333  0.4261075
   1    0.62894737  0.7984320  0.683717949  0.757222222  0.4238032
   1    0.68052632  0.7984320  0.617307692  0.811666667  0.4515307
   1    0.73210526  0.7984320  0.511089744  0.861888889  0.5243267
   1    0.78368421  0.7984320  0.386025641  0.937777778  0.6239025
   1    0.83526316  0.7984320  0.250064103  0.970333333  0.7528075
   1    0.88684211  0.7984320  0.133012821  0.979333333  0.8684874
   1    0.93842105  0.7984320  0.025641026  0.989555556  0.9749181
   1    0.99000000  0.7984320  0.000000000  1.000000000  1.0000000
   2    0.01000000  0.7987892  1.000000000  0.000000000  1.0000000
   2    0.06157895  0.7987892  0.998461538  0.027000000  0.9730701
   2    0.11315789  0.7987892  0.980512821  0.094777778  0.9061686
   2    0.16473684  0.7987892  0.959487179  0.190666667  0.8120531
   2    0.21631579  0.7987892  0.936730769  0.295333333  0.7110746
   2    0.26789474  0.7987892  0.928974359  0.385444444  0.6231597
   2    0.31947368  0.7987892  0.914935897  0.457666667  0.5552960
   2    0.37105263  0.7987892  0.888269231  0.538888889  0.4844935
   2    0.42263158  0.7987892  0.849294872  0.584111111  0.4564236
   2    0.47421053  0.7987892  0.811666667  0.628000000  0.4359404
   2    0.52578947  0.7987892  0.768782051  0.676444444  0.4224571
   2    0.57736842  0.7987892  0.724358974  0.722777778  0.4189760
   2    0.62894737  0.7987892  0.675641026  0.782222222  0.4200179
   2    0.68052632  0.7987892  0.608653846  0.814222222  0.4597249
   2    0.73210526  0.7987892  0.518269231  0.868666667  0.5162388
   2    0.78368421  0.7987892  0.406666667  0.924444444  0.6060242
   2    0.83526316  0.7987892  0.286089744  0.964000000  0.7172298
   2    0.88684211  0.7987892  0.161730769  0.977444444  0.8400540
   2    0.93842105  0.7987892  0.059166667  0.987444444  0.9416433
   2    0.99000000  0.7987892  0.002307692  1.000000000  0.9976923
   3    0.01000000  0.7968828  1.000000000  0.000000000  1.0000000
   3    0.06157895  0.7968828  0.994615385  0.045777778  0.9544941
   3    0.11315789  0.7968828  0.973397436  0.110000000  0.8914333
   3    0.16473684  0.7968828  0.950064103  0.196888889  0.8065998
   3    0.21631579  0.7968828  0.934423077  0.321555556  0.6850415
   3    0.26789474  0.7968828  0.924230769  0.408000000  0.6012902
   3    0.31947368  0.7968828  0.902371795  0.472888889  0.5426112
   3    0.37105263  0.7968828  0.875705128  0.540777778  0.4853444
   3    0.42263158  0.7968828  0.836602564  0.583555556  0.4622609
   3    0.47421053  0.7968828  0.801217949  0.634000000  0.4371916
   3    0.52578947  0.7968828  0.764038462  0.675777778  0.4255170
   3    0.57736842  0.7968828  0.719423077  0.729777778  0.4171734
   3    0.62894737  0.7968828  0.674166667  0.778000000  0.4219457
   3    0.68052632  0.7968828  0.612564103  0.818111111  0.4518011
   3    0.73210526  0.7968828  0.533653846  0.862666667  0.5055052
   3    0.78368421  0.7968828  0.418141026  0.912888889  0.5968560
   3    0.83526316  0.7968828  0.303782051  0.954111111  0.7014947
   3    0.88684211  0.7968828  0.174551282  0.975444444  0.8273978
   3    0.93842105  0.7968828  0.077820513  0.989444444  0.9229011
   3    0.99000000  0.7968828  0.001538462  1.000000000  0.9984615
   4    0.01000000  0.7951168  1.000000000  0.000000000  1.0000000
   4    0.06157895  0.7951168  0.987628205  0.058666667  0.9419134
   4    0.11315789  0.7951168  0.974358974  0.125666667  0.8757437
   4    0.16473684  0.7951168  0.950961538  0.220444444  0.7833703
   4    0.21631579  0.7951168  0.933846154  0.338222222  0.6685089
   4    0.26789474  0.7951168  0.923589744  0.400777778  0.6081780
   4    0.31947368  0.7951168  0.905448718  0.487111111  0.5275887
   4    0.37105263  0.7951168  0.872371795  0.541888889  0.4865335
   4    0.42263158  0.7951168  0.838782051  0.585444444  0.4604577
   4    0.47421053  0.7951168  0.803910256  0.643444444  0.4275429
   4    0.52578947  0.7951168  0.759487179  0.690111111  0.4188285
   4    0.57736842  0.7951168  0.722820513  0.727222222  0.4178681
   4    0.62894737  0.7951168  0.678141026  0.769666667  0.4240003
   4    0.68052632  0.7951168  0.619743590  0.815000000  0.4495356
   4    0.73210526  0.7951168  0.536025641  0.856333333  0.5039543
   4    0.78368421  0.7951168  0.433076923  0.897555556  0.5884810
   4    0.83526316  0.7951168  0.324743590  0.951000000  0.6802748
   4    0.88684211  0.7951168  0.196346154  0.974444444  0.8058635
   4    0.93842105  0.7951168  0.071794872  0.985444444  0.9291655
   4    0.99000000  0.7951168  0.002307692  1.000000000  0.9976923
   5    0.01000000  0.7946987  1.000000000  0.000000000  1.0000000
   5    0.06157895  0.7946987  0.985128205  0.066888889  0.9338193
   5    0.11315789  0.7946987  0.968846154  0.135333333  0.8666289
   5    0.16473684  0.7946987  0.950128205  0.228444444  0.7757287
   5    0.21631579  0.7946987  0.931474359  0.340222222  0.6668895
   5    0.26789474  0.7946987  0.917371795  0.415222222  0.5955215
   5    0.31947368  0.7946987  0.895320513  0.487222222  0.5302876
   5    0.37105263  0.7946987  0.862371795  0.541000000  0.4894157
   5    0.42263158  0.7946987  0.832564103  0.592333333  0.4555294
   5    0.47421053  0.7946987  0.800705128  0.650444444  0.4217372
   5    0.52578947  0.7946987  0.755384615  0.684777778  0.4232558
   5    0.57736842  0.7946987  0.718782051  0.734888889  0.4162659
   5    0.62894737  0.7946987  0.672179487  0.778111111  0.4256745
   5    0.68052632  0.7946987  0.611089744  0.821111111  0.4515350
   5    0.73210526  0.7946987  0.530448718  0.865555556  0.5085223
   5    0.78368421  0.7946987  0.429807692  0.899555556  0.5912428
   5    0.83526316  0.7946987  0.334102564  0.942888889  0.6736467
   5    0.88684211  0.7946987  0.209423077  0.972444444  0.7931809
   5    0.93842105  0.7946987  0.092628205  0.986555556  0.9084025
   5    0.99000000  0.7946987  0.001538462  1.000000000  0.9984615
   6    0.01000000  0.7932528  1.000000000  0.000000000  1.0000000
   6    0.06157895  0.7932528  0.989166667  0.063666667  0.9368540
   6    0.11315789  0.7932528  0.968076923  0.131777778  0.8700874
   6    0.16473684  0.7932528  0.944615385  0.235777778  0.7692324
   6    0.21631579  0.7932528  0.929743590  0.326222222  0.6809388
   6    0.26789474  0.7932528  0.916538462  0.407000000  0.6034304
   6    0.31947368  0.7932528  0.895256410  0.474444444  0.5434510
   6    0.37105263  0.7932528  0.865512821  0.544666667  0.4853459
   6    0.42263158  0.7932528  0.834807692  0.599333333  0.4489033
   6    0.47421053  0.7932528  0.804615385  0.650777778  0.4201392
   6    0.52578947  0.7932528  0.764743590  0.680111111  0.4213200
   6    0.57736842  0.7932528  0.717692308  0.729333333  0.4197320
   6    0.62894737  0.7932528  0.672500000  0.773888889  0.4278793
   6    0.68052632  0.7932528  0.610064103  0.823888889  0.4533992
   6    0.73210526  0.7932528  0.530384615  0.861666667  0.5081654
   6    0.78368421  0.7932528  0.440769231  0.905888889  0.5786176
   6    0.83526316  0.7932528  0.333333333  0.943777778  0.6738973
   6    0.88684211  0.7932528  0.221987179  0.967444444  0.7811281
   6    0.93842105  0.7932528  0.097500000  0.983666667  0.9035675
   6    0.99000000  0.7932528  0.003076923  1.000000000  0.9969231
   7    0.01000000  0.7894238  0.999230769  0.004222222  0.9958073
   7    0.06157895  0.7894238  0.983653846  0.070555556  0.9302282
   7    0.11315789  0.7894238  0.967371795  0.138555556  0.8636287
   7    0.16473684  0.7894238  0.942179487  0.245444444  0.7596658
   7    0.21631579  0.7894238  0.925769231  0.331888889  0.6763867
   7    0.26789474  0.7894238  0.909294872  0.402777778  0.6096325
   7    0.31947368  0.7894238  0.885961538  0.471777778  0.5474952
   7    0.37105263  0.7894238  0.864871795  0.536000000  0.4936728
   7    0.42263158  0.7894238  0.829487179  0.605000000  0.4441678
   7    0.47421053  0.7894238  0.796730769  0.640444444  0.4333191
   7    0.52578947  0.7894238  0.756025641  0.686888889  0.4215392
   7    0.57736842  0.7894238  0.716410256  0.730777778  0.4194139
   7    0.62894737  0.7894238  0.664807692  0.773111111  0.4315139
   7    0.68052632  0.7894238  0.624423077  0.816444444  0.4431088
   7    0.73210526  0.7894238  0.541987179  0.856666667  0.4982985
   7    0.78368421  0.7894238  0.440705128  0.894333333  0.5802516
   7    0.83526316  0.7894238  0.336538462  0.937777778  0.6724040
   7    0.88684211  0.7894238  0.224358974  0.966444444  0.7791023
   7    0.93842105  0.7894238  0.095384615  0.983555556  0.9057194
   7    0.99000000  0.7894238  0.004615385  1.000000000  0.9953846
   8    0.01000000  0.7942066  1.000000000  0.003222222  0.9967778
   8    0.06157895  0.7942066  0.986025641  0.069777778  0.9309607
   8    0.11315789  0.7942066  0.961794872  0.138666667  0.8637168
   8    0.16473684  0.7942066  0.946153846  0.253000000  0.7513118
   8    0.21631579  0.7942066  0.930448718  0.338222222  0.6689277
   8    0.26789474  0.7942066  0.915769231  0.400888889  0.6095110
   8    0.31947368  0.7942066  0.889871795  0.479111111  0.5394533
   8    0.37105263  0.7942066  0.863782051  0.539777778  0.4911932
