"accepted_name"	"Nocc"	"IUCN_TS_detail"	"IUCN_TS_sum"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld"	"Subset"	"NsubPop"	"Nloc"	"AOO"	"EOO"	"FLO"	"ECO"	"TDWG3"
"Chamaedorea klotzschiana"	14	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	6	8	52	21781.3789058268	0.0364062027739627	5	1
"Heterospathe longipes"	1	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	1	1	4	NA	0	1	1
"Chamaedorea oreophila"	9	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	5	5	36	3123.27524095675	0.0165500682778656	3	2
"Eremospatha quinquecostulata"	3	"LC"	"LC"	"LC"	"LC"	"TEST"	3	3	12	31047.6295841958	0.0155454536434263	2	2
"Bismarckia nobilis"	17	"LC"	"LC"	"LC"	"LC"	"TEST"	12	13	60	258646.66435919	0.0309151668779497	4	1
"Eremospatha macrocarpa"	30	"LC"	"LC"	"LC"	"LC"	"TEST"	26	27	120	528424.374924551	0.0797083289517711	6	11
"Chamaedorea ibarrae"	9	"LC"	"LC"	"LC"	"LC"	"TEST"	5	6	32	6391.43176718299	0.0278565374513467	2	2
"Chuniophoenix hainanensis"	2	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	2	2	8	NA	0.130073864012957	2	1
"Phoenix atlantica"	1	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	1	1	4	NA	0.000410766981076449	1	1
"Nypa fruticans"	75	"LC"	"LC"	"LC"	"LC"	"TEST"	46	54	268	48139889.0264962	0.0422172762797951	19	25
"Eremospatha hookeri"	16	"LC"	"LC"	"LC"	"LC"	"TEST"	15	15	64	640610.872785676	0.0983490378566785	6	7
"Ravenea krociana"	8	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	4	4	20	9957.89472871245	0.138993750093505	2	1
"Eremospatha laurentii"	17	"LC"	"LC"	"LC"	"LC"	"TEST"	12	12	56	305644.75075585	0.0428974996731781	4	9
"Heterospathe dransfieldii"	1	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	1	1	4	NA	0.0201917588710785	1	1
"Licuala paludosa"	20	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	17	17	80	1662148.36165348	0.178062892239541	9	7
"Basselinia iterata"	4	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	1	1	16	1.69691768651485	0.00373886246234179	1	1
"Brahea aculeata"	41	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	16	21	124	51935.0566997707	0.00929954940653349	4	2
"Licuala triphylla"	13	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TEST"	12	12	52	620032.516497901	0.232939498355755	4	4
"Areca camarinensis"	1	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	1	1	4	NA	0.0211693700402975	1	1
"Chamaedorea nubium"	68	"LC"	"LC"	"LC"	"LC"	"TEST"	27	36	232	185213.0947755	0.0349266286186107	9	5
"Calamus tetradactyloides"	1	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	1	1	4	NA	0.212288603186607	1	1
"Geonoma undata"	634	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	252	335	1908	7945060.64900669	0.0229996742101071	39	17
"Allagoptera arenaria"	78	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TEST"	59	66	300	1881402.835403	0.0937234793867295	9	3
"Basselinia glabrata"	10	"VU"	"nonLC"	"VU"	"nonLC"	"TEST"	5	5	36	1339.09277294583	0.00596833559684455	1	1
"Licuala meijeri"	3	"Possibly Threatened"	"nonLC"	"Possibly Threatened"	"nonLC"	"TEST"	3	3	12	6268.91582267894	0.331318492690722	1	1
"Bactris fissifrons"	71	"LC"	"LC"	"LC"	"LC"	"TEST"	45	49	240	1768463.44512545	0.0358821338917371	12	4
"Bactris ferruginea"	31	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TEST"	25	26	112	215170.736361195	0.0980231946995181	6	2
"Areca catechu"	28	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TEST"	26	26	112	15761936.6319162	0.0615748700365657	19	1
"Ravenea delicatula"	4	"CR"	"nonLC"	"CR"	"nonLC"	"TEST"	1	1	8	0.000429177771508694	0.211996704339981	1	1
"Calamus modestus"	8	"LC"	"LC"	"LC"	"LC"	"TEST"	4	5	24	21791.8518517321	0.158622556831688	2	1
"Chamaedorea metallica"	18	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	8	11	72	30288.036111021	0.0363007933677485	2	2
"Hyphaene thebaica"	283	"LC"	"LC"	"LC"	"LC"	"TEST"	45	68	508	9618338.51006968	0.00591355706378893	11	28
"Chamaedorea glaucifolia"	36	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	13	23	132	10912.262181884	0.0514581389207807	7	1
"Ravenea beentjei"	7	"CR"	"nonLC"	"CR"	"nonLC"	"TEST"	3	3	20	47.7932086291084	0.0751743002661637	2	1
"Areca vestiaria"	31	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TEST"	19	22	100	205475.916335201	0.076542793467055	3	2
"Chambeyronia lepidota"	8	"LC"	"LC"	"LC"	"LC"	"TEST"	2	2	20	28.1762428437469	0.00594750116579235	1	1
