"model"	"Method"	"Model"	"Sample"	"AUCROC"	"Sensitivity"	"Specificity"	"DPM"	"Accuracy"	"Balanced_accuracy"	"Kappa"	"Precision"	"NegativePrecision"	"Recall"	"F1score"
"RF___D_0.75_none"	"RF"	"D_0.75_none"	"RF___D_0.75_none_Test"	0.78030303030303	0.761904761904762	0.757575757575758	0.339792371483817	0.76	0.75974025974026	0.516129032258065	0.8	0.714285714285714	0.761904761904762	0.780487804878049
"RF___D_0.75_smote"	"RF"	"D_0.75_smote"	"RF___D_0.75_smote_Test"	0.758297258297258	0.69047619047619	0.696969696969697	0.433165503262631	0.693333333333333	0.693722943722944	0.383708467309754	0.743589743589744	0.638888888888889	0.69047619047619	0.716049382716049
"RF___D_0.75_up"	"RF"	"D_0.75_up"	"RF___D_0.75_up_Test"	0.791847041847042	0.714285714285714	0.787878787878788	0.355848368962114	0.746666666666667	0.751082251082251	0.494142705005325	0.810810810810811	0.684210526315789	0.714285714285714	0.759493670886076
"RF___D_0.75_down"	"RF"	"D_0.75_down"	"RF___D_0.75_down_Test"	0.786075036075036	0.69047619047619	0.818181818181818	0.358974706493091	0.746666666666667	0.754329004329004	0.497354497354497	0.828571428571429	0.675	0.69047619047619	0.753246753246753
"RF___D_1_none"	"RF"	"D_1_none"	"RF___D_1_none_Test"	0.780663780663781	0.785714285714286	0.757575757575758	0.323555065888183	0.773333333333333	0.771645021645022	0.541531823085221	0.804878048780488	0.735294117647059	0.785714285714286	0.795180722891566
"RF___D_1_smote"	"RF"	"D_1_smote"	"RF___D_1_smote_Test"	0.775974025974026	0.714285714285714	0.727272727272727	0.394984579889495	0.72	0.720779220779221	0.437299035369775	0.769230769230769	0.666666666666667	0.714285714285714	0.740740740740741
"RF___D_1_up"	"RF"	"D_1_up"	"RF___D_1_up_Test"	0.805555555555556	0.761904761904762	0.757575757575758	0.339792371483817	0.76	0.75974025974026	0.516129032258065	0.8	0.714285714285714	0.761904761904762	0.780487804878049
"RF___D_1_down"	"RF"	"D_1_down"	"RF___D_1_down_Test"	0.775252525252525	0.738095238095238	0.818181818181818	0.318829038119271	0.773333333333333	0.778138528138528	0.547390841320554	0.837837837837838	0.710526315789474	0.738095238095238	0.784810126582279
"RF___DS_0.75_none"	"RF"	"DS_0.75_none"	"RF___DS_0.75_none_Test"	0.813131313131313	0.761904761904762	0.757575757575758	0.339792371483817	0.76	0.75974025974026	0.516129032258065	0.8	0.714285714285714	0.761904761904762	0.780487804878049
"RF___DS_0.75_smote"	"RF"	"DS_0.75_smote"	"RF___DS_0.75_smote_Test"	0.768398268398268	0.714285714285714	0.727272727272727	0.394984579889495	0.72	0.720779220779221	0.437299035369775	0.769230769230769	0.666666666666667	0.714285714285714	0.740740740740741
"RF___DS_0.75_up"	"RF"	"DS_0.75_up"	"RF___DS_0.75_up_Test"	0.814213564213564	0.738095238095238	0.787878787878788	0.337030433255162	0.76	0.762987012987013	0.519230769230769	0.815789473684211	0.702702702702703	0.738095238095238	0.775
"RF___DS_0.75_down"	"RF"	"DS_0.75_down"	"RF___DS_0.75_down_Test"	0.797258297258297	0.69047619047619	0.818181818181818	0.358974706493091	0.746666666666667	0.754329004329004	0.497354497354497	0.828571428571429	0.675	0.69047619047619	0.753246753246753
"RF___DS_1_none"	"RF"	"DS_1_none"	"RF___DS_1_none_Test"	0.80050505050505	0.714285714285714	0.757575757575758	0.37470277070792	0.733333333333333	0.735930735930736	0.465811965811966	0.789473684210526	0.675675675675676	0.714285714285714	0.75
"RF___DS_1_smote"	"RF"	"DS_1_smote"	"RF___DS_1_smote_Test"	0.784992784992785	0.738095238095238	0.787878787878788	0.337030433255162	0.76	0.762987012987013	0.519230769230769	0.815789473684211	0.702702702702703	0.738095238095238	0.775
"RF___DS_1_up"	"RF"	"DS_1_up"	"RF___DS_1_up_Test"	0.800865800865801	0.714285714285714	0.757575757575758	0.37470277070792	0.733333333333333	0.735930735930736	0.465811965811966	0.789473684210526	0.675675675675676	0.714285714285714	0.75
"RF___DS_1_down"	"RF"	"DS_1_down"	"RF___DS_1_down_Test"	0.792929292929293	0.642857142857143	0.818181818181818	0.400760366862584	0.72	0.730519480519481	0.44794952681388	0.818181818181818	0.642857142857143	0.642857142857143	0.72
"NN___D_0.75_none"	"NN"	"D_0.75_none"	"NN___D_0.75_none_Test"	0.770562770562771	0.69047619047619	0.757575757575758	0.393159639303298	0.72	0.724025974025974	0.440894568690096	0.783783783783784	0.657894736842105	0.69047619047619	0.734177215189873
"NN___D_0.75_smote"	"NN"	"D_0.75_smote"	"NN___D_0.75_smote_Test"	0.726551226551227	0.738095238095238	0.696969696969697	0.400526489589674	0.72	0.717532467532468	0.433656957928802	0.75609756097561	0.676470588235294	0.738095238095238	0.746987951807229
"NN___D_0.75_up"	"NN"	"D_0.75_up"	"NN___D_0.75_up_Test"	0.762265512265512	0.666666666666667	0.757575757575758	0.412165772991983	0.706666666666667	0.712121212121212	0.416135881104034	0.777777777777778	0.641025641025641	0.666666666666667	0.717948717948718
"NN___D_0.75_down"	"NN"	"D_0.75_down"	"NN___D_0.75_down_Test"	0.765512265512265	0.69047619047619	0.757575757575758	0.393159639303298	0.72	0.724025974025974	0.440894568690096	0.783783783783784	0.657894736842105	0.69047619047619	0.734177215189873
"NN___D_1_none"	"NN"	"D_1_none"	"NN___D_1_none_Test"	0.802308802308802	0.761904761904762	0.606060606060606	0.460301627740947	0.693333333333333	0.683982683982684	0.371584699453552	0.711111111111111	0.666666666666667	0.761904761904762	0.735632183908046
"NN___D_1_smote"	"NN"	"D_1_smote"	"NN___D_1_smote_Test"	0.745310245310245	0.69047619047619	0.696969696969697	0.433165503262631	0.693333333333333	0.693722943722944	0.383708467309754	0.743589743589744	0.638888888888889	0.69047619047619	0.716049382716049
"NN___D_1_up"	"NN"	"D_1_up"	"NN___D_1_up_Test"	0.779220779220779	0.738095238095238	0.818181818181818	0.318829038119271	0.773333333333333	0.778138528138528	0.547390841320554	0.837837837837838	0.710526315789474	0.738095238095238	0.784810126582279
"NN___D_1_down"	"NN"	"D_1_down"	"NN___D_1_down_Test"	0.778499278499278	0.738095238095238	0.727272727272727	0.378119385376691	0.733333333333333	0.732683982683983	0.462365591397849	0.775	0.685714285714286	0.738095238095238	0.75609756097561
"NN___DS_0.75_none"	"NN"	"DS_0.75_none"	"NN___DS_0.75_none_Test"	0.815656565656566	0.714285714285714	0.666666666666667	0.439025926537757	0.693333333333333	0.69047619047619	0.379719525350593	0.731707317073171	0.647058823529412	0.714285714285714	0.72289156626506
"NN___DS_0.75_smote"	"NN"	"DS_0.75_smote"	"NN___DS_0.75_smote_Test"	0.804473304473304	0.738095238095238	0.666666666666667	0.423916519399163	0.706666666666667	0.702380952380952	0.404761904761905	0.738095238095238	0.666666666666667	0.738095238095238	0.738095238095238
"NN___DS_0.75_up"	"NN"	"DS_0.75_up"	"NN___DS_0.75_up_Test"	0.819264069264069	0.666666666666667	0.818181818181818	0.379695881398232	0.733333333333333	0.742424242424242	0.472573839662447	0.823529411764706	0.658536585365854	0.666666666666667	0.736842105263158
"NN___DS_0.75_down"	"NN"	"DS_0.75_down"	"NN___DS_0.75_down_Test"	0.814935064935065	0.69047619047619	0.757575757575758	0.393159639303298	0.72	0.724025974025974	0.440894568690096	0.783783783783784	0.657894736842105	0.69047619047619	0.734177215189873
"NN___DS_1_none"	"NN"	"DS_1_none"	"NN___DS_1_none_Test"	0.813131313131313	0.785714285714286	0.636363636363636	0.422077922077922	0.72	0.711038961038961	0.426229508196721	0.733333333333333	0.7	0.785714285714286	0.758620689655172
"NN___DS_1_smote"	"NN"	"DS_1_smote"	"NN___DS_1_smote_Test"	0.807359307359307	0.80952380952381	0.575757575757576	0.465040658077776	0.706666666666667	0.692640692640693	0.392935982339956	0.708333333333333	0.703703703703704	0.80952380952381	0.755555555555556
"NN___DS_1_up"	"NN"	"DS_1_up"	"NN___DS_1_up_Test"	0.816738816738817	0.738095238095238	0.636363636363636	0.448135592501943	0.693333333333333	0.687229437229437	0.375678610206298	0.720930232558139	0.65625	0.738095238095238	0.729411764705882
"NN___DS_1_down"	"NN"	"DS_1_down"	"NN___DS_1_down_Test"	0.797258297258297	0.738095238095238	0.666666666666667	0.423916519399163	0.706666666666667	0.702380952380952	0.404761904761905	0.738095238095238	0.666666666666667	0.738095238095238	0.738095238095238
