"species"	"Americas"	"AfricaWAsia"	"EAsiaPacific"	"Climbing"	"Acaulescent"	"Erect"	"StemSolitary"	"StemArmed"	"LeavesArmed"	"MaxStemHeight_m"	"MaxStemDia_cm"	"UnderstoreyCanopy"	"MaxLeafNumber"	"Max_Blade_Length_m"	"Max_Rachis_Length_m"	"Max_Petiole_length_m"	"AverageFruitLength_cm"	"MinFruitLength_cm"	"MaxFruitLength_cm"	"AverageFruitWidth_cm"	"MinFruitWidth_cm"	"MaxFruitWidth_cm"	"FruitSizeCategorical"	"FruitShape"	"Conspicuousness"	"AnimalFood"	"EnvironmentalUses"	"Fuels"	"GeneSources"	"HumanFood"	"InvertebrateFood"	"Materials"	"Medicines"	"Poisons"	"SocialUses"	"IUCN_TS_sum"	"IUCN_TS_sum_InclOld"	"Subset"	"Predicted_class_MOST"	"Predicted_PnonLC_MOST"	"Predicted_PLC_MOST"	"Expert"	"subset_plot_iucn_MOST"	"subset_plot_IUCNpreds1_MOST"	"subset_plot_IUCNpreds2_MOST"	"subset_plot_IUCNpreds1_exp_MOST"	"subset_plot_IUCNpreds2_exp_MOST"	"Continent"	"GrowthForm"	"Armed"	"MaxLeafLen_m"	"AvFruitLen_cm_mod"	"AvFruitWid_cm_mod"	"AvFruitVol_cm3"	"FruitDim1_cm"	"FruitDim2_cm"	"Small_bird_food"	"Large_bird_food"	"Bird_food"	"Small_mammal_food"	"Large_mammal_food"	"Mammal_food"	"High_C_trapper"	"Int_C_trapper"	"Low_C_trapper"	"High_or_Int_C_trapper"	"Human_use_all"	"Human_use_food"	"Human_use_materials"	"Human_use_medicine"	"Human_use_cultural"
"Acanthophoenix crinita"	0	1	0	0	0	1	"1"	1	1	10	20	"canopy"	15	2.3	NA	NA	0.65	0.6	0.7	0.5	NA	NA	"small"	"NA"	"cryptic"	0	0	0	0	0	0	1	0	0	0	"NE"	"NE"	"NO_ML"	NA	NA	NA	"nonLC"	NA	NA	NA	"nonLC"	"nonLC"	"AfricaWAsia"	"E"	1	NA	0.65	0.5	0.0850848010347236	0.65	0.5	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"
"Acanthophoenix rousselii"	0	1	0	0	0	1	"1"	1	1	25	30	"canopy"	NA	3	NA	NA	2	NA	NA	0.8	NA	NA	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	"nonLC"	NA	NA	NA	"nonLC"	"nonLC"	"AfricaWAsia"	"E"	1	NA	2	0.8	0.670206432765823	2	0.8	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Acanthophoenix rubra"	0	1	0	0	0	1	"1"	1	1	15	18	"canopy"	20	3.1	3	NA	1	NA	NA	0.7	NA	NA	"small"	"ovoid"	"cryptic"	0	1	0	1	1	0	0	1	0	0	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"AfricaWAsia"	"E"	1	NA	1	0.7	0.256563400043166	1	0.7	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"YES"	"NO"
"Acoelorrhaphe wrightii"	1	0	0	0	0	1	"0"	0	1	9.1	15	"canopy"	25	1.3	0.7	0.65	0.7	NA	NA	0.7	0.5	0.9	"small"	"ovoid"	"cryptic"	0	1	0	0	0	0	1	0	0	0	"NE"	"NE"	"PREDICTED"	"LC"	"0.02"	"0.98"	NA	NA	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	1	1.95	0.7	0.7	0.179594380030216	0.7	0.7	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"
"Acrocomia aculeata"	1	0	0	0	0	1	"1"	1	1	12	50	"canopy"	30	3.5	2.5	NA	4.25	3.5	5	4.6	3.8	5.4	"large"	"ovoid"	"cryptic"	0	1	0	0	1	0	1	1	0	0	"NE"	"NE"	"PREDICTED"	"LC"	"0.048"	"0.952"	NA	NA	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	1	NA	4.25	4.6	43.5045132675236	4.6	4.25	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"NO"
"Acrocomia crispa"	1	0	0	0	0	1	"1"	1	1	18	35	"canopy"	15	3	NA	0.65	2.5	NA	NA	1.8	NA	NA	"small"	"globose"	"conspicuous"	0	0	0	0	0	0	1	0	0	0	"NE"	"LC"	"NO_ML"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	1	3.65	2.5	1.8	4.24115008234622	2.5	1.8	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"
"Acrocomia emensis"	1	0	0	0	1	0	"1"	1	1	0	NA	"understorey"	NA	NA	NA	NA	2	NA	NA	2	NA	NA	"small"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"A"	1	NA	2	2	4.18879020478639	2	2	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acrocomia glaucescens"	1	0	0	0	0	1	"1"	1	1	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.882"	"0.118"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acrocomia hassleri"	1	0	0	0	1	0	"1"	1	1	0	NA	"understorey"	6	0.9	0.54	0.51	2.25	1.5	3	2.25	1.5	3	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"LC"	"0.188"	"0.812"	NA	NA	"LC"	"LC"	"LC"	"LC"	"Americas"	"A"	1	1.41	2.25	2.25	5.96411730329937	2.25	2.25	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"YES"	"NO"	NA	NA	NA	NA	NA
"Acrocomia intumescens"	1	0	0	0	0	1	"1"	1	1	NA	NA	"NA"	NA	NA	NA	NA	4.6	3.8	5.4	4.6	3.8	5.4	"large"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"LC"	"0.216"	"0.784"	NA	NA	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	1	NA	4.6	4.6	50.965010421636	4.6	4.6	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
