"Region"	"Scenario"	"Use"	"Category"	"PercentageA"	"NumberA"	"NumberUT"
"2"	"AFG"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"3"	"AFG"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"4"	"AFG"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"5"	"AFG"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"6"	"AFG"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"7"	"AFG"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"8"	"AFG"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"9"	"AFG"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"10"	"AFG"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"11"	"AFG"	"WS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"12"	"AFG"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"13"	"AFG"	"WS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"14"	"AFG"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"15"	"AFG"	"WS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"16"	"AFG"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"17"	"AFG"	"WS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"18"	"AFG"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"19"	"AFG"	"WS"	"HUMe"	"C1"	"100"	"1"	"1"
"20"	"AFG"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"21"	"AFG"	"WS"	"HUMe"	"C2"	"0"	"0"	"1"
"22"	"AFG"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"23"	"AFG"	"WS"	"HUMe"	"C3"	"0"	"0"	"1"
"24"	"AFG"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"25"	"AFG"	"WS"	"HUMe"	"C4"	"0"	"0"	"1"
"26"	"AFG"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"27"	"AFG"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"28"	"AFG"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"29"	"AFG"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"30"	"AFG"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"31"	"AFG"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"32"	"AFG"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"33"	"AFG"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"34"	"AGE"	"BS"	"HUF"	"C1"	"100"	"1"	"1"
"35"	"AGE"	"WS"	"HUF"	"C1"	"100"	"1"	"1"
"36"	"AGE"	"BS"	"HUF"	"C2"	"100"	"1"	"1"
"37"	"AGE"	"WS"	"HUF"	"C2"	"100"	"1"	"1"
"38"	"AGE"	"BS"	"HUF"	"C3"	"100"	"1"	"1"
"39"	"AGE"	"WS"	"HUF"	"C3"	"100"	"1"	"1"
"40"	"AGE"	"BS"	"HUF"	"C4"	"100"	"1"	"1"
"41"	"AGE"	"WS"	"HUF"	"C4"	"100"	"1"	"1"
"42"	"AGE"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"43"	"AGE"	"WS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"44"	"AGE"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"45"	"AGE"	"WS"	"HUMa"	"C2"	"NaN"	"0"	"0"
