"Tree_name"	"Acc_name"	"AverageED"	"AverageED_noBurnin"
"Acanthophoenix crinita"	"Acanthophoenix crinita"	7.68199275440634	7.67478119376987
"Acanthophoenix rousselii"	"Acanthophoenix rousselii"	7.68205061441363	7.67507091774774
"Acanthophoenix rubra"	"Acanthophoenix rubra"	7.66300086656639	7.64760985085371
"Acoelorrhaphe wrightii"	"Acoelorrhaphe wrightii"	14.4537290861075	14.4346637850381
"Acrocomia aculeata"	"Acrocomia aculeata"	11.4977197048037	11.5370979606409
"Acrocomia crispa"	"Acrocomia crispa"	14.0949558430729	14.054411189548
"Acrocomia emensis"	"Acrocomia emensis"	13.4725929965864	13.4665323167177
"Acrocomia glaucescens"	"Acrocomia glaucescens"	13.4677331528852	13.4705608867052
"Acrocomia hassleri"	"Acrocomia hassleri"	13.4350236131364	13.4811873630033
"Acrocomia intumescens"	"Acrocomia intumescens"	13.309751986249	13.2185691869115
"Acrocomia media"	"Acrocomia media"	11.4533946561635	11.4220005410142
"Acrocomia totai"	"Acrocomia totai"	13.5804746156408	13.6718982001855
"Actinokentia divaricata"	"Actinokentia divaricata"	6.07972940254956	6.08908574583375
"Actinokentia huerlimannii"	"Actinokentia huerlimannii"	6.07972940254956	6.08908574583375
"Actinorhytis calapparia"	"Actinorhytis calapparia"	14.8873343980742	14.8947049399533
"Adonidia maturbongsii"	"Manjekia maturbongsii"	8.63527355188655	8.609747038664
"Adonidia merrillii"	"Adonidia merrillii"	8.63527355188655	8.609747038664
"Aiphanes acanthophylla"	"Aiphanes acanthophylla"	6.45145557021195	6.4317004472347
"Aiphanes acaulis"	"Aiphanes acaulis"	6.62663688696164	6.59932985629873
"Aiphanes bicornis"	"Aiphanes bicornis"	6.4904588936254	6.49205226348449
"Aiphanes buenaventurae"	"Aiphanes buenaventurae"	6.50369321133957	6.58214419704863
"Aiphanes chiribogensis"	"Aiphanes chiribogensis"	6.54714710938028	6.58842033740123
"Aiphanes deltoidea"	"Aiphanes deltoidea"	6.45784825693759	6.41782496786514
"Aiphanes duquei"	"Aiphanes duquei"	6.53052850129288	6.48834587144471
"Aiphanes eggersii"	"Aiphanes eggersii"	6.50989918269896	6.52341697161716
"Aiphanes erinacea"	"Aiphanes erinacea"	6.72017697256162	6.72359950634733
"Aiphanes gelatinosa"	"Aiphanes gelatinosa"	6.51753300479422	6.4769595660346
"Aiphanes graminifolia"	"Aiphanes graminifolia"	6.38533834393575	6.39124928915876
"Aiphanes grandis"	"Aiphanes grandis"	7.93308593051995	7.85197274320636
"Aiphanes hirsuta"	"Aiphanes hirsuta"	6.05483743881473	6.04357525474784
"Aiphanes horrida"	"Aiphanes horrida"	5.96627490154772	5.918058507788
"Aiphanes leiostachys"	"Aiphanes leiostachys"	6.52019622783455	6.54690194175627
"Aiphanes lindeniana"	"Aiphanes lindeniana"	6.65487666810565	6.5671412148699
"Aiphanes linearis"	"Aiphanes linearis"	6.31581682495337	6.3756916442658
"Aiphanes macroloba"	"Aiphanes macroloba"	6.48630867916322	6.48958226655441
"Aiphanes minima"	"Aiphanes minima"	5.95121501554485	5.94485611073345
"Aiphanes multiplex"	"Aiphanes multiplex"	6.51514281643771	6.56296717113741
"Aiphanes parvifolia"	"Aiphanes parvifolia"	6.56699432242559	6.52573402472962
"Aiphanes pilaris"	"Aiphanes pilaris"	6.5294460206596	6.56274383187565
"Aiphanes simplex"	"Aiphanes simplex"	6.51613614609038	6.32197142605955
"Aiphanes spicata"	"Aiphanes spicata"	6.89455103593455	6.85393536380339
"Aiphanes stergiosii"	"Aiphanes lindeniana"	6.42263910647051	6.32941984311481
"Aiphanes tricuspidata"	"Aiphanes tricuspidata"	6.59107135002381	6.52357542674342
"Aiphanes ulei"	"Aiphanes ulei"	6.15666915118881	6.11950414966774
"Aiphanes verrucosa"	"Aiphanes verrucosa"	6.44515279052151	6.37567120974826
"Aiphanes weberbaueri"	"Aiphanes weberbaueri"	6.45638124386765	6.50347210445926
