"FD_G","species"
0.21730072039912,"Acanthophoenix crinita"
0.245056072996669,"Acanthophoenix rousselii"
0.21872158816408,"Acanthophoenix rubra"
0.248897285712626,"Acoelorrhaphe wrightii"
0.243427930990571,"Acrocomia aculeata"
0.226919550622602,"Acrocomia crispa"
0.330305514772922,"Acrocomia emensis"
0.221319900409183,"Acrocomia glaucescens"
0.329744417833532,"Acrocomia hassleri"
0.239540996581417,"Acrocomia intumescens"
0.235569164357405,"Acrocomia media"
0.237347113205753,"Acrocomia totai"
0.213491267005876,"Actinokentia divaricata"
0.217803146245844,"Actinokentia huerlimannii"
0.247171277074936,"Actinorhytis calapparia"
0.221748200322881,"Adonidia dransfieldii"
0.214810806485171,"Adonidia merrillii"
0.248963279820534,"Aiphanes acanthophylla"
0.330608698825847,"Aiphanes acaulis"
0.221748200322881,"Aiphanes argos"
0.250941416061364,"Aiphanes bicornis"
0.257043132143021,"Aiphanes buenaventurae"
0.248843534743866,"Aiphanes chiribogensis"
0.221748200322881,"Aiphanes concinna"
0.25416473283374,"Aiphanes deltoidea"
0.248869254367356,"Aiphanes duquei"
0.248753231101686,"Aiphanes eggersii"
0.277781659443381,"Aiphanes erinacea"
0.225779620531783,"Aiphanes gelatinosa"
0.281413616934056,"Aiphanes graminifolia"
0.224322226883719,"Aiphanes grandis"
0.250167170129278,"Aiphanes hirsuta"
0.220790376900148,"Aiphanes horrida"
0.221748200322881,"Aiphanes killipii"
0.275649864183679,"Aiphanes leiostachys"
0.226307561459695,"Aiphanes lindeniana"
0.248995267188829,"Aiphanes linearis"
0.278084778229149,"Aiphanes macroloba"
0.234206974007234,"Aiphanes minima"
0.225734982405276,"Aiphanes multiplex"
0.249739386565373,"Aiphanes parvifolia"
0.228157949603202,"Aiphanes pilaris"
0.278060885031491,"Aiphanes simplex"
0.330995593726149,"Aiphanes spicata"
0.243701408409771,"Aiphanes tricuspidata"
0.221748200322881,"Aiphanes truncata"
0.220869668084582,"Aiphanes ulei"
0.248290294269019,"Aiphanes verrucosa"
0.253731780181993,"Aiphanes weberbaueri"
0.321237014228667,"Allagoptera arenaria"
0.322429418005437,"Allagoptera brevicalyx"
0.317481588789803,"Allagoptera campestris"
0.215854170592133,"Allagoptera caudescens"
0.32370869128121,"Allagoptera leucocalyx"
0.221748200322881,"Allagoptera robusta"
0.360244280909631,"Ammandra decasperma"
0.234983569861437,"Aphandra natalia"
0.221951421918763,"Archontophoenix alexandrae"
0.22164565402223,"Archontophoenix cunninghamiana"
0.220843590809874,"Archontophoenix maxima"
0.217854851921753,"Archontophoenix myolensis"
0.228760774384364,"Archontophoenix purpurea"
0.215586223916312,"Archontophoenix tuckeri"
0.317600793680211,"Areca abdulrahmanii"
0.319829039962239,"Areca ahmadii"
0.317187109932397,"Areca andersonii"
0.35203406269629,"Areca arundinacea"
0.212956994266167,"Areca bakeri"
0.318608925377365,"Areca brachypoda"
0.214952798444997,"Areca caliso"
0.24235380522314,"Areca camarinensis"
0.232133769117906,"Areca catechu"
0.240571818231601,"Areca chaiana"
0.216091272434695,"Areca churchii"
0.26847306983699,"Areca concinna"
0.219256795874945,"Areca congesta"
0.235382683614197,"Areca costulata"
0.265068417810458,"Areca dayung"
0.217983876991306,"Areca dransfieldii"
0.270894155029561,"Areca furcata"
0.217548273736658,"Areca gurita"
0.240613846460312,"Areca hutchinsoniana"
0.321226060413127,"Areca insignis"
0.24515610123693,"Areca ipot"
0.221748200322881,"Areca jokowi"
0.324438518095707,"Areca jugahpunya"
0.236733386056637,"Areca kinabaluensis"
0.24076720238825,"Areca klingkangensis"
0.234632779250274,"Areca laosensis"
0.219256795874945,"Areca ledermanniana"
0.216323861941025,"Areca macrocalyx"
0.218142341825044,"Areca mandacanii"
0.248808066958214,"Areca minuta"
0.242298113247539,"Areca mogeana"
0.240184112553158,"Areca montana"
0.243219040276187,"Areca novohibernica"
0.240939344149068,"Areca oxycarpa"
0.224423997031547,"Areca parens"
0.242952824744298,"Areca rheophytica"
0.249319297314292,"Areca ridleyana"
0.211581705913805,"Areca riparia"
0.241547341888946,"Areca songthanhensis"
0.319106735383188,"Areca subacaulis"
0.241543021277984,"Areca triandra"
0.219256795874945,"Areca triginticollina"
0.239136523634695,"Areca tunku"
0.221748200322881,"Areca unipa"
0.217426131284143,"Areca vestiaria"
0.24191930205158,"Areca vidaliana"
0.210631333820393,"Areca whitfordii"
0.246668308597283,"Arenga australasica"
0.245065811575974,"Arenga brevipes"
0.268785968043192,"Arenga caudata"
0.263811436664754,"Arenga distincta"
0.271597441551019,"Arenga engleri"
0.266940070808439,"Arenga hastata"
0.268567404011585,"Arenga hookeriana"
0.22426238766758,"Arenga listeri"
0.264131299840046,"Arenga longicarpa"
0.353303610379861,"Arenga longipes"
0.240233081986864,"Arenga micrantha"
0.241999210330827,"Arenga microcarpa"
0.354356569993412,"Arenga mindorensis"
0.267294594907987,"Arenga obtusifolia"
0.2733782628117,"Arenga pinnata"
0.268340514269928,"Arenga plicata"
0.268399101094899,"Arenga porphyrocarpa"
0.352760365827134,"Arenga retroflorescens"
