Tree_name	Acc_name	NO_EXT	DO_CON	Americas	AfricaWAsia	EAsiaPacific	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	FruitColorDescription	MainFruitColors	Conspicuousness	AnimalFood	EnvironmentalUses	Fuels	GeneSources	HumanFood	InvertebrateFood	Materials	Medicines	Poisons	SocialUses
Acanthophoenix crinita	Acanthophoenix crinita	non-LC	NA	0	1	0	0	0	1	1	1	1	10	20	canopy	15	2.3	NA	NA	0.65	0.6	0.7	0.5	NA	NA	small	NA	black	black	cryptic	0	0	0	0	0	0	1	0	0	0
Acanthophoenix rousselii	Acanthophoenix rousselii	non-LC	NA	0	1	0	0	0	1	1	1	1	25	30	canopy	NA	3	NA	NA	2	NA	NA	0.8	NA	NA	small	ovoid	black	black	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acanthophoenix rubra	Acanthophoenix rubra	non-LC	NA	0	1	0	0	0	1	1	1	1	15	18	canopy	20	3.1	3	NA	1	NA	NA	0.7	NA	NA	small	ovoid	black	black	cryptic	0	1	0	1	1	0	0	1	0	0
Acoelorrhaphe wrightii	Acoelorrhaphe wrightii	LC	LC	1	0	0	0	0	1	0	0	1	9.1	15	canopy	25	1.3	0.7	0.65	0.7	NA	NA	0.7	0.5	0.9	small	ovoid	orange-brown; becomming black	brown; black	cryptic	0	1	0	0	0	0	1	0	0	0
Acrocomia aculeata	Acrocomia aculeata	LC	LC	1	0	0	0	0	1	1	1	1	12	50	canopy	30	3.5	2.5	NA	4.25	3.5	5	4.6	3.8	5.4	large	ovoid	yellowish green	green	cryptic	0	1	0	0	1	0	1	1	0	0
Acrocomia crispa	Acrocomia crispa	LC	NA	1	0	0	0	0	1	1	1	1	18	35	canopy	15	3	NA	0.65	2.5	NA	NA	1.8	NA	NA	small	globose	yellow to orange	yellow; orange	conspicuous	0	0	0	0	0	0	1	0	0	0
Acrocomia emensis	Acrocomia emensis	non-LC	non-LC	1	0	0	0	1	0	1	1	1	0	NA	understorey	NA	NA	NA	NA	2	NA	NA	2	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia glaucescens	Acrocomia glaucescens	non-LC	non-LC	1	0	0	0	0	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia hassleri	Acrocomia hassleri	LC	LC	1	0	0	0	1	0	1	1	1	0	NA	understorey	6	0.9	0.54	0.51	2.25	1.5	3	2.25	1.5	3	small	NA	brown	brown	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia intumescens	Acrocomia intumescens	LC	LC	1	0	0	0	0	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	4.6	3.8	5.4	4.6	3.8	5.4	large	NA	dull yellowish	yellow	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia media	Acrocomia media	LC	NA	1	0	0	0	0	1	1	1	1	15	30	canopy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ovoid	dull yellowish	yellow	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia totai	Acrocomia totai	LC	LC	1	0	0	0	0	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	3	2.5	3.5	3	2.5	3.5	small	NA	yellow to orange	yellow; orange	conspicuous	0	0	0	0	0	0	0	1	0	0
Actinokentia divaricata	Actinokentia divaricata	LC	LC	0	0	1	0	0	1	1	0	0	9	9	canopy	7	2.35	2.1	1.3	2.6	1.8	3.4	1.1	0.8	1.4	small	globose	red to dark purple	red; purple	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinokentia huerlimannii	Actinokentia huerlimannii	non-LC	non-LC	0	0	1	0	0	1	1	0	0	9	36	canopy	10	1.2	NA	0.22	3	NA	NA	1.3	NA	NA	small	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinorhytis calapparia	Actinorhytis calapparia	LC	LC	0	0	1	0	0	1	1	0	0	40	30	canopy	13	4.76	4.3	0.51	10	NA	NA	5.5	5	6	large	ovoid	reddish	red	conspicuous	1	1	0	0	1	0	1	1	0	1
Adonidia maturbongsii	Manjekia maturbongsii	non-LC	non-LC	0	0	1	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	2.3	NA	NA	1	NA	NA	small	NA	bright orange to red	orange; red	conspicuous	0	0	0	0	0	0	1	0	0	0
Adonidia merrillii	Adonidia merrillii	non-LC	LC	0	0	1	0	0	1	1	0	0	7	30	canopy	17	2.2	2	0.22	2.5	NA	NA	1.3	NA	NA	small	elongate	red	red	conspicuous	0	1	0	0	0	0	1	0	0	1
Aiphanes acanthophylla	Aiphanes acanthophylla	LC	NA	1	0	0	0	0	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1.4	NA	NA	1.4	NA	NA	small	NA	bright red	red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes acaulis	Aiphanes acaulis	non-LC	non-LC	1	0	0	0	1	0	1	0	1	0	NA	understorey	10	1.83	1.33	0.33	1	NA	NA	1	NA	NA	small	NA	from purple to vine red	purple; red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes bicornis	Aiphanes bicornis	non-LC	non-LC	1	0	0	0	0	1	1	1	1	0.5	2.5	understorey	13	0.54	0.54	NA	0.6	NA	NA	0.8	NA	NA	small	ovoid	red-orange	red; orange	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes buenaventurae	Aiphanes buenaventurae	non-LC	LC	1	0	0	0	0	1	2	NA	1	4	NA	understorey	8	0.22	0.78	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes chiribogensis	Aiphanes chiribogensis	LC	LC	1	0	0	0	0	1	1	1	1	3	6	understorey	9	1.45	1	0.5	1.1	NA	NA	1.1	1	1.2	small	globose	red	red	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes deltoidea	Aiphanes deltoidea	LC	LC	1	0	0	0	0	1	2	1	1	2	6	understorey	12	2.95	1.9	1.1	1.3	NA	NA	0.7	NA	NA	small	globose	yellow	yellow	conspicuous	0	0	0	0	0	0	1	0	0	0
Aiphanes duquei	Aiphanes duquei	non-LC	LC	1	0	0	0	0	1	1	1	1	5	5	understorey	9	1.35	1.1	0.28	1.05	0.9	1.2	NA	NA	NA	small	globose	red	red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes eggersii	Aiphanes eggersii	non-LC	LC	1	0	0	0	0	1	0	1	1	10	8	canopy	10	2.2	2.05	0.17	1.75	NA	NA	1.75	1.5	2	small	ovoid	bright red	red	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes erinacea	Aiphanes erinacea	LC	LC	1	0	0	0	0	1	0	1	1	5	5	understorey	8	2.2	1.65	0.6	0.75	NA	NA	0.75	0.7	0.8	small	globose	dark red soon turning brown or black	red; brown; black	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes gelatinosa	Aiphanes gelatinosa	non-LC	non-LC	1	0	0	0	0	1	2	1	1	9	10	canopy	11	5.6	4	1.7	1.5	NA	NA	1.5	1	1.5	small	globose	red with black apex; becomming brown or shiny black at maturity	brown; black	cryptic	0	0	0	0	0	0	0	0	0	0
Aiphanes graminifolia	Aiphanes graminifolia	non-LC	NA	1	0	0	0	0	1	0	1	1	5	2	understorey	6	0.89	0.89	NA	0.5	NA	NA	0.5	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes grandis	Aiphanes grandis	non-LC	non-LC	1	0	0	0	0	1	1	1	1	21	20	canopy	10	5.5	2.5	2.75	2.15	NA	NA	2.15	2	3	small	elongate	dull green	green	cryptic	0	0	0	0	1	0	0	0	0	0
Aiphanes hirsuta	Aiphanes hirsuta	LC	LC	1	0	0	0	0	1	0	1	1	10	10	canopy	8	2.94	1.94	NA	1.35	NA	NA	1.35	0.7	2	small	globose	red or less often purple or white; pinkish red	red; purple; white	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes horrida	Aiphanes horrida	LC	LC	1	0	0	0	0	1	1	1	1	10	15	canopy	15	2	NA	NA	1.95	1.6	2.3	1.95	1.6	2.3	small	ovoid	bright red; rarely orange or white; with orange mesocarp	red	conspicuous	0	1	0	0	1	0	1	1	0	1
Aiphanes leiostachys	Aiphanes leiostachys	non-LC	non-LC	1	0	0	0	0	1	0	1	1	5	3	understorey	11	2.08	1.08	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes lindeniana	Aiphanes lindeniana	non-LC	NA	1	0	0	0	0	1	2	1	1	7	10	canopy	10	1.31	0.75	0.61	1.5	NA	NA	1.5	1.4	1.6	small	NA	red to orange	red; orange	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes linearis	Aiphanes linearis	LC	LC	1	0	0	0	0	1	0	1	1	12	12	canopy	9	2.73	2.39	0.49	4.5	NA	NA	2.65	1.8	3.5	large	globose	NA	NA	NA	0	0	0	0	1	0	0	0	0	0
Aiphanes macroloba	Aiphanes macroloba	non-LC	NA	1	0	0	0	0	1	0	1	1	3	3	understorey	8	1.86	1.5	0.41	1	NA	NA	0.7	NA	NA	small	ovoid	red to orange	red; orange	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes minima	Aiphanes minima	LC	LC	1	0	0	0	0	1	1	1	1	18	50	canopy	9	4.2	3	1.25	1.4	1.2	1.6	1.55	1.4	1.7	small	globose	red	red	conspicuous	0	1	0	0	1	0	1	1	0	0
Aiphanes multiplex	Aiphanes multiplex	non-LC	NA	1	0	0	0	0	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	1.45	NA	NA	small	NA	red	red	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes parvifolia	Aiphanes parvifolia	non-LC	NA	1	0	0	0	0	1	1	0	1	2	3	understorey	10	0.95	0.7	0.28	0.85	0.7	1	NA	NA	NA	small	NA	orange to red	orange; red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes pilaris	Aiphanes pilaris	non-LC	NA	1	0	0	0	0	1	1	1	1	7	15	canopy	10	NA	NA	NA	4.7	NA	NA	4.7	NA	NA	large	ovoid	brown	brown	cryptic	0	0	0	0	0	0	0	0	0	0
Aiphanes simplex	Aiphanes simplex	LC	LC	1	0	0	0	0	1	0	1	1	4	2	understorey	9	0.96	0.7	0.29	0.9	NA	NA	0.9	0.8	1	small	ovoid	red	red	conspicuous	0	0	0	0	0	0	0	0	0	0
